Url,Price,Address,Bedrooms,Bathrooms,Parking spots,Date Available,Bond,Description,Features,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,Population
https://www.domain.com.au/1-190-annandale-street-annandale-nsw-2038-14569716,470,1/190 Annandale Street Annandale NSW 2038,2,,0,Date Available,-1,"Just listed and available for lease! Spacious two bedroom unit in the heart of Annandale! Annandale is a sought after suburb which is sure to deliver on all fronts. This two bedroom property is perfectly located in the heart of Annandale! It is also in close proximity schools/university, restaurants, shops, hospital and public transport. This two bedroom apartment offers contemporary living whilst not compensating on space. It is sure to impress with its unique, refurbished look and user friendly size and space. The bathroom has been given a modern contemporary look, which will ensure practicality and a spacious feel. Whilst the well sized living area opens up to a well sized balcony and a shared courtyard space to help give it that homely feel. Property specifics: Two bedrooms  One bathroom Neat kitchen Spacious living area Highlights: Available now 6 and 12 month leases available  Shared courtyard Disclaimer - please rely solely on visual inspection ","['Close to schools', 'Close to shops', 'Close to transport']",23,31,34,13,52,41,59,46,54,-1,-1
https://www.domain.com.au/27-268-johnston-street-annandale-nsw-2038-14446021,490,27/268 Johnston Street Annandale NSW 2038,1,,0,Date Available,1960,"STUNNING 1970s APARTMENT WITH SPECTACULAR CITY, WATER AND HARBOUR BRIDGE VIEWS. AWESOME LOCATION. CAR SPACE. INSPECTION: Wednesday 30th September at 4:45pm - 5:00pm  This superb one bedroom apartment is one of those incredibly rare properties where upon entry you will be captivated and want to move in immediately. Entry to the building is an enclave raised above picturesque tree-lined Johnston Street, private and secure with the added advantage of security intercom and security undercover parking.  This enviable apartment is very light and airy, with flow through ventilation - even windows in the bathroom and kitchen (and there is air conditioning for those hottest of hot days.) N.B. Photos are of generic Ann&amp;Dale apartment with similar layout and furniture.  Apartment features include: - Spectacular city and harbour views - Balcony - High ceilings throughout and windows in the kitchen and bathroom - Air conditioned - choice of dishwasher or washer/dryer  - Secure parking ","['Air conditioning', 'Area Views', 'Car Parking - Basement', 'Close to schools', 'Close to shops', 'Close to transport', 'Intercom', 'Kitchenette', 'Pets Allowed', 'Water Views']",26,18,27,29,53,63,37,60,40,-1,-1
https://www.domain.com.au/16-90-johnston-street-annandale-nsw-2038-14557924,350,16/90 Johnston Street Annandale NSW 2038,1,,0,Date Available,700,"Spacious 1 Bedroom unit in the heart of Annandale FOR ALL ENQUIRIES AND INSPECTION TIMES PLEASE CALL THE AGENTS - Charlotte on 0428 795 023  Large light filled Studio unit, 1 bathroom complete with separate kitchen. Units are available fully furnished if required, communal laundry also available. ","['Broadband Internet Available', 'Pay TV Access']",17,30,38,15,38,27,73,42,58,-1,-1
https://www.domain.com.au/1-253-parramatta-rd-annandale-nsw-2038-14549089,550,1/253 Parramatta Rd Annandale NSW 2038,2,,0,Bond<!-- --> <strong>$2200</strong></li></ul>,2200,"WHEN SIZE MATTERS! Super sized Art Deco *View this Saturday 26/9/2020 between 10am to 11am** Register now to book your spot! WANT SPACE!?! Great opportunity to secure this VERY large character filled 2 bedroom Art Deco apartment, with polished timber floors throughout, soaring high ceilings and loads of natural light.  Main features include; massive master bedroom, large separate lounge, updated kitchen with gas cooking and separate dining/sunroom area.  -Set on first floor of boutique classic Art Deco building, only one other apartment in block, front &amp; rear entry, rear lane access with off street parking for 1 car.  -Bathroom with shower over bath and room for your washer/dryer as well. Linen press.  LOCATION: Bus at door, quick walk to Norton St cafes and shopping, only minutes by car to Sydney Uni and RPA. Yes, it\'s on Parramatta Rd- however only one room faces Parramatta Rd and it has high quality noise insulated windows :-)  TERMS: Offered \'unfurnished\', 6-12 month leases available  AVAILABLE: from 28/9/20  PARKING: car space x 1 INSPECTIONS: COVID-19 For the safety of everyone- you must register to inspect and all inspections are by appointment. Email or message us now to register.  Disclaimer: While all due care has been taken in compiling information regarding properties marketed for rent, we accept no responsibility and disclaim all liabilities in regards to any errors or inaccuracies contained herein. All parties should rely on their own investigation to validate information provided ","['Floorboards', 'Gas', 'Internal Laundry', 'North Facing', 'Separate Dining Room']",24,27,37,12,44,58,42,58,42,-1,-1
https://www.domain.com.au/2-51-parramatta-rd-annandale-nsw-2038-12800984,500,2/51 Parramatta Rd Annandale NSW 2038,2,,0,Date Available,2000,"Gorgeous 2 Bedroom Apartment Be part of this well positioned property, a short stroll away from all of the amenities that make Annandale such a popular lifestyle destination. The apartment features; -Spacious eat in modern kitchen with dishwasher and modern amenities -Renovated Bathroom with bath/shower -Gorgeous terrace balcony off the kitchen -Large sun filled bedroom with high ceilings -Wooden floorboards throughout  -Good sized living area -Buses at your door step to Sydney University &amp; Central Station Please call 0408372700 to arrange a private inspection ","['Built in wardrobes', 'Dishwasher', 'Double glazed windows', 'Fireplace(s)', 'Floorboards', 'Pets Allowed']",19,36,30,15,36,43,57,57,43,-1,-1
https://www.domain.com.au/48-29-31-johnston-street-annandale-nsw-2038-14552502,280,48/29-31 Johnston Street Annandale NSW 2038,1,,0,"Available from<!-- --> <strong>Thursday, 5th November 2020</strong></li></ul>",-1,"Studio apartment in prime location This top floor studio apartment is located at the rear of this well maintained building moments to all of Annandale\'s amenities, including shops, public transport and main arterial roads. - Top floor apartment Well maintained building Separate kitchen Bathroom with large shower Large bedroom/lounge area Natural light and district views ","['Close to schools', 'Close to shops', 'Close to transport']",16,48,28,9,33,35,65,44,56,-1,-1
https://www.domain.com.au/106-johnston-street-annandale-nsw-2038-13360538,-1,106 Johnston Street Annandale NSW 2038,<,,0,Date Available,-1,"Studio apartment in fantastic location Completely renovated studio apartment set in a well-maintained security building. Ideally located with Sydney University, RPA Hospital and transport into the CBD only moments away, don\'t miss out on one of Annandale\'s best positioned studio apartments. Whether you\'re looking for short-term accommodation for three months, or you need an ongoing base for a professional placement, we can help. Features include but not limited to: Electricity Included Generous living space Balcony Built-in robes  Modern bathroom  Fridge and microwave included  Common laundry facilities  * Photos are for demonstration purposes and layout may vary slightly ","['Built in wardrobes', 'Close to schools', 'Close to shops', 'Close to transport', 'Furnished', 'Kitchenette']",17,30,38,15,38,27,73,42,58,-1,-1
https://www.domain.com.au/96-98-johnston-street-annandale-nsw-2038-14425879,-1,96-98 Johnston  Street Annandale NSW 2038,<,,0,Date Available,-1,"Studio Apartment in Fantastic Location Multiple styles available ranging from small studios to extra large studios with courtyards &amp; 1 bedrooms units Set in well-maintained security building, these studio apartments are ideally located for professionals with Sydney University, RPA Hospital and transport into the CBD only moments away.  - A range of studios available Well appointed kitchenette Generous living space Fully fenced courtyard Built-in robes  Modern bathroom Coin operated laundry facilities  Multiple car spaces  Positioned a short walk from Annandale village\'s shops &amp; eateries  Sorry, no pets allowed * Photos are for demonstration purposes and layout may vary slightly ","['Built in wardrobes', 'Close to schools', 'Close to shops', 'Close to transport', 'Kitchenette', 'Security Access']",17,30,38,15,38,27,73,42,58,-1,-1
https://www.domain.com.au/g06-33-nelson-street-annandale-nsw-2038-14469304,570,G06/33 Nelson Street Annandale NSW 2038,1,,0,Date Available,2280,"As new apartment Ideally located in this whisper quiet location, yet just moments to the lifestyle amenities and attractions of Annandale village is this as new apartment. Cleverly designed over 2 levels, and superbly finished throughout, the home offers a sundrenched north easterly aspect to the living area and terrace. - Generously sized bedroom with built in robes Luxurious master bathroom with concealed laundry facilities Designer kitchen with generous cupboard space, dishwasher and sleek appliances Open living area opens to sundrenched courtyard 2nd toilet on lower level Full security access, air conditioning, secure storage cage Easy access to CBD transport, Sydney University, and RPA Hospital ","['Air conditioning', 'Built in wardrobes', 'Close to schools', 'Close to shops', 'Close to transport', 'Floorboards', 'Terrace-Balcony']",22,34,30,14,51,54,46,55,45,-1,-1
https://www.domain.com.au/42-268-johnston-street-annandale-nsw-2038-14518424,460,42/268 Johnston Street Annandale NSW 2038,1,,0,Date Available,1840,"ESCAPE IN THIS BEAUTIFULLY REJUVENATED 1970s BUILDING WITH HARBOUR VIEWS. GREAT LOCATION. SECURE CAR SPACE. INSPECTION: Wednesday 30th September at 5:00pm - 5:15pm  In a conveniently positioned 1970s New York style, recently revived ANN&amp;DALE building, in its most blue-chip location. Only a short stroll to the light rail and harbour, and a taste of history from the balcony. Enter to the building is through its historic sandstone faade with the heritage ""Witches Houses"" as its neighbourhood. The building is an exclave raised above Johnston Street, private and secure with the added advantage of security intercoms and security undercover parking. The apartment is filled with natural light and fresh air with great ventilation, windows in the bathroom and kitchen, and a large balcony area with floor to ceiling glass doors (and there is air conditioning for those hottest of hot days.) Finishing off this apartment to near perfection is its recent refurbishment including a modern kitchen with stainless steel fittings with smart stone benchtops, white joinery and rectangular subway look tiling. The living room features large sliding door opening out to the generously sized and sunny balcony. The bathroom retains its original 70s detailing. Apartment features include: - City and Harbour views - modern kitchen, blinds and carpet.  - Full-length balcony with doors from the living room - High ceilings throughout and windows in the kitchen and bathroom - Bedroom with en-suite bathroom - Air conditioned - Washer/dryer included  - Secure car space  N.B. Photos are of generic Ann&amp;Dale apartment with similar layout and furniture.    AVAILABLE: 28th September 2020 ","['Air conditioning', 'Area Views', 'Built in wardrobes', 'Close to transport', 'Creative', 'Ensuite', 'Water Views']",26,18,27,29,53,63,37,60,40,-1,-1
