Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/19-woodford-street-leura-nsw-2780-2016192254,960000,Sold by private treaty 8 May 2020,19 Woodford Street Leura NSW 2780,Leura ,Free Standing Houses ,3,1,0,605,"Quintessential Mountains Weatherboard Cottage Iconic Blue Mountains classic weatherboard home in arguably one of South Leuras best locations. The property comprises of three good sized bedrooms, large bathroom with claw foot bath, an open-plan kitchen/living/dining, separate study or library room, and a second entertaining area. Being cited on a, near level, 605 square metre allotment makes this property the perfect retreat.  A sun-drenched lounge room allows natural light through the home and features a wood burner fireplace. The timber flooring coupled with pressed metal ceilings capture the period features of a mountains cottage. The country-style kitchen features gas burner and stainless steel dishwasher which adjoins a secondary living area or formal dining area overlooking the garden. Three generous sized bedrooms include a master retreat with walk-in wardrobe/study and are positioned away from the main living area and kitchen. All bedrooms have high ceilings and great natural light. Take a walk through the gardens and you will find the perfect spot to relax and entertain friends in the gorgeous scenery. A patio accessible via timber french doors offers space for entertaining of family and friends which overlooks the backyard. Other features include: Gas central heating and wood fire burner Cute faade with covered veranda and stain glass windows  Country-style kitchen with stone benchtops and gas cooking Original timber floors throughout  Quality cool-climate gardens with well established plantings Pressed ceilings  Large entertaining spaces, two living areas  This north facing home enjoys privacy amid beautifully landscaped gardens, from front to back.This character cottage is meticulously kept. For more information or to arrange a private viewing contact Brenden Purcell on 0413 630 226.",19,12,25,44,51,66,34,54,46,60+,-1,"4,653"
https://www.domain.com.au/29-cook-road-wentworth-falls-nsw-2782-2015107525,605000,Sold by private treaty 8 May 2020,29 Cook Road Wentworth Falls NSW 2782,Wentworth Falls ,Free Standing Houses ,4,2,1,853,"Value plus house with granny flat This fully renovated and stylishly presented single storey home offers the astute buyer an opportunity to secure their high-quality home in a quiet, convenient Wentworth Falls location. Flexibility is a key feature of this property featuring an additional self-contained flat with separate entrance, ideal for extended family, holiday letting or work from home, or, simply extra space to live your life. Positioned on the high side of the street this home occupies a generous 853 square metre garden block within close proximity to Wentworth Falls Lake and golf course, schools and town centre. The owners have ticked every box on this recent renovation and features include:  Modern open plan kitchen, dining and lounge room with hard-wearing hybrid floor system  New Kitchen with European stainless steel appliances, granite bench tops and abundant cupboard space  New, modern main bathroom with freestanding bath, frameless shower screen and feature basin  New laundry with hand-crafted timber bench and splash-back  Slow combustion fireplace and air conditioning unit providing year-round comfort  Carpeted bedrooms, all with built-in robes and large windows to maximise light  Brand new hot water system and lighting throughout   Fully fenced grounds with large level front garden and elevated back yard  Single carport and additional off-street parking, plus storage shed If youre looking to move straight into a quality home with all the work done for you then this is a must inspect for you. INSPECTIONS CURRENTLY AVAILABLE BY APPOINTMENT 7 DAYS A WEEK",24,18,24,35,60,78,22,62,38,60+,-1,"6,085"
https://www.domain.com.au/31-stone-bridge-drive-glenbrook-nsw-2773-2016214279,950000,Sold by private treaty 7 May 2020,31 Stone Bridge Drive Glenbrook NSW 2773,Glenbrook ,Free Standing Houses ,5,2,2,920,"Single Level Family Home in Mt Sion LOCATION - Showcasing an exceptional location within the blue ribbon location that is the Mt Sion estate, Glenbrook. Immersed within the splendour of the lower Mountains, the setting is peaceful, private and leafy. Moments to popular bush walks, parks, Glenbrook Lagoon and a little further through to Glenbrook Village. STYLE - Single level brick and tile home delivers space and functionality in its design. LAYOUT - Spreading across one spacious level this family home consists of 5 bedrooms, 2 large living areas, formal lounge/dining, casual meals area and a great connection of indoor/outdoor level living. FEATURES - With a list of features that will suit many, this home is pleasing on the eye, and exciting within the opportunity. Ducted air conditioning, solar panels to help with electricity, solar hot water and a cozy and warm gas fireplace. There is a great connection from the internal home to the rear entertaining area which is great in size and looks over the rear yard. Updated kitchen with dishwasher and plenty of bench space assists in producing family meals. There is an ensuite to the main br and a large 3 way main bathroom. The yard is approx 920m2 with established gardens and a double attached garage. Disclaimer:  All information contained herein is gathered from sources we believe to be reliable. However, we cannot guarantee its accuracy and interested persons should rely on their own inquiries.",23,20,32,25,74,91,9,61,39,40 to 59,-1,"5,050"
https://www.domain.com.au/72-clearview-parade-hazelbrook-nsw-2779-2016247430,860000,Sold by private treaty 7 May 2020,72 Clearview Parade Hazelbrook NSW 2779,Hazelbrook ,Free Standing Houses ,4,3,6,5202.15,"Rural Lifestyle in the Heart of Town Are you looking for a property that offers an almost rural lifestyle but still want to be in touch with city convenience  look no further! This property offers a fantastic 5202m2 block (an acre and a quarter) with outdoor features including pizza oven, timber cubby house, fox proof chicken pen, raised vege gardens, many fruit and veg tree\'s (see list at the end) and a large shed, the yard is grassy and usable and really is a perfect family playground. Inside , the home has had a recent extension (all BMCC approved) and now offers modern bathrooms, 4 bedrooms, downstairs rumpus/study, slow combustion fire, BRAND NEW carpet in the bedrooms and polished floorboards. Furthermore there this an appealing deck and covered outdoor entertaining area overlooking the extensive grounds. All this in a lovely quiet street yet just a short stroll to Blue Mountains Steiner School and a few minute\'s drive to Hazelbrook Village where you can pick up the morning train for the commute to the city.  Call 47589444 now to take the first steps to your tree change lifestyle or attend our next open home.  Orchard Details as advised by the owner, 5x plum 2x apricot 1x cherry 2x fig 3x pear 1x peach 1x nectarine 5x apple 2x lemon 1x kaffir lime 1x lime 1x mandarin",28,19,30,23,62,85,15,64,36,40 to 59,-1,"4,978"
https://www.domain.com.au/33-panorama-crescent-mount-riverview-nsw-2774-2015892793,875000,Sold by private treaty 7 May 2020,33 Panorama Crescent Mount Riverview NSW 2774,Mount Riverview ,Free Standing Houses ,4,3,2,778,"Renovated - Available for Inspection CALL NOW! LOCATION - Set in a leafy pocket bordering Blaxland and commanding a position on the high side of the street with filtered easterly views toward the city. STYLE - Expansive single level rendered and tile residence with garaging under. LAYOUT - Open plan living flowing to oversize viewing deck with filtered easterly views. 4 bedrooms, 2 with en-suite bathrooms, (3.5 bathrooms in total) plus study/TV room. Large 2 car garage and workshop space. FEATURES - A complete and stunning renovation has prepared this home for the discerning new owner to move in and enjoy. Attention to detail from the 3 designer bathrooms, quality flooring throughout, new bespoke hardware and lighting and a sense of light and space. The master bedroom offers a complete parents retreat with private alfresco and glassed walk way. Entertaining is a dream come true with outdoor decking and BBQ flowing from the designer kitchen. The complete package awaits you. Disclaimer:  All information contained herein is gathered from sources we believe to be reliable. However, we cannot guarantee its accuracy and interested persons should rely on their own inquiries.",34,18,24,25,71,86,14,70,30,40 to 59,-1,"3,034"
https://www.domain.com.au/95-victoria-street-mount-victoria-nsw-2786-2016192308,495000,Sold by private treaty 6 May 2020,95 Victoria Street Mount Victoria NSW 2786,Mount Victoria ,Free Standing Houses ,3,1,2,966,"PRIVATE INSPECTIONS AVAILABLE, PLEASE CONTACT AGENT Spacious and flexible. Set on the high side of Victoria Street on a large 967m2 block this character 1950\'s home has a lot to offer the astute buyer. Step from the sunny plant covered front deck into a large living and dining area with a slow combustion fireplace and oversized windows all refreshed in neutral whites with new carpet. Complete with a kitchen and bathroom refresh this home has three bedrooms, the main with built-ins, with the standout feature being a huge window overlooking the established front gardens and woodland views. The lovely kitchen opens to a large covered north facing rear deck with level access to the rear garden that faces north and is perfect for a large veggie garden and chooks. Want more?  Underneath the home is a large lock up storage space / studio space with power. This stylish family home is waiting for its new owners and won\'t last long being such a lovely home. Richardson &amp; Wrench Blackheath will be conducting private inspections by appointment to Covid-19 health and safety standards. Natural gas cooking  Natural gas heating  Slow combustion fireplace  Sun drenched home with sunny rear gardens",29,27,21,24,68,84,16,61,39,40 to 59,-1,"1,022"
https://www.domain.com.au/39-third-street-blackheath-nsw-2785-2016137506,560000,Sold by private treaty 5 May 2020,39 Third Street Blackheath NSW 2785,Blackheath ,Free Standing Houses ,3,1,1,582,"MODERN NORTH FACING HOME This bagged brick home is located close to the bush walks and National park, but also within an easy stroll to the village. It is perfectly positioned on an easy care garden block and capitalises on its northern aspect. In excellent condition the house showcases a modern kitchen and bathroom, timber floors, gas feature fireplace in lounge and a private covered entertainment area. Timber floors Modern Kitchen and bathroom Covered patio area with private outlook Floor to ceiling windows to living areas  Ample storage New curtains/ window coverings  Gas feature fireplace Northerly aspect  This property is currently being used as a much loved holiday home but would also make a great permanent residence or reliable full time investment.",25,15,29,31,57,75,25,52,48,60+,-1,"4,386"
https://www.domain.com.au/7-wilson-street-katoomba-nsw-2780-2016039297,500000,Sold by private treaty 5 May 2020,7 Wilson Street Katoomba NSW 2780,Katoomba ,Free Standing Houses ,3,2,1,558,"Ready for extensive renovation Sitting high on the block with district views and ideally located mid way between Katoomba and Leura is this older style home sits on a 558m2 block. For those ready to put in the work opportunity abounds to upgrade and modernising this home which is run down and ready for some TLC. Featuring three bedrooms, large, light filled living areas and open plan kitchen and dining. An ideal investment for those with the time and energy to upgrade throughout and reap the benefits.  * Sun filled living room with verandah overlooking Katoomba district * Neat and tidy kitchen with great storage and garden views  * Three bedrooms and two bathrooms both needing attention * Established fenced yard with lawn and under house storage * Lower house level is water damaged and requires extensive renovations INSPECTIONS CURRENTLY AVAILABLE BY PRE-BOOKED APPOINTMENT 7 DAYS A WEEK",24,17,30,29,55,78,22,47,53,40 to 59,-1,"7,955"
https://www.domain.com.au/17-henry-street-lawson-nsw-2783-2016180321,505000,Sold by private treaty 5 May 2020,17 Henry Street Lawson NSW 2783,Lawson ,Free Standing Houses ,2,1,0,506,"Weatherboard Cottage Over 100 years old, a full timber cottage located on a level tree studded block. This cute cottage has two bedrooms and two living areas (one of which could be an easy conversion to three bedrooms). Features include front verandah, timber floors and original stain glass windows and a new roof. Situated only 800 metres from town centre. Don\'t miss out on this mountain cottage full of charm and character.",23,19,27,31,67,74,26,56,44,40 to 59,-1,"2,611"
https://www.domain.com.au/3-st-georges-parade-wentworth-falls-nsw-2782-2016198819,575000,Sold by private treaty 5 May 2020,3 St Georges Parade Wentworth Falls NSW 2782,Wentworth Falls ,Free Standing Houses ,3,1,2,582,"Conveniently located close to the village Nestled in a quiet and leafy enclave on the north side of Wentworth Falls, this spacious home offers large windows to capture the beautiful natural light and garden views. Located just minutes\' from the village with its many shops, cafes and transport and close by to the Wentworth Falls lake, schools and TAFE. - Country style kitchen with gas cooking and dishwasher Gas log fire in the living and kitchen/dining area Family bathroom with a claw foot bath Three good sized bedrooms, two with built-in robes French doors leading out to the rear deck from the dining area Private back garden and a double lock-up garage at the front Covered entertaining deck overlooking a garden and lawn area Warm timber features throughout the interiors Timber floorboards in living with ceiling fan and timber windows Situated on approximately 582sqm with an easycare mature garden",24,17,22,37,65,82,18,55,45,60+,-1,"6,085"
