Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/7-westella-avenue-roselands-nsw-2196-2016266398,885000,Sold at auction 20 Jun 2020,7 Westella Avenue Roselands NSW 2196,Roselands ,Free Standing Houses ,3,1,2,462,"Perfect Family Starter Start from scratch with this perfectly maintained 3 bedroom brick home offering an ideal start to those buyers wanting to add their own taste and style. Perfectly situated in this tightly held whisper quiet cul-de-sac location, where we can ride our bikes around in a safe family friendly neighbourhood, just like when we were kids. Well that\'s exactly what you get with this family home - an opportunity to start that dream.  Featuring an open plan lounge &amp; dining area, immaculate eat-in kitchen, 3 good sized bedrooms main with built-in robe, full size bathroom with separate shower and bath, internal laundry and a great sunny northerly aspect rear yard with an undercover entertaining area. Conveniently located to the newly renovated Roselands Centro shopping centre, local schools, parks, sporting facilities, transport and easy access to the M5 Corridors.  * Eat-in Kitchen  * Lounge &amp; dining area * Immaculate bathroom &amp; internal laundry * Good size lock-up garage &amp; underground storage * Great northerly backyard * Endless possibilities and room to grow in a perfect street",27,24,27,22,76,77,23,56,44,20 to 39,-1,"11,589"
https://www.domain.com.au/205-rodd-street-sefton-nsw-2162-2016276681,888500,Sold at auction 20 Jun 2020,205 Rodd Street Sefton NSW 2162,Sefton ,Free Standing Houses ,3,2,1,613.2,"Amazing Family Home, Full Brick &amp; In the Heart of Sefton Be prepared to be astonished with this amazing single storey, full brick home in the heart of Sefton which is sure to tick all of your boxes. Within the Sefton High School Zone, this home offers three generous sized bedrooms with built-ins, second bedroom with en-suite, large living with fire-place, ideal for the cold winter nights, separate dining room and sun-room which can be used as a study or play area. Cooks take note of the large modern gas kitchen with 40mm granite bench tops that will suit even the fussiest of chefs! Situated on approx. 613m2 provides for a large backyard with room for the kids to play in and for the green thumb to continue the already great garden! Other features include ample storage, split system air-conditioning, hardwood timber floors, a second living which can be converted into a four bedroom and plenty of off street parking. Whether you are a home buyer or investor, this is one property you do not want to miss!",27,27,24,23,74,59,41,48,52,20 to 39,-1,"5,812"
https://www.domain.com.au/9-diffey-street-yagoona-nsw-2199-2016281672,905000,Sold at auction 20 Jun 2020,9 Diffey Street Yagoona NSW 2199,Yagoona ,Free Standing Houses ,3,1,2,689.2,"Perfect Family Home on 689sqm Perfectly positioned on the high side of the street on an expansive 689sqm block of land with a 27.9m frontage, presents an outstanding opportunity for you to secure this incredible, updated family home in a convenient location.  Boasting bright and spacious interiors with an exceptional functional layout, this brick veneer home calls all growing families and investors.  Features include: - Three generous size bedrooms with built in robes and split system AC to two bedrooms Renovated modern bathroom  Separate living and dining room with polished timber floors Near new light filled kitchen with stone bench tops Second family room at the rear, great for separating the kids from the adults or catering for family/friend gatherings  Internal laundry plus second toilet Lock up garage  Great size yard for the kids to enjoy Located only 1km away from Yagoona train station and close to great locals and shops, this fantastic family home is a must to inspect !",28,28,25,19,72,68,32,55,45,20 to 39,-1,"18,014"
https://www.domain.com.au/7-rangers-road-yagoona-nsw-2199-2016277810,1190000,Sold at auction 20 Jun 2020,7 Rangers Road Yagoona NSW 2199,Yagoona ,Free Standing Houses ,4,3,5,499.5,"The King of Rangers Road Located in one of Yagoona\'s finest streets this two-level family home will be sure to impress from the moment you walk in. Offering an abundance of natural light and relaxed living this could be the end to your search. *Open plan living *Large kitchen with gas cooking &amp; stainless steel appliances *Formal &amp; Informal dining areas *Four generous sized bedrooms &amp; a study downstairs *Three modern bathrooms &amp; an internal laundry *Main bed with en-suite &amp; Balcony *Ducted air-conditioning &amp; ample storage throughout *Multiple garage accommodation and drive through access to the rear yard *In-ground pool with new frame-less fencing *An out-room great for a teenage retreat or home office The appealing facade will be sure to catch your eye, only moments from all that Yagoona and surrounding suburbs have to offer including local schools, shops &amp; transport. We look forward to seeing you at the next inspection. Contact | Anthony Roumanous 0424 180 131 | Available 7 Days",33,26,28,13,80,76,24,59,41,20 to 39,-1,"18,014"
https://www.domain.com.au/11-cambridge-ave-bankstown-nsw-2200-2015963706,1200000,Sold by private treaty 19 Jun 2020,11 Cambridge Ave Bankstown NSW 2200,Bankstown ,Free Standing Houses ,3,2,1,474.2,"EXCELLENT LOCATION Take advantage of this full brick family home ideally located within walking distance to all Bankstown\'s major amenities. Set on approx. 474.2sqm of land this property features three bedrooms, separate lounge &amp; dining rooms, off street parking with undercover carport, outdoor storage area which can be converted to an office or granny flat (STCA) with separate shed and outdoor WC.",28,30,22,20,60,47,53,49,51,20 to 39,-1,"32,116"
https://www.domain.com.au/64-flinders-road-georges-hall-nsw-2198-2016272809,960000,Sold prior to auction 19 Jun 2020,64 Flinders Road Georges Hall NSW 2198,Georges Hall ,Free Standing Houses ,4,2,2,0,"AUCTION CANCELLED | SOLD PRIOR TO AUCTION Impeccable North Facing Residence Perfect for The Growing Family Beautifully situated in the heart of Georges Hall, this impressive four bedroom home was designed with the growing family in mind. Offering a spacious and substantial floorplan encouraging seamless indoor and outdoor living, this light filled residence is perfect for you and your family to move straight in or to add your own personal touch. Just moments\' walk to a myriad of ultra-convenient amenities, this premier home features:  Commanding street presence and beautiful faade  Highly sought after north facing aspect to rear allowing natural light to flood the homes interior  Sun drenched formal lounge and dining rooms plus bonus of second living room   Four generously proportioned bedrooms. Master bedroom with ensuite and balcony showcasing amazing district views   Immaculate family sized kitchen complete with gas cooking and island bench  Expansive low maintenance yard complete with covered entertaining verandah   Other quality inclusions: polished timber flooring, brand new carpet, freshly painted throughout down lighting, split system air-conditioning, external laundry and ample storage   Lock up garaging plus additional off street parking for multiple cars  Minutes\' walk to local cafs, shops, bus stops and a selection of popular private and public schools",26,27,23,24,79,86,14,62,38,20 to 39,-1,"9,041"
https://www.domain.com.au/228-nottinghill-road-regents-park-nsw-2143-2016280146,670000,Sold prior to auction 19 Jun 2020,228 Nottinghill Road Regents Park NSW 2143,Regents Park ,Free Standing Houses ,3,1,2,0,"Tee Off with Golf Course Views This charming three bedroom cottage is located directly adjacent to Carnarvon Golf Course and is ready to move in with no further work required. Boasting separate lounge and dining areas and an updated bathroom and kitchen, the location isnt the only thing you will love about this extremely well presented family home. Bathed in natural light with a North East aspect and within walking distance to all amenities. This property is priced to sell, so dont miss the opportunity to secure a home in one of Regents Park more highly desired locations. Three generous bedrooms two with built in robes and main with sunroom Separate lounge and dining areas with undercover rear entertaining area Neat kitchen with gas cooking and expansive bench area and cupboards  Updated bathroom with bath tub and shower. Separate internal laundry  Moments to Regents Park Station, Berala Woolworths and local schools Close to Lidcombe station with express train service to CBD and Parramatta",28,31,23,19,67,73,27,50,50,-1,-1,-1
https://www.domain.com.au/44-sherwood-street-revesby-nsw-2212-2016274906,1040000,Sold prior to auction 19 Jun 2020,44 Sherwood Street Revesby NSW 2212,Revesby ,Semi Detached Houses ,5,3,2,399.7,"A Rare Find - When Quality Meets Comfort Set in a sought after location on approx 400sqm, this architecturally designed build offers more than just comfort and convenience, but a spacious and modern perspective that favours all buyers in the market. Welcomed by a grand entrance to an open sun kissed formal living which flows onto the large family dining area. Enjoy cooking? You\'ll love both kitchens this property has to offer, giving you the choice of gas or electric cooking, 40mm stonetop benches, stainless steel appliances and a ducted range hood. Accommodation for the inlaws and/or parents just got a whole lot easier with a downstairs bedroom, full bathroom with floor-ceiling tiles and a second massive secluded family living area.  Showcasing 4 king sized bedrooms upstairs and a third living area, perfectly designed for the growing family to enjoy. Low maintenance and uniquely styled, this duplex is built to the highest standard with rarely seen attention to detail. Being just over 15 mins walking distance to Revesby station, schools, parks and all amenities, this is a rare addition to the market. - High end finishes throughout 5 king sized bedrooms with BIR to 4, WIR &amp; ensuite to master Choice of 2 kitchens, one with gas cooking other with electric 1 bedroom &amp; full bathroom downstairs perfect for the inlaws or parents Formal and informal living areas, Total of 3 living areas High ceilings, down lights, ducted air conditioning and vacuum Low maintenance on approx 400sqm, outdoor entertaining area with fireplace  3 Min\' drive to Revesby Station and all amenities",26,28,26,20,61,76,24,56,44,20 to 39,-1,"14,189"
https://www.domain.com.au/59-mccrossin-avenue-birrong-nsw-2143-2016252679,850000,Sold by private treaty 18 Jun 2020,59 McCrossin Avenue Birrong NSW 2143,Birrong ,Free Standing Houses ,3,1,2,556.4,"CORNER BLOCK WITH DA APPROVED DUPLEX John B Grant Real Estate, Chester Hill is proud to offer 59 McCrossin Avenue, Birrong to the marketplace. Looking for that perfect duplex site with a great location and within walking distance to public transport, shops &amp; schools? Then we are pleased to present this 3 bedroom fibro and tiled home within a short stroll from Birrong Station, Birrong shopping village and close to Birrong primary school. This is one to add for your inspection list this weekend. This 3 bedroom family home offers formal lounge, separate modern kitchen, polished timber floors throughout, modern bathroom, internal laundry with 2nd toilet, street access to large double lock up garage and work shop. Sitting on a level block corner block approximately 556.40 sqm of land with 18.29 frontage and 30.48m in depth and easement free . With all the hard work already done, save time and money and start focusing on building your dream home or profitable investment today. Plans are available on requested.  Built in 1950s approximately Zoned R2 Medium Density Residential Council Rates $352.80 per quarter approximately Water Rates $371.15 per quarter approximately Potential rental return $28,600 PA approximately",23,25,29,23,81,84,16,56,44,20 to 39,-1,"3,109"
https://www.domain.com.au/2-kerry-crescent-roselands-nsw-2196-2016266459,1068000,Sold by private treaty 18 Jun 2020,2 Kerry Crescent Roselands NSW 2196,Roselands ,Free Standing Houses ,4,1,6,0,"An Ideal Spacious Family Home This spacious and immaculate family brick home with nothing to spend, presents a great opportunity with a versatile floor plan big enough for a large family with kids or even downsizers looking for a single level home with easy maintenance. This peaceful cul de sac position is highly sought after and centrally located close to the newly renovated Roselands Centro shopping centre, local schools, parks, sporting facilities, transport and easy access to the M5 Corridors. The home boasts 4 spacious bedrooms all with built-ins, informal living &amp; dining areas, including a great sun-filled family room flowing out to the undercover sun-drenched deck and north facing child friendly yard. * Newly painted and brand new timber laminate flooring throughout * Flat enclosed yard with undercover deck area * Modern polyurethane kitchen with dishwasher * Internal Laundry with second toilet * Split system air conditioning * Manicured lawns and gardens * Wide side driveway to double automated garage&amp; huge carport",30,22,27,22,55,52,48,53,47,20 to 39,-1,"11,589"
