Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/11-buckland-street-alexandria-nsw-2015-2016058952,1270000,Sold at auction 29 Feb 2020,11 Buckland Street Alexandria NSW 2015,Alexandria ,Free Standing Houses ,1,1,1,0,"Stylishly renovated terrace, moments to Alexandria Park Newly renovated for relaxed open plan modern living, this inviting single level terrace offers plenty of light, privacy and charm. In an ideal location, it is adjacent to Alexandria Park and footsteps to the new Waterloo Metro train station that will offer direct access to Sydney CBD in minutes. It is a short walk to Green Square, Technology Park and all of Alexandria\'s and Redfern\'s hip cafes and dining spots including Fratelli Fresh and Bread &amp; Circus.  Skylit living room and a generous bedroom with an original fireplace  Brand new eat-in kitchen with Miele appliances including oven, induction cooktop and dishwasher  Fresh bathroom with a bathtub and bright glass-brick window feature  Private sun deck, high ceilings, timber floors, attic plus a storage shed   Scope to further enhance value by adding second level (STCA)",18,47,27,8,36,47,53,60,40,20 to 39,-1,"8,266"
https://www.domain.com.au/2-48-lasseter-avenue-chifley-nsw-2036-2016056466,1040000,Sold at auction 29 Feb 2020,2/48 Lasseter Avenue Chifley NSW 2036,Chifley ,Duplexes ,3,1,1,0,"Bright, spacious duplex with serene park views If a freestanding home is slightly out of reach, this unique top floor duplex offers a fabulous alternative with its house-like design and sweeping views over Chifley Park to sparkling Botany Bay. Its entire level is washed with natural light and displays beautifully presented interiors finished with quality materials. Balconies at the front and rear add to its fresh airy vibe, and its private front entrance creates a reassuring sense of security. Ample amounts of storage are included in the title, an automated garage keeps your car safe, and if you need more space for entertaining, there\'s a cabana with a pizza oven in the shared garden for your enjoyment. With a family-friendly address close to Chifley Park and playground, it offers a relaxing coastal lifestyle for a family that wants to be close to schools and beaches. You\'ll also find great coffee nearby at the Boatshed Caf in La Perouse or Little Bay\'s exclusive new residential precinct. - Chic living space transitions to a wide entertainers\' balcony Up-to-date timber kitchen with gas cooking and dishwasher Built-in robes, ceiling fans, two bedrooms flow to balconies Bright contemporary bathroom is full sized and has laundry Stainless steel appliances, LED lights and new cork flooring Gas heating/hot water, bike storage and a lock-up shed Close to daycare, Chifley Public and Congwong Beach Also handy to buses for the city on Hastings Avenue Rates: Water $179pq, Council $395pq, Strata $450pq (all approx.) Contact Jack McGhee 0423 783 979 James Natoli 0425 337 163",34,30,24,12,68,64,36,62,38,40 to 59,-1,"3,225"
https://www.domain.com.au/2a-ocean-street-clovelly-nsw-2031-2016041117,4175000,Sold at auction 29 Feb 2020,2A Ocean Street Clovelly NSW 2031,Clovelly ,Free Standing Houses ,4,3,2,0,"Incredible Oceanside Living with Views Forever Beachfront living doesn\'t get much better than this! With a 10m frontage to the ocean spectacle, this duplex commands unobstructed panoramic views that sweep across from the sands of Bondi Beach to the Maroubra Headland from its coveted setting opposite Clovelly Bowling Club. Bathed in sunlight and cooled by fresh sea breezes, the upper level features a view-swept entertainer\'s terrace and a level child-friendly garden at the rear while the lower level features a self-contained apartment ideal for teen accommodation with passive income potential. Occupying a prized corner block with double garaging via Park Lane, the four-bedroom home is a breezy stroll down to the beach, ocean pool and the famed coast walk.   Oceanside living with captivating ocean and coastal views  Fronts onto the spectacular Bronte-Coogee Aquatic Reserve  Double bedrooms, 2 with built-ins and a luxurious master suite   Self-contained studio/4th bed with designer kitchen and Oak floors  Streamlined open living and dining extends to a 9.3m wide terrace   Sun-drenched NE aspect, polished floorboards and linen curtains   Granite gas kitchen, integrated Smeg appliances and a breakfast bar  Level grassed garden, 3 bathrooms, large laundry, enormous cellar   Auto double garage (internal access), alarm and intercom security   500m to the beach and surf club, Clovelly Public School catchment",31,26,28,15,56,61,39,66,34,20 to 39,-1,"4,752"
https://www.domain.com.au/6-seaview-street-clovelly-nsw-2031-2016040287,2950000,Sold at auction 29 Feb 2020,6 Seaview Street Clovelly NSW 2031,Clovelly ,Free Standing Houses ,4,2,0,0,"AUCTION ON SITE THIS SATURDAY AT 1.30PM Contemporary Coastal Living With Panoramic Views To The Ocean In A Peaceful Parkside Enclave (Enter via Douglas Street) Northerly sunshine, freshly renovated interiors and views for days combine in this freestanding home to create a superb easycare home on the edge of Varna Park. With a commanding elevated setting at the end of a peaceful family friendly cul-de-sac, the bright and breezy two-storey home fronts onto a leafy reserve and features whole-floor living and entertaining space wrapped in a north-east facing terrace. Sweeping elevated views to the ocean horizon create a superb backdrop to the sun-filled open plan living space with limewashed floorboards giving it a fresh coastal feel. In a peaceful pocket between Macpherson Street\'s cafes and Clovelly village, the four-bedroom home is just 500m to Clovelly Public School and a breezy stroll down to the park.  * Leafy cul-de-sac, 200m to Varna Park * Limewashed floorboards, fresh paint * 3 double bedrooms with built-in robes * 4th bedroom ideal as a study or nursery  * Master bed with a fresh skylit ensuite * Upper level open plan living and dining * Sunny north aspect, views to the ocean * A private outlook and fresh sea breezes * Caesarstone gas kitchen, breakfast bar * European appliances, reverse cycle air * Sun-drenched entertainer\'s terrace  * Panoramic, never-to-be-built out views * Spa bathroom, double vanity and shower * Large internal laundry/powder room  * Private vine-framed courtyard garden * Huge wine cellar/underhouse storage  * Clovelly Public School catchment area * 600m to Wet Paint and Eugenes Cafe * Walk to Clovelly Road delis and eateries",31,19,32,18,68,78,22,68,32,20 to 39,-1,"4,752"
https://www.domain.com.au/44-vernon-avenue-eastlakes-nsw-2018-2016036855,1542000,Sold at auction 29 Feb 2020,44 Vernon Avenue Eastlakes NSW 2018,Eastlakes ,Free Standing Houses ,3,1,3,540,"Freestanding family home offers a convenient lifestyle This beautifully maintained character home presents integrated indoor to outdoor family living across a flexible single level layout on a 540sqm block. It\'s less than one kilometre from the upcoming Crown Group Eastlakes Shopping Centre and quick access to the CBD. - Spacious central living room features high ornate ceilings Separate dining area flows to covered alfresco entertaining Sunny backyard with expansive level lawn, landscaped gardens Well kept kitchen with integrated oven, large walk-in pantry Three large bedrooms with period ceilings, built-ins to main Tidy bathroom with combined shower and bath, external laundry Versatile front facing sunroom overlooks manicured front yard Polished timber floors, picture rails, plantation shutters Three off street parking spaces plus wide gated side access Family friendly location close to Crown Group Eastlakes Shopping Centre",27,19,25,29,73,86,14,57,43,20 to 39,-1,"6,922"
https://www.domain.com.au/33-leonard-avenue-kingsford-nsw-2032-2016049516,1900000,Sold at auction 29 Feb 2020,33 Leonard Avenue Kingsford NSW 2032,Kingsford ,Free Standing Houses ,3,1,5,441,"PREMIUM OPPORTUNITY IN PERFECT STREET Positioned on a level 441sqm parcel of land in a beautiful tree lined street, this full brick home offers a flurry of possibilities for its next owner. With scope for additions, extensions, refurbishment or knock down-rebuild, this is truly a blank canvas.  The home itself features 3 good size bedrooms, a veranda-sunroom attached to the second bedroom, 1 bathroom with separate toilet, 1 lock up garage with 5 additional onsite car spaces, an internal laundry, high ceilings, lead light windows, original fireplace, ornate finishes with picture rails &amp; period architraves, electric appliances, original floor boards under the carpet throughout and floorboards as part of the full brick extension done many years ago.  The quiet family friendly street is positioned in one of Kingsford\'s most sought after locations. Centrally located, it offers easy access to the new Light Rail System, Sydney\'s CBD, Prince of Wales Hospital, University of NSW, Randwick Race Track, Centennial Park, Good Schools, Golf Clubs, Sydney\'s World Class Eastern Beaches and so much more. - 3 Beds 1 Bath 1 LUG + 5 Car Spaces Full Brick  Period Features Excellent Potential",16,28,24,32,75,69,31,48,52,20 to 39,-1,"15,481"
https://www.domain.com.au/55-woomera-road-little-bay-nsw-2036-2016036881,2410000,Sold at auction 29 Feb 2020,55 Woomera Road Little Bay NSW 2036,Little Bay ,Free Standing Houses ,5,3,3,644.9,"Embrace the Space, Enjoy the Lifestyle SOLD FOR A FANTASTIC PRICE!! Thinking of selling? Call Veronica Perez on 0411 871 225 for a free market appraisal on your property... Enjoy every moment with family and friends in this stylish and spacious two-storey residence with pool in a quiet park-side street. Expansive open plan living areas are designed for relaxed indoor/outdoor entertaining while the flexible floorplan offers excellent space separation for family harmony. Set in a peaceful pocket next to Woomera Reserve, it\'s close to schools, bus, shops, major road routes and minutes to spectacular clifftop golf courses, walking tracks &amp; beautiful Bay &amp; ocean beaches.  Features include: * Massive open lounge/dining/casual living * Chef\'s stone gas kitchen with breakfast bar * Seamless flow to huge deck &amp; fenced pool * Light &amp; airy, tiled &amp; timber floors, wide windows * 3 king size bedrooms on upper level, master en suite with walk-in robes * 2 ground floor bedrooms, fully-tiled baths, internal laundry * Ducted &amp; Reverse Cycle/Air Conditioning, internal access to double lock-up garage * Walk to local school, childcare and City bus * Ideal step up for large or combined families  Council: $623.41 per quarter Water: $179.06 per quarter Auction: Saturday 29th February 2020 Venue: On Site at 12.30pm View: Thursday 4.45-5.30pm &amp; Saturday 12-12.30pm Contact: Veronica Perez 0411 871 225",32,20,25,23,72,88,12,63,37,20 to 39,-1,"4,474"
https://www.domain.com.au/18-boomerang-street-maroubra-nsw-2035-2016044552,1927000,Sold at auction 29 Feb 2020,18 Boomerang  Street Maroubra NSW 2035,Maroubra ,Semi Detached Houses ,2,1,0,304,"Super Semi with Potential Elevated double fronted 2 bedroom semi in prime position only moments from the beach. Situated on a large 304sqm block of land, with a perfect sunny level back yard, there is plenty of scope for further extensions and renovations This semi has been utilised as a 1 bedroom home for many years but is the size of a 2 bedroom and has a flexible floorplan. Features: Wide frontage with elevated district outlook Refurbished spacious eat in kitchen Large living room with adjacent sunroom Huge undercover outdoor entertaining area Level garden - room for pool Under-house storage and cellar space Ideal north easterly aspect Potential garaging - subject to council approval Electric shutters  Gas hot water Great opportunity for growing family Land dimensions - 7m x 43m approx. Council rates: $2132.17 p.a. Water rates: $179.06 p.q.",34,20,30,17,60,74,26,59,41,20 to 39,-1,"30,681"
https://www.domain.com.au/140-duncan-street-maroubra-nsw-2035-2016048316,2056000,Sold at auction 29 Feb 2020,140 Duncan Street Maroubra NSW 2035,Maroubra ,Free Standing Houses ,3,2,3,363,"First Time Offered in Over 65 Years This solid brick and tile residence is set in an elevated position a ""hop, step and a jump"" from Maroubra beach. Just a 5 minute walk to the golden beach sands, clubs, hotels, restaurants, shops &amp; public transport is at the door. A charming home with traditional features. * 3 double bedrooms (main bedroom with ensuite) * Super spacious lounge with adjoining sunroom * Some water views from the front sunroom * Formal dining room * Internal laundry * Air conditioning * Ceiling fans * Patterned ceilings * Fireplace - chimney * Off street parking for 2-3 cars * Sun filled north-facing backyard - great secluded entertaining * Site area 363 square metres * Frontage 12.19 metres This character filled family home lends itself to refurbishment and upgrade and presents a unique opportunity.  Council rates: $2373.14 p.a. Water rates: $274.53 p.q.",26,27,30,16,59,63,37,61,39,20 to 39,-1,"30,681"
https://www.domain.com.au/5-tunbridge-street-mascot-nsw-2020-2016051126,1735000,Sold at auction 29 Feb 2020,5 Tunbridge Street Mascot NSW 2020,Mascot ,Free Standing Houses ,3,2,2,407,"SOLD FOR $1,735.000 This superb character filled home set on a corner block in one of Mascot\'s premier streets, is being offered for the first time in over 45 years. This freestanding home, held within same family and purchased from the original builder, retains all the character features of that period. Featuring original unique detailing that cannot be replicated, this home has an abundance of period charm and family warmth. A wide entrance hall, high ornate ceilings and original glass lead-light windows flood the home with natural light.  Rich original solid timber floors and glass etched doors flow throughout the home. Boasting a casual sun-room with a charming sit-in bay window as well as formal living and dining areas and onto three spacious bedrooms, each with built ins.  The north facing rear outdoor space includes a separate laundry and second wash closet, shower, storage and Lock up garage.  Excellent access to all amenities just footsteps to Mascot shops and transportation hubs with direct access to the CBD, schools, Eastern Suburb beaches and recreational facilities.  - Set on approx. 407 m sq 3 generous sized bedrooms with built ins  Original period features including timber flooring, ornate ceilings, picture rails, a chime doorbell and etched glass doors  Well presented main bathroom with bath Functional kitchen with gas stove Landscaped garden and low maintenance north facing backyard  Full sized laundry with additional WC and shower  LUG with additional car space  Ample storage space throughout Practical layout offering a choice of casual living and dining options  Very close to Mascot shops, cafs, bus/train services and schools Rates  Council - $327 Per Quarter  Water - $197 Per Quarter",30,21,26,23,70,64,36,60,40,20 to 39,-1,"14,759"
