Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/79-james-street-leichhardt-nsw-2040-2016514329,2720000,Sold prior to auction 15 Oct 2020,79 James  Street Leichhardt NSW 2040,Leichhardt ,Free Standing Houses ,5,3,0,307,"Luxurious home for families of all ages and stages With its perfect family floorplan, impressive proportions and exquisite finishes, this brand new home is a masterpiece of rare style and quality. It enjoys a peaceful cul-de-sac setting within the Orange Grove Public catchment, a stroll from Norton Street. - Practical dual level layout with open living and dining area Large lounge has soaring 3.7 metre high ceiling and gas fire Travertine tiled entertainers\' terrace and gas heated pool Gourmet kitchen offers chefs\' gas stove and butlers\' pantry Four generously proportioned bedrooms all on the one level Master has walk-in robe and dual rain head shower ensuite Stunning bathrooms, main fitted with freestanding stone bath Study/fifth bed, ducted air conditioning, automated blinds Superior craftsmanship and meticulous attention to detail Walk to shopping centres, great cafs, light rail and parks",28,28,25,19,66,59,41,53,47,20 to 39,25 September,"14,625"
https://www.domain.com.au/163-johnston-street-annandale-nsw-2038-2016539355,2380000,Sold at auction 14 Oct 2020,163 Johnston Street Annandale NSW 2038,Annandale ,Free Standing Houses ,4,2,0,266,"Large Federation-Style Home Designed for Entertaining Beyond the weatherboard faade of this gorgeous Annandale home is a quiet and spacious low maintenance abode rebuilt in the Federation style offering a perfect blend of easy living and entertainment appeal. The home is beautifully crafted with exquisite detailing yet firmly focused on delivering an effortless indoor/outdoor lifestyle including a large internal courtyard with motorised Vergola and paved rear garden. The openness and light throughout the home creates a welcoming feel, while the location is conveniently central, just a few minutes walk from the village centre and within 6kms of the CBD.  Formal and open plan living-dining areas Island gas kitchen, European appliances Four bedrooms including one with office Optional couples retreat on upper level Bay windows, high ceilings, wood floors Jetmaster fireplace, r/c air-conditioning Internal courtyard plus courtyard garden 150m from Hinsby Park and playground Close to Annandale North Public School 3 mins walk to Booth Street cafes, buses Space and character at 163 Johnston St For Your Safety and Convenience: Socially distanced inspections Hand sanitiser supplied at entry Free Building/Pest report to download Online Auction through SoldOnline Electronic exchange of contracts EFT &amp; DEFT Payment of deposit",27,26,31,16,52,60,40,57,43,-1,7 October,-1
https://www.domain.com.au/191-nelson-street-annandale-nsw-2038-2016507894,1750000,Sold prior to auction 14 Oct 2020,191 Nelson Street Annandale NSW 2038,Annandale ,Free Standing Houses ,3,1,3,202,"This home is a unique cottage and warehouse package Refreshingly different and full of charm, this freestanding weatherboard cottage reflects the eclectic charm and creative vibe of its urban village setting. A hugely proportioned garage and warehouse-style workshop gives a massive bonus as a studio or for people wishing to convert into further accommodation. Set over two levels in one of Annandale\'s best pockets, just around the corner from the village high street, the tastefully renovated three-bedroom home features a gorgeous courtyard garden and rear access to leafy Smith Hogan and Spindlers Park giving the home an easy connection to nature and the great outdoors.  - A unique property, cottage charm with a warehouse vibe  3 double bedrooms, 2 with built-ins, attic retreat/study Living with a wood-burning fireplace, polished floorboards  Skylit modern dine-in gas kitchen opens to a breakfast patio  Private courtyard garden, sunny lawn and outdoor shower Enormous warehouse style double garage, rear lane access Workshop with mezzanine storage, ideal live/work prospect Annandale North Public School catchment, 4km to the CBD",26,26,30,18,63,62,38,62,38,-1,22 September,-1
https://www.domain.com.au/2-1-cardigan-lane-camperdown-nsw-2050-2016501834,1220000,Sold prior to auction 14 Oct 2020,2/1 Cardigan Lane Camperdown NSW 2050,Camperdown ,Free Standing Houses ,2,1,1,0,"Spacious townhouse with lock up garage This stylish dual level residence has been perfectly crafted for low maintenance living in the sought-after heart of vibrant Camperdown. It is set within a boutique building, strolling distance to Camperdown Park and Newtown. - 2 bed, 1.5 bath, lock up garage w/ direct internal access North to rear yard with large entertaining sunlit deck Directly across the road from dog friendly O\'Dea Reserve Set in a boutique complex with its own street frontage Modern stone top kitchen equipped with s/steel appliances Large renovated bathroom with bath and walk in shower Double bedrooms both equipped with built-in wardrobes Open plan living and dining with seamless indoor/outdoor flow Lock up garage, carpet upstairs, air conditioning in both levels Stroll to vibrant shops, cafes, restaurants, quality schools Walking distance to King Street, buses, trains, RPA Hospital Strata $896 per quarter",16,38,29,16,56,33,67,39,61,20 to 39,18 September,"10,352"
https://www.domain.com.au/22a-wellington-road-earlwood-nsw-2206-2016495824,2410000,Sold prior to auction 14 Oct 2020,22A Wellington Road Earlwood NSW 2206,Earlwood ,Free Standing Houses ,5,4,4,432.5,"Upmarket living in quiet cul-de-sac This brand-new architectural residence stands out for its striking, high-end design and multi-use function. Custom built using the highest quality materials, it is a light-filled luxury home to suit families at all stages of life, and features a separate ground floor studio. A generously proportioned, sophisticated home with stunning finishes, this one is a remarkable package - all in a family friendly cul-de-sac. - North aspect w/ multiple outdoor areas Chic neutral colour palette throughout Custom gas kitchen, Miele appliances Stylish stone bathrooms &amp; sep. laundry Built-in wardrobes, master with walk-in Bedrooms w/ courtyard/balcony access Separate studio w/ kitchen &amp; bathroom Multi-zoned air-conditioning throughout Four-car garage with workshop &amp; cellar High-tech security and intercom system Cabana, terrace w/ Harbour Bridge view Upgrade with the family, move-in ready Moments to shops, transport and parks",26,19,28,26,66,58,42,48,52,40 to 59,16 September,"17,744"
https://www.domain.com.au/166-lilyfield-road-lilyfield-nsw-2040-2016486855,1400000,Sold by private treaty 14 Oct 2020,166 Lilyfield Road Lilyfield NSW 2040,Lilyfield ,Free Standing Houses ,2,1,0,221,"Spacious cottage on 221sqm A stylish blend of classic charm and contemporary design delivers a welcoming feel in this 6m wide 1920s semi with an indoor/outdoor flow that invites relaxation. Set amid landscaped gardens between the Bay Run and the light rail, the bright and airy home is wrapped in Blackbutt decks with a child-friendly garden at the rear and scope to extend and develop the huge attic space in the future (STCA). Minutes to the city, this beautifully presented home offers a relaxed Lilyfield lifestyle a short walk to Orange Grove Public School, Farmers Market and Norton Street\'s dining hub. - Travertine entry, polished floorboards and high ornate ceilings  Double bedrooms with built-ins and a freshly schemed bathroom King sized master with a deck overlooking the sunny front garden Large living room with a cast-iron gas fireplace and reverse air  Contemporary dine-in gas kitchen, quality integrated appliances Bi-folds to a deck and jasmine-framed garden with a sunny lawn Skylit entry hall, 48sqm attic, Euro laundry, plantation shutters Walk to bayside parks, Leichhardt\'s cafe culture and the Bay Run",28,25,30,17,52,60,40,56,44,-1,-1,-1
https://www.domain.com.au/34-darley-street-newtown-nsw-2042-2016453310,1540000,Sold by private treaty 13 Oct 2020,34 Darley Street Newtown NSW 2042,Newtown ,Free Standing Houses ,3,2,0,221,"Newly renovated terrace with King Street at doorstep Blending classic character with relaxed modern style, this renovated end terrace is surprisingly spacious, beautifully finished and ultra-convenient. It\'s set in a sought-after street, with King Street, Sydney Park and St Peters Station at its doorstep. - 3 bed, 2 bath, 221sqm of land, freestanding to one side Open plan living and dining features bi fold doors to yard Double glazed windows, blend of modern &amp; period features Sunny rear yard and private entertainers\' timber deck New modern kitchen equipped with stainless gas stove Three generous bedrooms, two new designer bathrooms  Good sized bathrooms, main with bathtub, internal laundry  Further potential to extend to second level and add value (STCA) Excellent Inner City home or investment with strong yields Close to specialty shops, quality schools and Metro shops Near Sydney University, Royal Prince Alfred Hospital and CBD In catchment for Newtown High School of the Performing Art",26,35,32,7,43,45,55,55,45,20 to 39,-1,"15,027"
https://www.domain.com.au/312-unwins-bridge-road-tempe-nsw-2044-2016497314,1300000,Sold prior to auction 13 Oct 2020,312 Unwins Bridge Road Tempe NSW 2044,Tempe ,Free Standing Houses ,3,2,1,240,"Ideal dual occupancy or work from home residence Designed to embrace versatile living and low maintenance, this Art Deco residence enjoys an ideal location close to Sydenham Station, schools, parks and cafes. A rare find for the Inner West, the home is freestanding and offers various possibilities for buyers seeking a property for their extended family, a dual income earner or work from home options.  Art Deco freestanding double brick and tile home   High ceilings, feature doors, polished timber floors throughout  Ideal for families seeking a dual occupancy layout  Level 1 boasts 2 bedrooms with BIR, large living, dining, kitchen and bathroom  Access Level 2 internally via a central staircase or utilise the private side entrance  Huge bedroom with BIR\'s, living, kitchenette, bathroom and entertaining deck on level 2  Pet and child friendly with the freshly laid lawn, or relax in the shaded courtyard  Off street parking with roller door via rear lane access from Samuel Lane  Stroll to Sydenham Station and Metro, Tillman Park, PS and high school",25,31,26,17,65,71,29,53,47,20 to 39,16 September,"3,548"
https://www.domain.com.au/10-princes-street-burwood-nsw-2134-2016482117,2350000,Sold at auction 12 Oct 2020,10 Princes Street Burwood NSW 2134,Burwood ,Free Standing Houses ,3,3,2,550,"Sold by Rong You Immaculate Family Home In A Prime Location Ideal for the growing family, this North facing full brick family home is set on a 550sqm block and offers the perfect balance of space, comfort and functionality in a quiet, convenient and exceptionally private location.  Enjoy the lifestyle you deserve with spacious living areas as well as an extensive alfresco area providing seamless indoor-outdoor entertaining with landscaped garden surrounds.  This beautiful home offers three generous sized bedrooms which ensures your growing family will be well accommodated for years to come. The oversized main bedroom also features an ensuite.  There is a modern designed gas kitchen with stainless steel appliances, three stylish bathrooms, internal laundry and air-conditioning. This home also features a security camera surveillance system and an extra wide driveway which leads to a double lock-up garage. This impressive home offers a lifestyle where convenience will become a by-word in this super location, within just a short stroll to Burwood train station, Westfield Shopping Centre, local schools and parks, this is the home you have been looking for.",11,37,24,28,57,56,44,51,49,20 to 39,-1,"16,011"
https://www.domain.com.au/16-dickinson-avenue-croydon-nsw-2132-2016463270,2780000,Sold at auction 12 Oct 2020,16 Dickinson Avenue Croydon NSW 2132,Croydon ,Free Standing Houses ,4,3,2,0,"Sold By Joe Murania A Grand Federation Residence with City Views in a Prime Malvern Hill Estate Location Perfectly positioned on an elevated parcel of land in arguably one of the most prestigious avenues the Malvern Hill Estate has to offer- only a mere 300 metres to The Strand village shops, cafs, restaurants, PLC and train station.  This grand federation residence has been sympathetically restored and extended to offer the perfect blend of old world charm with today\'s modern conveniences.  Featuring 4/5 generous bedrooms, an updated kitchen with quality Smeg gas appliances, a separate butlers kitchen with incorporated laundry, two new modern bathrooms, a formal dining room and a large living area which opens out to an north-east facing undercover entertainment sized balcony with magnificent city views. The property also features the huge bonus of a recently built two level studio at the rear with a lock up garage, its own bathroom and a separate retreat upstairs- also with city views.  Ample parking is also provided via a wide side driveway to a carport which follows through to the garage and a totally private, leafy rear garden. Truly a rare opportunity to purchase a family home of this calibre in one of the area\'s most tightly held positions - simply move in and enjoy. Land size approximately 650sqm",25,23,28,24,67,67,33,56,44,40 to 59,-1,"10,608"
