Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/229-longueville-road-lane-cove-nsw-2066-2016523897,1587500,Sold by private treaty 14 Oct 2020,229 Longueville Road Lane Cove NSW 2066,Lane Cove ,Free Standing Houses ,538m,0,0,538,"Vacant Land Will be offered for sale with 227 Longueville Road, Lane Cove. This will be an ""in one line"" sale (both properties to be sold at the same time). Situated on approximately 538m2 this land has been in the same ownership for the last 28 years. A residential lot that is level, vacant and ready to build. It is just a 10 minute walk to Lane Cove shops and restaurants. The CBD is easily accessible. Transport and all amenities are at the door. Inspect at 12.30pm on Saturday and Phone Peter McGuinn on 0414 283 055.",22,15,29,34,55,77,23,61,39,20 to 39,30 September,"10,817"
https://www.domain.com.au/227-longueville-road-lane-cove-nsw-2066-2016523895,1587500,Sold by private treaty 14 Oct 2020,227 Longueville Road Lane Cove NSW 2066,Lane Cove ,Free Standing Houses ,5,4,0,582,"Renovate &amp; Upgrade Will be offered for sale with 229 Longueville Road, Lane Cove. This will be an ""in one line"" sale (both properties to be sold at the same time). With elegance and style from a bygone era this five bedroom freestanding home offers features and opportunities rarely seen. This traditional home has not been sold in 28 years, it has been expanded with dual living areas and has loads of space. There is a great opportunity to restore, upgrade and modernise. Features include: Front &amp; side entry porches Vestibule 5 bedrooms 3 ensuites Main bathroom Very large eat in kitchen with gas appliances Walk in pantry Formal dining room Large open living room Linen cupboard Internal laundry Upstairs - massive rumpus/family room with water/sink - great for  entertaining 3 large storage areas easily accessible inside the roof There are skylights, patterned ceilings, fireplaces, picture rails, original windows &amp; doors Situated on approximately 582m2 this home is a 10 minute level walk to the Lane Cove shops and restaurants. All amenities and transport are at the door. Inspect at 12.30pm on Saturday. Should you wish to discuss please contact Peter McGuinn on 0414 283 055",22,15,29,34,55,77,23,61,39,-1,30 September,-1
https://www.domain.com.au/10-robinson-street-chatswood-nsw-2067-2016486200,2730000,Sold at auction 10 Oct 2020,10 Robinson Street Chatswood NSW 2067,Chatswood ,Free Standing Houses ,4,3,1,0,"SOLD AT AUCTION BY VICKIE YAP AND LAWRENCE LIANG\nCharming Family Home in a Blue-Ribbon Location Walk along the sandstone paving, to this timeless Federation style home, located in one of Chatswood\'s most popular streets and prepare to be impressed.  With a practical and spacious layout this home provides a great opportunity for the astute buyer to renovate or extend (STCA).  Conveniently located, only minutes\' walk to Chatswood Chase, Aldi, Chatswood Place and handy to Chatswood Station, schools, restaurants and amenities. - Four spacious bedrooms, all with beautifully retained fireplaces, main with ensuite L shaped kitchen with an abundance of storage Third bedroom and adjoining kitchen and bathroom is perfect as a retreat for elderly parents and in laws. Or can be rented out as a source of additional income Located in a prized school catchment Willoughby Public School, Willoughby Girls High School and Chatswood High School Well-appointed throughout with so many unique features that can only be determined by your own inspection.",27,25,23,24,58,73,27,55,45,20 to 39,-1,"24,900"
https://www.domain.com.au/39-robert-street-willoughby-nsw-2068-2016491824,2400000,Sold at auction 10 Oct 2020,39 Robert Street Willoughby NSW 2068,Willoughby ,Free Standing Houses ,4,2,4,625,"Desirable Location This solid brick home offers a generous floor plan in an enviable location. The home sits on a 625m2 block with the ability to renovate or build your dream home (S.T.C.A) within one of the North Shore\'s most sought after pockets, located close to Chatswood Northbridge and North Sydney. With only a short stroll to Willoughby\'s vibrant High Street shopping village and Walking distance to Willoughby Girls High, Willoughby Public &amp; St Thomas Primary Schools this home is a desirable lifestyle choice for all family buyers. Features include 3 Good sized bedrooms featuring built-in to 2  4th bedroom or study  Separate lounge room Practical eat in kitchen undercover parking for at least 4 cars off street parking for an additional 2 cars Garage plus additional storage area with sink",35,14,30,21,[,81,19,66,34,40 to 59,-1,"6,542"
https://www.domain.com.au/60-northcote-street-naremburn-nsw-2065-2016486134,2650000,Sold at auction 9 Oct 2020,60 Northcote Street Naremburn NSW 2065,Naremburn ,Free Standing Houses ,3,2,1,416,"Modern family entertainer in highly desired address A family oasis designed with a focus on alfresco living and entertaining, this beautiful home matches a laidback lifestyle with location convenience. It\'s a short walk from the hub of Crows Nest, St Leonards Station, Naremburn Park and city bound buses. - Contemporary lounge/dining zone seamlessly connects outside Bi-fold doors lead to timber deck, barbecue area and terrace Private backyard encircled by tranquil established greenery Luxe kitchen has Bosch gas cooktop and central island bar Three peaceful bedrooms, master wing on own private level Main bathroom, ensuite in second bedroom, powder room/laundry Studio/home office/teenagers\' retreat and air conditioning Fresh neutral dcor, timber floorboards and high ceilings Off street parking, close to excellent schools Quick commute to North Sydney\'s business district and the CBD",20,35,31,14,38,53,47,61,39,20 to 39,-1,"5,885"
https://www.domain.com.au/10-victoria-street-mcmahons-point-nsw-2060-2016482721,2150000,Sold at auction 3 Oct 2020,10 Victoria Street Mcmahons Point NSW 2060,Mcmahons Point ,Free Standing Houses ,2,1,0,0,"Great bones and in an ideal location - ripe for renovation Located in one of McMahons Point\'s premier streets, this once delightful tri level Victorian terrace has fallen from its former glory. Offering fantastic potential for anyone who can recognise great bones and is willing to put their money where their imagination is. Whether it be a rejuvenation of the current layout or a substantial extension/renovation (STCA), you can rest assured that your investment will be a safe one in this position. Bring your bravado and your builder, your future masterpiece awaits!  - Undeniable potential in one of Sydney\'s most desirable suburbs North facing sun washed backyard with leafy outlooks Current water glimpses from the top level with further potential for enhanced water views across Berrys Bay with extension (STCA) Not heritage listed, located in a conservation area and zoned R3 Medium Density Residential Amazing opportunity to add value and capitalise  Walk to ferries and buses, Sawmillers Reserve &amp; the harbour foreshore Moments to vibrant Blues Point Rd\'s cafes, restaurants and shops Walk to North Sydney CBD, trains &amp; schools; offers rapid access into the CBD",17,26,31,27,51,77,23,61,39,20 to 39,-1,"2,283"
https://www.domain.com.au/94b-raglan-street-mosman-nsw-2088-2016487621,2300000,Sold prior to auction 2 Oct 2020,94B Raglan Street Mosman NSW 2088,Mosman ,Free Standing Houses ,3,2,1,0,"Semi  detached home in a prime location Rarely available in Mosman, this wonderfully proportioned semi-detached residence is a fantastic opportunity to own an easycare home with a trifecta of size, character and gorgeous outdoor space. Set over two levels, upstairs reveals a charming alfresco deck greeted by a beautiful established tree worthy of a fairy tale. The property is footsteps to buses, while moments to ferries, Sirius Cove Reserve, sought after schools and everything there is to love about Mosman\'s vibrant village atmosphere. - Spacious upper living and dining zone enjoys a serene leafy outlook Deck provides the perfect setting to enjoy quality time with friends Marble top kitchen has integrated fridge plus Miele induction cooktop  Three generous bedrooms are all appointed with built in wardrobes  Master opens to private courtyard amidst tranquil garden surrounds Tidy bathrooms, internal laundry, visitor intercom plus single carport Ready to love as is while offering ample scope to enhance in future Disclaimer: All information contained herewith, including but not limited to the general property description, price and the address, is provided to Belle Property by third parties. We have obtained this information from sources we believe to be reliable; however, we cannot guarantee its accuracy. The information contained herewith should not be relied upon and you should make your own enquiries and seek advice in respect of this property or any property on this website.",30,20,32,18,48,58,42,59,41,40 to 59,-1,"28,470"
https://www.domain.com.au/21-armstrong-street-willoughby-nsw-2068-2016493507,1860000,Sold prior to auction 2 Oct 2020,21 Armstrong Street Willoughby NSW 2068,Willoughby ,Free Standing Houses ,3,2,1,493,"Huge Potential - Level Land - Great Location Set on an easy-care level block of land in a quiet cul-de-sac, this free-standing brick &amp; timber home is an ideal entry-level property. The home includes 3 bedrooms, 2nd shower &amp; toilet in laundry, large lounge, big functional kitchen, and a casual dining room leading onto the sunny northerly entertainment deck. With a private level yard and a lock-up garage, the home is comfortable to live in now - Currently tenanted, but vacant possession available. However, it offers fantastic potential to knock down and build your dream home in the future. (Ask to see the conception plans designed for the current owner). Take advantage of this great opportunity to add value to this very handy and tranquil location. Easy access to Artarmon station, Chatswood CBD and the city (Only 2 sets of traffic lights). Walk to buses, schools, local shops, restaurants &amp; parks.",32,25,32,11,54,65,35,60,40,40 to 59,-1,"6,542"
https://www.domain.com.au/58-thomas-st-mcmahons-point-nsw-2060-2011547906,1235000,Sold at auction 9 Sep 2020,58 Thomas St MCMAHONS POINT NSW 2060,MCMAHONS POINT ,Free Standing Houses ,2,1,0,139,"A TOUCH OF CLASS Set in one of McMahons Point\'s most popular streets, this charming semi has been renovated beautifully throughout. Presented with a fresh new palette, stunning new bathroom and all the character features you have come to know and love - This enchanting home is a must see!  Enjoy all this Habourside suburb has to offer with village style boutique shopping, restaurants and vibrant cafes.  -Further potential via an already approved D.A for an upstairs extension  -Sunlit living area with full length and width feature window  -Beautiful wood floors &amp; tastefully painted through out  -Modern open plan gas kitchen with skylight and dishwasher  -Master bedroom with white plantation shutters, character fireplace and walk in wardrobe  -Stunning designer bathroom with frameless shower and an elegant new bathroom suite  -Entertaining area with sandstone wall, wrought iron fencing and colourful cottage garden  -Large basement utility room with laundry and storage  -Spacious loft with drop down ladder access  -Reverse cycle air conditioning to living areas and bedrooms  -Gas hot water and bayonets perfect for BBQs and cost effective winter heating  - Street parking with residential permit x 2  -Only 10 minutes into the City and a short stroll up to North Sydney CBD and train station.  AUCTION Saturday November 22nd onsite 10.30am  Council: $278 pq approx.  Water: $177 pq approx.  Land Area 139 sqm approx.  Size 119 sqm approx. Perry Calkin : 0421 055 775",17,26,31,27,51,77,23,61,39,20 to 39,-1,"2,283"
https://www.domain.com.au/29-olympia-road-naremburn-nsw-2065-2016461521,1910000,Sold prior to auction 8 Sep 2020,29 Olympia Road Naremburn NSW 2065,Naremburn ,Free Standing Houses ,3,2,1,286,"Privately set north facing Californian bungalow Designed to bask in a private north facing outlook, this revived free standing Californian bungalow is set behind a private hedge and creates a light filled retreat for low maintenance living. It\'s set close to Naremburn Park, village shops and cafes, and is within walking distance of St Leonards Station and express city buses. - Flowing single level layout provides multiple living domains Beautifully crafted interiors embrace heritage architecture Bi-fold glass opens for seamless indoor/outdoor entertaining Sun drenched courtyard provides idyllic alfresco dining space Elegant kitchen equipped with granite benches and gas cooktop Generously scaled bedrooms appointed with built-in wardrobes Two neat bathrooms, one fitted with a combined bath/shower High ornate ceilings, air conditioning, wood burning fireplace Single covered car space, underhouse storage/wine cellar Converted attic with pull down ladder for ample storage  Located within proximity to a selection of quality schools",31,23,31,15,49,70,30,63,37,20 to 39,-1,"5,885"
