Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/2-kolonga-place-frenchs-forest-nsw-2086-2016360491,1641000,Sold by private treaty 24 Jul 2020,2 Kolonga Place Frenchs Forest NSW 2086,Frenchs Forest ,Free Standing Houses ,4,3,2,708,"Sold by Jay Alcock 0402 036 364 Positioned in a highly sort after pocket of Frenchs Forest this impressive family home with an expansive layout offers the growing family the ideal opportunity to call Frenchs Forest home. Offering multiple living areas and a glorious sun-drenched swimming pool the property is perfect for entertaining with family and friends all year round. 2 Kolonga Place occupying 708sqm presents with a view to outdoor living and entertaining. Set in a peaceful cul-de-sac location and offering 4 generous bedrooms, including master with ensuite.  Features include:  Open plan lounge and dining   Modern kitchen over-looking gorgeous inground pool  Four spacious bedrooms, master with walk-in wardrobe and ensuite  Spacious living with private side entrance  Study or home office  Low maintenance gardens  Expansive poolside deck ideal for BBQs  New carpet throughout all bedrooms  Air conditioning  Double garage  Roseville boat ramp within easy access  Forestway Shopping Centre and Northern Beaches Hospital only moments away  Express CBD and Chatswood bus only a short walk This charming family home will appeal to many young families and discerning buyers alike. Unlimited opportunity coupled with its desirable location you simply cant miss this. Less than 15 minutes to beaches and stunning National Park bushwalks are within short walking distance. Chatswood within 15 minutes and the CBD only 30 minutes this wonderful property and location is sure to delight.",35,20,25,19,75,88,12,62,38,40 to 59,-1,"13,481"
https://www.domain.com.au/20-mimosa-street-frenchs-forest-nsw-2086-2016336706,1455000,Sold by private treaty 24 Jul 2020,20 Mimosa Street Frenchs Forest NSW 2086,Frenchs Forest ,Free Standing Houses ,3,3,2,696,"Flexible home enjoying position and potential Premier convenience and exciting potential are on offer in this single level home that rests on a generous 696sqm in a coveted locale. A much enjoyed residence for its current owner over the last 46 years, it provides an excellent entry into the market with a flexible floor plan that can be enjoyed now and improved in the future or could be removed and replaced with a new home of choice (STCA). Front and back alfresco spaces allow for outdoor entertaining at any time of the year and the generous back yard can be transformed into a childrens paradise. Resting adjacent to Mimosa Public, its also an easy stroll to Davidson High, Glenrose shops, the bus, sports fields and parklands.  Wide frontage, single level floor plan, reverse cycle a/c  Generous living room opens to the private front terrace  Spacious dining, large modern kitchen with skylight  Spacious rear fenced alfresco terrace, barbeque area  Three good sized bedrooms, master retreat with en-suite  Main bathroom with a separate toilet, external laundry  Flexible retreat/rumpus with kitchenette and bathroom  Ample off-street parking with space to park the trailer  Generous fully fenced back yard, two garden sheds",28,16,28,28,67,97,3,70,30,40 to 59,-1,"13,481"
https://www.domain.com.au/107-carawa-road-cromer-nsw-2099-2016343513,1725000,Sold prior to auction 23 Jul 2020,107 Carawa Road Cromer NSW 2099,Cromer ,Free Standing Houses ,5,3,4,743.2,"DUAL RESIDENCE - EXCEPTIONAL VALUE If you are looking for great value then this home is for you! * Great investment opportunity huge parcel of land * Suits extended family with 2 distinct homes * Or provides a secondary income if you choose to live in one * The big thing about this property is it\'s sun-drenched with lovely manicured gardens in a peaceful environment * Minutes away to Cromer Park, public transportation, schools and local shopping * Very rare for such a property to come on the market  FRONT COTTAGE 3 large bedrooms, main with built in robe. Open and airy living and dining room Stunning gourmet kitchen with stone benchtops, stainless steel appliances and lots of storage North facing with a spacious deck Bathroom with shower and toilet plus wc and laundry facilities Enclosed rear garden Off street parking for 2 vehicles REAR COTTAGE Totally renovated cottage 2 bedrooms, main with ensuite Eat-in kitchen Open and airy living and dining room North facing Bathroom with bath, shower and toilet External laundry Side and back garden area Off Street parking for 2 vehicles Council rates approx $2095.92 pa **Disclaimer: All information contained herein has been compiled from sources deemed reliable however we cannot guarantee the accuracy of the information provided as such we make no representation or warranty and expressly disclaim any liability in relation to the accuracy of the information provided. Interested parties are encouraged to verify any information they wish to rely on.",37,15,30,18,66,86,14,72,28,40 to 59,-1,"7,584"
https://www.domain.com.au/71-mcintosh-road-narraweena-nsw-2099-2016347429,1400000,Sold prior to auction 23 Jul 2020,71 McIntosh Road Narraweena NSW 2099,Narraweena ,Free Standing Houses ,2,1,3,550,"Entry level family home in sought-after location Set across a perfectly level parcel beside Beverley Job Park, this freshly updated bungalow provides the perfect market entry point for a young family, with excellent future potential. It\'s placed within metres of Narraweena\'s village shops and city buses. - Comfortable single level layout, zoned lounge/dining areas Interiors refreshed with new paint and flooring throughout Double doors to entertaining deck and large yard for kids Kitchen features stainless dishwasher and Smeg gas stove Two oversized carpeted bedrooms, main with built-in robe Ready to live in now, option to extend/rebuild later (STCA) Air conditioning, wood combustion fireplace, high ceilings Privately set behind palm trees, plenty of off street parking Steps from Bella Dolce Caf, public/Catholic primary schools Walking distance to Dee Why shops, minutes from the beach",22,18,24,37,66,84,16,58,42,40 to 59,-1,"6,625"
https://www.domain.com.au/44-serpentine-crescent-north-balgowlah-nsw-2093-2016335196,1850000,Sold by private treaty 23 Jul 2020,44 Serpentine Crescent North Balgowlah NSW 2093,North Balgowlah ,Free Standing Houses ,3,2,2,0,"Dual-level haven in family-friendly street Auction Saturday 25 July  FIND. Resting on a generous nor-west facing block in an exclusive family setting, this elegant dual-level home sets the standard in relaxed family living. Set in the peaceful surrounds of North Balgowlah and only a few blocks from Manly Dam, this freestanding 1950s residence offers spacious living, inviting alfresco entertaining spaces, and generous and comfortable accommodation. LOVE. Offering the ideal base for families, this beautifully presented home is surrounded by oasis-like gardens that enjoy a sunny nor-west aspect and offer the perfect environment for family fun, and alfresco dining and entertaining. This delightful home is presented in immaculate condition and is ready for a family to move in and enjoy now, yet may inspire you to add value further down the track.   An elegant sunken lounge room is enhanced by an open fireplace, custom joinery, and leafy outlooks to the street.  The kitchen takes a logical position next to the dedicated dining area and features sleek stone counters, gas cooking, a dishwasher and a breakfast bar.  A second sitting area or family room is positioned to the rear of the house and flows out to the outdoor entertaining area. The aspect means this will be a delightful place to sit and enjoy the afternoon sun, particularly in winter.  The back yard consists of a mix of open and covered alfresco dining areas, plus a level lawn that offers generous space for the kids to enjoy play equipment or lawn games.  Upstairs is dedicated to peaceful comfort, with three generous bedrooms that are serviced by a bathroom with bath and overhead shower.  Functional layout with a bathroom and laundry room downstairs.  The house enjoys some striking features, including a decorative leadlight window and high ceilings. LIVE. Sitting within the catchment zone for Seaforth Public School and mere moments from Manly Dam, this is an exclusive family setting that boasts a welcoming and family-friendly community. The house sits within walking distance of local shops in Seaforth, Balgowlah and North Balgowlah, is just moments from a number of excellent schools, and is a short drive to beaches and lifestyle hubs in Manly, Balgowlah and Fairlight. Disclaimer: Whilst every effort has been made to ensure the accuracy and thoroughness of the information provided to you in our marketing material, we cannot guarantee the accuracy of the information provided by our Vendors, and as such, Cunninghams makes no statement, representation or warranty, and assumes no legal liability in relation to the accuracy of the information provided. Interested parties should conduct their own due diligence in relation to each property they are considering purchasing. All photographs, maps and images are representative only, for marketing purposes.",34,21,33,12,66,67,33,63,37,40 to 59,-1,"3,653"
https://www.domain.com.au/98-balgowlah-road-balgowlah-nsw-2093-2016331763,1668000,Sold by private treaty 21 Jul 2020,98 Balgowlah Road Balgowlah NSW 2093,Balgowlah ,Free Standing Houses ,3,1,2,556,"North-facing cottage with enormous potential FIND. Poised on a generous, rear-north 556sqm allotment and surrounded by lush gardens to the front and to the rear, this single-level weatherboard cottage is ready for a new beginning. Whether you choose to update and refresh the current layout, or knock down and build from the ground up (STCA), this charming residence offers an excellent opportunity in a popular suburb. LOVE. Resting peacefully on the cul-de-sac end of Balgowlah Road and backing onto Burnt Bridge Creek, this charismatic home is in perfect original condition, so you can move in now while you finalise your vision. This is a convenient and highly accessible location that puts schools, shops and parks within moments of the front door, as well as offering easy access to Manly and the city.  The spacious living and dining area features high ceilings with elegant cornicing, reverse-cycle air-con and doors that flow out to a front-facing verandah that overlooks the front garden.  The north-facing sunroom gets lovely light throughout the day and steps out to the back yard, which is protected by trees and offers gated access to Burnt Bridge Creek, where you can find a bike trail that goes all the way into Manly.  The floorplan is functional as it is, with bedrooms tucked away from the living spaces.  Three spacious bedrooms, including a king-sized master bedroom.  The kitchen and bathroom are in mint original condition, and are both perfectly functional.  Single lock-up garage, as well as off-street parking for up to two cars.  There is a dedicated laundry room, a storage room, plus further storage space underneath the house. LIVE. Enjoy the convenience of having supermarkets, city buses, cafes and parks within a ten-minute walk of the front door. This very central and well-connected location is popular because of its proximity to the city as well as to Manly, but also because it is surrounded by stunning harbour beaches and reserves. Stockland Balgowlah is a 10-minute walk, it\'s a three-minute walk to Aggy\'s Corner for your morning coffee, or stroll up to Sydney Road where there is a great selection of eateries, takeaways and local shops. ""There is also precedence of recent dual occupancy approvals close by so maybe possible STCA"" Land size: Approx 556 sqm Water rates: Approx $180 pq Council rates: Approx $506 pq Disclaimer: Whilst every effort has been made to ensure the accuracy and thoroughness of the information provided to you in our marketing material, we cannot guarantee the accuracy of the information provided by our Vendors, and as such, Cunninghams makes no statement, representation or warranty, and assumes no legal liability in relation to the accuracy of the information provided. Interested parties should conduct their own due diligence in relation to each property they are considering purchasing. All photographs, maps and images are representative only, for marketing purposes.",30,21,29,20,61,79,21,64,36,-1,-1,-1
https://www.domain.com.au/32-evergreen-drive-cromer-nsw-2099-2016424847,2200000,Sold by private treaty 21 Jul 2020,32 Evergreen Drive Cromer NSW 2099,Cromer ,Free Standing Houses ,5,3,0,0,"Architect Designed Residence Perfect For Every Aspect Of Family Life Showcasing quality finishes and exquisite attention to detail, this inspirational home provides a premium low maintenance lifestyle of opportunity within the exclusive Evergreen Estate. Designed to create a superb sense of space, the substantial floor plan unveils multiple living spaces, blending to the private alfresco entertaining. Its conveniently placed close to schools, Dee Why Town Centre, express city buses and a two-minute bike ride to the beach. - Striking faade for instant appeal, high ceilings accentuate space, light and air-flow Flowing open plan lounge/dining with gas fireplace offers seamless outdoor integration Private alfresco entertaining timber deck with custom seating, covered year-round enjoyment Deluxe kitchen has stone benchtops, gas cooktop, entertainers island and ample storage Upstairs rumpus, bedrooms with built-ins, master has walk-in and ensuite, study/nursery Lower level guest bedroom or media room, sleek bathrooms, laundry with extra cabinetry  Oversized double garage with storage and internal access, air conditioning, NBN ready Family oriented neighbourhood comprising of prestigious architect designed residences  20 year structural guarantee, 2016 built, plantation shutters, security system, ample storage Water Rates - $179 Per Quarter Council Rates - $351 Per Quarter",31,24,45,,18,100,0,0,100,40 to 59,-1,"7,584"
https://www.domain.com.au/118-harbord-road-freshwater-nsw-2096-2016362518,2050000,Sold prior to auction 20 Jul 2020,118 Harbord Road Freshwater NSW 2096,Freshwater ,Free Standing Houses ,4,1,2,600,"Original double brick cottage with charming features FIND. This charming single-level cottage in superb original condition presents a golden opportunity for a keen renovator to bring it to its full potential. It rests on a generous 600sqm block and boasts solid double brick construction; charming period features, and a functional floorplan that already makes sense as it is. Consider updating and refreshing the current layout, adding another level to embrace stunning district views, or even re-building (STCA). LOVE. With spacious living, generous bedrooms and a perfectly functioning bathroom and kitchen, this delightful home is in impeccable condition, so you can move in now and carry out any renovations in stages. Freshwater continues to be one of the northern beaches\' best-loved suburbs. This charming residence will suit those who are looking to create their dream home in a highly sought-after location close to beaches, shops and schools.  Attractive features include high ceilings, elegant pine floorboards that have been sanded back to their raw state, plus spacious, light and airy rooms.  The generous living and dining area flows out to an entertainer\'s patio that overlooks the back yard.  West-facing back yard filled with lots of lush, established flowerbeds and trees, and a level lawn. Plenty of room to add a pool.  With living set back from the road, it is unexpectedly quiet inside.  Three very generous bedrooms, including two with built-ins. There is potential to convert the study/forth bed into a bedroom with en-suite.  Kitchen and bathroom are in original condition, but are both perfectly functioning.  Single lock-up garage and off-street parking for another car.  Solar panels installed on roof. LIVE. Freshwater is a vibrant suburb that continues to thrive, with one of the best beaches in the area, and a friendly and welcoming village with a great set of shops and cafes. This central location is ideally placed for easy access to the village, the beach, as well as public transport and shops. Bus stops are just outside the door, which will take you to Manly or Dee Why; there is a great set of local shops just moments away; Harbord Public School is a 15-minute walk away, and it\'s a level 20-minute stroll to the beach. Disclaimer: Whilst every effort has been made to ensure the accuracy and thoroughness of the information provided to you in our marketing material, we cannot guarantee the accuracy of the information provided by our Vendors, and as such, Cunninghams makes no statement, representation or warranty, and assumes no legal liability in relation to the accuracy of the information provided. Interested parties should conduct their own due diligence in relation to each property they are considering purchasing. All photographs, maps and images are representative only, for marketing purposes.",36,18,30,16,63,92,8,68,32,20 to 39,-1,"8,859"
https://www.domain.com.au/22a-binburra-avenue-avalon-beach-nsw-2107-2016331299,1350000,Sold at auction 18 Jul 2020,22a Binburra Avenue Avalon Beach NSW 2107,Avalon Beach ,Free Standing Houses ,2,2,2,280,"Remarkable find in the heart of North Avalon Soaking in a sunny north aspect, this beach cottage has undergone a stunning transformation in just the past year, creating a showcase of crisp, clean lines with a superb open plan design; the polished interiors extend to an alfresco deck and lush gardens.  - Top-to-bottom renovation; premium quality finishes throughout Single level open plan layout ideal for downsizers, couples or young families 280sqm parcel immersed in beautiful gardens and level lawns French doors extend interiors to a broad, north facing deck Sleek open plan kitchen; Quartz Smartstone benches &amp; breakfast bar Master bedroom with designer ensuite and built-in wardrobe Freestanding soak tub in ultra-contemporary family bathroom Internal laundry, custom built-ins, fully fenced perimeter Lock-and-leave convenience in a prime North Avalon setting Level stroll to local shops, schools, cafes, bus transport and beach",34,20,32,14,65,84,16,65,35,40 to 59,-1,"9,906"
https://www.domain.com.au/7a-lady-penrhyn-drive-beacon-hill-nsw-2100-2016320604,1500000,Sold at auction 18 Jul 2020,7a Lady Penrhyn Drive Beacon Hill NSW 2100,Beacon Hill ,Free Standing Houses ,4,2,3,0,"Spacious and easy care with ocean panoramas Solid and substantial, this impressive Torrens title residence combines spacious proportions with a position that commands beautiful district and ocean views. Perfect for those looking for a large low maintenance home, the north-east facing residence delivers a multi-level floor plan with views from each level and generous alfresco spaces both front and back. Well maintained interiors are bright and comfortable boasting formal and informal living, four substantial bedrooms and ample storage. It delivers exceptional buying in a popular setting that is just moments to the bus, Beacon Hill Public School, Northern Beaches Hospital, Westfield Warringah and fabulous beaches.  Positioned high from the street, well-configured floor plan  Spacious lounge and dining opens to the lower balcony  Casual living and dining, quality stone and gas kitchen  Smeg appliances, internal laundry, powder room, ducted a/c  Rear terrace and backyard that catches the afternoon sun  Four generous bedrooms extend across the upper level  King-sized master with walk-in robe and generous ensuite  Master enjoys a private balcony and sensational views  All beds with robes, easy internal access double garage  Additional off-street car space or area to park the van",27,21,31,21,73,89,11,66,34,40 to 59,-1,"7,451"
