Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/15-elyard-drive-nowra-nsw-2541-2014188461,379000,Sold by private treaty 12 Apr 2018,15 Elyard Drive Nowra NSW 2541,Nowra ,Free Standing Houses ,3,1,1,663,"Invest In Happiness This 3 bedroom home offers its new owners a great tenant happy to stay on, with a secure income this would secure your families future. Alternitavley you can move in to your new home and enjoy it for yourself.  Inclusions;  Polished timber floorboards  Kitchen with plenty of storage  Bathroom with separate toilet  Carport attached  663m2 block of land  Council reserve and park close by Walking distance to Nowra CBD",31,27,20,22,61,63,37,47,53,60+,-1,"9,183"
https://www.domain.com.au/76-east-street-nowra-nsw-2541-2014065245,850000,Sold by private treaty 12 Apr 2018,76 East Street Nowra NSW 2541,Nowra ,Free Standing Houses ,6,5,9,1227,"The Pines Bed &amp; Breakfast (or just a beautiful place to live) Lifestyle  Award winning top of the list, consistently rated 9.5. Centrally located and oozing charm this beautifully renovated 19th Century cottage, enjoys a rewarding lifestyle both for living and a very attractive income. Accommodation  consists of 4 beautifully appointed guest accommodation rooms, each with their own up market bathrooms. Each room is private and leading to a sunny common room off a delightful complete kitchen. Guests can enjoy a sunny AM courtyard breakfast or paper reading experience in leafy surrounds. Off street parking and centrally located to the township. Features  double glazed at the front for quietness. Fully air conditioned for owners and guest comfort. This property has the \'top\' listing spot for Nowra based ratings on booking.com for a reason! All internet based and NOT relying on passing trade like motels. Majority of guests are regular visiting professionals, wedding party guests and overseas visitors. This is a truly easily run business and enjoyable lifestyle. Experienced staff allow you to have your holiday breaks! This is a very lucrative and enjoyable lifestyle for the right person or couple. Sold fully furnished WIWO. All inspections strictly by appointment only.",19,22,28,30,50,68,32,39,61,60+,-1,"9,183"
https://www.domain.com.au/4-allison-avenue-nowra-nsw-2541-2014076812,460000,Sold by private treaty 9 Apr 2018,4 Allison Avenue Nowra NSW 2541,Nowra ,Free Standing Houses ,4,1,1,664,"IMMACULATELY PRESENTED HOME Ready to move in, unpack, sit back and relax Modern galley style kitchen with loads of storage Combined lounge and dining with split system air conditioner Stylish fully renovated bathroom with separate toilet Four bedrooms with a possible 5th by using the office as well as a study New floor coverings and freshly painted throughout the home  Detached 6 x 4 workshop with 3 phase power ideal for the home handy man or woman  Covered rear verandah and lean-to off the workshop providing additional out door areas 3 x 3 metre garden shed, two undercover dog pens To book an inspection or for further information call John Egan on 0411 148 529",25,21,18,36,66,71,29,45,55,60+,-1,"9,183"
https://www.domain.com.au/2-172-mckay-street-nowra-nsw-2541-2014239281,230000,Sold by private treaty 6 Apr 2018,2/172 McKay Street Nowra NSW 2541,Nowra ,Free Standing Houses ,2,1,1,116,"what an opportunity 2 bedroom duplex, open plan living single lock up garage, courtyard  large bedrooms with built in robes rc/ac, gas heating, nbn, storage ideal investment or to occupy",31,20,22,26,65,66,34,53,47,60+,-1,"9,183"
https://www.domain.com.au/48-jindalee-crescent-nowra-nsw-2541-2014247917,610000,Sold at auction 5 Apr 2018,48 Jindalee Crescent Nowra NSW 2541,Nowra ,Free Standing Houses ,4,2,2,718,"Impressive family home This tastefully modern family home is set on a large 718sqm block of land offering 4 generous bedrooms with built in robes. The Master bedroom offers a stunning private ensuite with the remaining 4 bedrooms sharing the main bathroom. Open plan living with a large space offered combining the kitchen, dining and family room. Side access for a small trailer and drive through double garage.  It is an absolute pleasure to present this beautiful home to the market.",26,23,22,29,40,67,33,62,38,-1,-1,-1
https://www.domain.com.au/181-mckay-street-nowra-nsw-2541-2014221028,400000,Sold prior to auction 4 Apr 2018,181 McKay Street Nowra NSW 2541,Nowra ,Free Standing Houses ,3,1,1,636,"Top Of Town! This 3 bedroom home is beautifully presented, in excellent condition and the perfect property for your 1st home or investment.Located on the western side of Princes Highway, it is elevated and has a lovely, Northern aspect toward the mountains. There is loads on offer here, so don\'t delay!  Modern and fresh interior  Renovated kitchen and bathroom  Separate dining space  Built in robes  Air conditioning for year round comfort  Separate studio perfect for teenage retreat or craft room  Rear covered deck for entertaining  Secure backyard All this and more on a 636 sm block with a secure backyard for the family or pets. Call Vinny for your opportunity to inspect this welcoming family home.",25,24,21,30,56,45,55,42,58,-1,-1,-1
https://www.domain.com.au/45-lyrebird-drive-nowra-nsw-2541-2013847380,627000,Sold by private treaty 4 Apr 2018,45 Lyrebird Drive Nowra NSW 2541,Nowra ,Free Standing Houses ,4,2,2,748,"\'Tis the Season to be Jolly ! And you will be more than happy in this beautiful family home ideally located only 350m walk from the grassy banks of the Shoalhaven River. The family would feel right at home here with four bedrooms, substantial living areas and a double garage with drive through access to the rear. The back yard has a nice sunny Northerly aspect which is perfect for enjoying the private leafy surrounds. Not only that but you are less than 2km from the Nowra CBD and your choice of cafes, restaraunts &amp; public transport. If you are looking for that perfect Christmas present then this could be exactly what you need !",19,23,26,32,52,67,33,51,49,60+,-1,"9,183"
https://www.domain.com.au/15-wilson-avenue-nowra-nsw-2541-2014085374,400000,Sold by private treaty 4 Apr 2018,15 Wilson Avenue Nowra NSW 2541,Nowra ,Free Standing Houses ,3,1,1,594.38,waltz into wilson embracing a convenient life walking distance to Nowra CBD R3 medium density zoned block good side access; spacious garage potential to develop or renovate timber flooring &amp; rc/ac,22,27,27,23,64,64,36,56,44,60+,-1,"9,183"
https://www.domain.com.au/19-burradoo-crescent-nowra-nsw-2541-2014119388,600000,Sold by private treaty 29 Mar 2018,19 Burradoo Crescent Nowra NSW 2541,Nowra ,Free Standing Houses ,6,2,2,924.3,"spacious &amp; gracious spacious easy flowing floor plan enclosed entertaining area with spa 3 separate large living areas double garage, side access to yard close to shops, schools &amp; medical",26,23,22,29,40,67,33,62,38,60+,-1,"9,183"
https://www.domain.com.au/5-huxley-street-nowra-nsw-2541-2014084409,657000,Sold by private treaty 28 Mar 2018,5 Huxley Street Nowra NSW 2541,Nowra ,Free Standing Houses ,4,2,2,619.67,"heavenly huxley a super chic, fully refurbished home the ultimate environment to relax northerly mountain outlook flawless, private master suite just moments to Nowra CBD",26,22,25,27,56,59,41,38,62,60+,-1,"9,183"
https://www.domain.com.au/2-gould-avenue-nowra-nsw-2541-2014167349,370000,Sold by private treaty 28 Mar 2018,2 Gould Avenue Nowra NSW 2541,Nowra ,Free Standing Houses ,4,2,1,689.23,must be sold fully renovated throughout situated in a super sunny position  modern open plan living area large outdoor deck + private yard CBD convenience; west side of hwy,22,24,30,23,52,29,71,36,64,60+,-1,"9,183"
https://www.domain.com.au/2-mcdonald-avenue-nowra-nsw-2541-2014186886,455000,Sold by private treaty 27 Mar 2018,2 McDonald Avenue Nowra NSW 2541,Nowra ,Free Standing Houses ,3,1,2,582,"SURE TO IMPRESS Ready to move in or rent out when all the work has been done for you Modern fully renovated central kitchen fills with natural light, gas cooktop, dishwasher  L shape lounge/dining with split system air conditioner and gas points Stylish bathroom also providing extra toilet King sized master suite with split system air conditioner, built in robes in all bedrooms Polished timber floors throughout most of the home, plantation shutters on most windows Private landscaped rear yard with covered entertaining area, garden shed  Tandem carport with remote roller door access, fully fenced front and rear yards on an easy maintained 582m2 block  Solar hot water system, town gas connected, ceiling fans in most rooms Short drive to the local University campus, Naval base, schools and Nowra CBD For further information or to book an inspection call John Egan on 0411148529",25,24,21,30,56,45,55,42,58,60+,-1,"9,183"
https://www.domain.com.au/49-bridge-road-nowra-nsw-2541-2014066413,710000,Sold by private treaty 27 Mar 2018,49 Bridge Road Nowra NSW 2541,Nowra ,Free Standing Houses ,4,1,6,582,"Perfect formula for investment Prime exposure, stunning period building nearing 100 years old but very well maintained with period features throughout such as: beautiful hand carved and original fireplaces, high ceilings and original Baltic pine floorboards. Rumours abound of it being haunted, but the current long-term tenants say they get along fine and have learned to live together. For the Savvy investor; there is secure tenancy with an international operator ""Hearing Life"" providing consistent yields for years to follow. This all equates to the perfect formula for investing. Located on one of the main entrance roads to Nowra CBD and sitting opposite Shoalhaven Council and the Entertainment Centre gives the ultimate in business presence and customer convenience.  Features  Ducted Air-conditioning  Recently tar sealed customer and staff car park for 6 cars  2 x original hand carved fire places  Security system  Kitchen and staff area  Dedicated filing and storage areas",18,14,27,41,54,44,56,42,58,60+,-1,"9,183"
https://www.domain.com.au/4-narwee-link-nowra-nsw-2541-2013891445,451000,Sold by private treaty 23 Mar 2018,4 Narwee Link Nowra NSW 2541,Nowra ,Free Standing Houses ,4,2,2,684,"Fantastic Family Home! This home is ideally suited to first home buyers and investors. Offering: - Four bedrooms, master with built in wardrobe &amp; Ensuite Central kitchen Spacious flexible lounge, dining and family areas Rear entertaining deck Open plan design Set on a 684 sqm block Located close to Shoalhaven High School and St Johns High School , transport and local playing fields.  This home offers a great opportunity to enter the local real estate market.  Contact the selling agent Professionals Clyde Poulton Real Estate Nowra to arrange your inspection.",26,23,22,29,40,67,33,62,38,60+,-1,"9,183"
