Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/4-larra-crescent-north-rocks-nsw-2151-2016418638,1350000,Sold by private treaty 4 Aug 2020,4 Larra Crescent North Rocks NSW 2151,North Rocks ,Free Standing Houses ,4,2,0,776,"Haven of peace and greenery Backing onto a reserve in a quiet pocket with extraordinary bush views, this is a home of peace and privacy. Green views are on display from every room, with timber floors in the main living areas echoing the natural surrounds. The updated kitchen features stone benches, stainless steel appliances, a glass splash back and bar seating for quick meals. It links to formal and casual dining rooms while a formal lounge area offers flexibility. Step out to a covered deck surrounded by greenery for relaxed entertaining overlooking the backyard.  On the lower level, a rumpus merges out to its own alfresco and there is a study or fifth bedroom with separate access. Three upstairs bedrooms directly open outside capturing the light and air, while the master has the convenience of an ensuite and walk-in wardrobe. This home\'s handy setting is a walk to M2 express buses and is in the catchment for North Rocks Public School and Muirfield High School.   Well presented bush view home on 776sqm   Versatile floor plan, open living areas   Built-in storage for four bedrooms   Ducted air conditioning, ceiling fans, extra toilet in the laundry   Moments to schools, M2 buses and North Rocks Shopping Centre  We have obtained all information in this document from sources we believe to be reliable; however, we cannot guarantee its accuracy. Prospective purchasers are advised to carry out their own investigations.",28,21,27,24,76,93,7,70,30,40 to 59,-1,"7,978"
https://www.domain.com.au/3-31-33-chelmsford-road-south-wentworthville-nsw-2145-2016328344,620075,Sold by private treaty 4 Aug 2020,3/31-33 Chelmsford Road South Wentworthville NSW 2145,South Wentworthville ,Villas ,3,1,1,0,"3 BEDROOM CHARACTER FILLED VILLA!! This lovely three bedroom brick veneer villa has been beautifully maintained and is perfect for the family looking for low maintenance living while still getting all the options of a spacious home. Features include neat and bright gas kitchen, lovely bathroom, internal laundry, character filled living area, ducted AC, lock-up garage with auto-door and internal access, plus a lovely low-maintenance courtyard with covered pergola. Set in a very well presented complex. + 3 bedrooms with built-in robes + Bright gas kitchen + Ducted air conditioning + Low maintenance private courtyard + Lock-up garage with internal access + Investors note: Potential rental return $440 - $460 Per week This is a high-quality home that must be inspected. Call Alex Mich on  0433 622 145 to arrange your inspection before its too late",26,30,26,19,52,60,40,53,47,20 to 39,-1,"6,212"
https://www.domain.com.au/14-gaggin-street-north-parramatta-nsw-2151-2016389130,860000,Sold prior to auction 3 Aug 2020,14 Gaggin Street North Parramatta NSW 2151,North Parramatta ,Free Standing Houses ,3,1,1,394.8,"LOW MAINTENANCE RENOVATED HOME Peacefully positioned within a tightly held street is this 3 bedroom renovated cottage offering a spacious floor plan and practical layout. Situated opposite Parramatta East Public School &amp; within moments to Parramatta CBD, train station, bus stops, local parklands &amp; Westfield shopping centre. This property features: Spacious open plan lounge &amp; dining opening onto enclosed sunroom Gourmet kitchen with gas cooking &amp; sliding door access to undercover alfresco paved entertaining area Renovated bathroom with bathtub &amp; frameless shower screen Built-in robes to 2 bedrooms Internal laundry &amp; 2nd toilet Polished timber floorboards &amp; high ceilings throughout Reverse-cycle air conditioning &amp; ceiling fans Driveway to lock-up garage Approx 394.8m2 landscaped level block with R3 Zoning Nearby Schools include Parramatta East Public, Macarthur Girl\'s High, Our Lady of Mercy College &amp; University of Western Sydney We recommend you inspect this property without any delay to avoid disappointment. The home will be auctioned on Saturday 22nd August 2020 on site at 10:30am, unless sold prior Click the link below to pre-purchase a copy of the pest &amp; building report  https://www.beforeyoubid.com.au/purchase/14-gaggin -street-north-parramatta-nsw-2151/buildingpest",20,35,24,21,59,40,60,52,48,20 to 39,-1,"13,253"
https://www.domain.com.au/3-628-630-victoria-road-ermington-nsw-2115-2016315286,782500,Sold by private treaty 2 Aug 2020,3/628-630 Victoria Road Ermington NSW 2115,Ermington ,Villas ,3,1,2,0,"Opportunity Knocking! This freestanding 3 bedroom brick veneer villa, positioned at the rear of the complex, enjoys a private wrap-around backyard that affords a tranquil ambiance year round. The property also has easy vehicle access via either Victoria Road or Parkes Street with tandem parking for two cars and government bus services at your doorstep. Property Highlights: - Located in a small complex of only six  Three double bedrooms, all with built-in robes Bright and airy lounge and dining room, light filled via a northerly-facing bay window which overlooks the private backyard Spacious kitchen with gas cooking appliances and ducted range hood Two-way family bathroom with separate shower and bath  Reverse-cycle air conditioning plus gas hot water and heating New flooring and paint throughout the property Large paved patio for year-round entertaining Huge wrap around grassed yard with freshly landscaped gardens Loads of storage space throughout the property  Tandem parking for two vehicles  Location Highlights: - 150m to the M52 and 544 bus service 1.5km to Marsden High School 1km to Ermington West Public School 600m to Betty Cuthbert Avenue shops 3km to West Ryde Train Station 700m to Cowells Lane Reserve",21,24,25,29,66,41,59,50,50,-1,-1,-1
https://www.domain.com.au/331-old-prospect-road-greystanes-nsw-2145-2016340987,862000,Sold at auction 1 Aug 2020,331 Old Prospect Road Greystanes NSW 2145,Greystanes ,Free Standing Houses ,3,1,1,619,"Corner block, live, invest, or develop Great opportunity to acquire this prime 619 sqm corner block in a desirable location with potential to develop detached duplex S.T.C.A. The beautiful home is perfect to live in or invest, featuring: 3 bedrooms, master suite with built in wardrobe Designer kitchen with stone bench top, dishwasher &amp; stainless steel appliances Spacious open plan layout boasts large living &amp; dining area Main bathroom with bathtub plus separate laundry &amp; additional toilet Polished timber flooring throughout, ceiling fans in bedroom Undercover alfresco area includes outdoor spa, great for entertainment Large low-maintenance concrete backyard Single lockup garage and adjoining storage shed Endless opportunities to live in, invest or redevelop &amp; capitalise in excellent location Short stroll to Pemulwuy marketplace shoppingtown, 4 minutes\' walk 4 minutes\' drive to Greystanes Shopping centre &amp; eateries Short drive to quality local schools, St. Paul\'s Catholic College, Our Lady Queen of Peace &amp; Greystanes Public school 3 minutes\' drive Surrounded by renowned walking tracks &amp; bike trails from Pemulwuy to Prospect Reservoir Hunters Agency &amp; Co believe that the information contained herein is gathered from sources such as Principal/vendors &amp; their legal representatives which we deem to be reliable. All lot sizes/measurements are approximate; the website may have filtered the property into a price bracket for website functionality purposes. However, no representation or warranties of any nature whatsoever are given, intended or implied. Any interested parties should rely on their own inquiries. Intending purchasers should seek legal &amp; financial advice before entering into any contract of purchase.",24,26,24,26,80,81,19,55,45,20 to 39,-1,"22,796"
https://www.domain.com.au/28-frances-street-south-wentworthville-nsw-2145-2016353015,800000,Sold at auction 1 Aug 2020,28 Frances Street South Wentworthville NSW 2145,South Wentworthville ,Free Standing Houses ,2,1,2,0,"Super Wide 16.32m Frontage &amp; *DA Approved Duplex Site-2 x 4 Bedrooms + Study"" Situated in One of South Wentworthvilles finest streets and positioned in a prime location within proximity to Hilltop Merrylands local shops, Hilltop road public School, public transport, childcare centres, easy access to M4 motorway, Westmead Hospital and Merrylands Stockland Mall. Perfect for first home buyers or savvy investor, this family home presents, 2 bedrooms with built-ins, separate lounge &amp; dining area, modern kitchen with gas cooking, polished floorboards, large lock up garage plus workshop and currently leased for $430 per week. *Bonus development approval for 2 x 4 bedrooms plus study with astonishing floor plans, torrens title subdivision with"" deferred commencement"" subject to stormwater easement. (Subject to council approval).Plans available upon request. Also, ideal location to build your dream home, taking advantage of the super wide 16.32m frontage (approx.) and total landsize of 556.4 sqm(approx.)  Must be sold. Contact Agent: George Lattouf 0404 004 754 Laing &amp; Simmons Merrylands and its directors, employees and related entities believe that the information contained herein is gathered from sources we deem to be reliable. However, no representation or warranties of any nature whatsoever are given, intended or implied. Any interested parties should rely on their own inquiries.""",26,30,30,14,61,69,31,58,42,20 to 39,-1,"6,212"
https://www.domain.com.au/7-aster-street-greystanes-nsw-2145-2016340705,794500,Sold by private treaty 31 Jul 2020,7 Aster Street Greystanes NSW 2145,Greystanes ,Free Standing Houses ,3,1,1,575.4,"FANTASTIC FLOORPLAN ON A SPACIOUS BLOCK Enjoying an ideal cul-de-sac location on a spacious, manicured 575.4sqm parcel of land, this wonderful family home presents a fabulous footprint on which you can create the home of your dreams. Lovingly presented in quality original condition, the home is ready for living now with scope to update it to reflect your own personal tastes and personality. Offering three bedrooms, an air-conditioned living area plus a sunny family room adjoining an enormous covered entertaining area, the home has been cleverly designed for both fun and functionality. Inclusive of a lovely landscaped yard with loads of under-home storage space, a lock-up garage with remote access plus additional off-street parking, you are perfectly located for active family living just over 200 metres walk to school, bus transport and access to the Boothtown Aqueduct where you can enjoy many kilometres of beautiful bushland walking and bike tracks. * 3 bedrooms with built-in robes * Dual living areas with large courtyard * Air-conditioning plus wood-fire heating * Oversized lock-up garage with internal access * Generous 575.4sqm land size * Council: $395pq | Water: $177.12pq | Land: 575.4sqm * Investors note: Potential rental return approx. $460 - $480 per week DISCLAIMER: All information contained herein is gathered from sources we believe to be reliable, however, we cannot guarantee its accuracy and interested persons should rely on their own enquiries.",30,20,26,24,77,88,12,67,33,20 to 39,-1,"22,796"
https://www.domain.com.au/21a-beamish-road-northmead-nsw-2152-2016356748,1100000,Sold by private treaty 31 Jul 2020,21A Beamish Road Northmead NSW 2152,Northmead ,Free Standing Houses ,5,3,1,335,"SOLD BY RUSSELL JUDD ANOTHER FIRST NATIONAL SUCCESS Ultra-modern design, top of the range inclusions and exquisite attention to detail flawlessly combine to create an impressive executive residence. Offering a flexible floorplan with a guest bedroom and full bathroom on the ground level, features include: Chefs kitchen featuring premium 900mm appliances,  40mm stone bench tops and plenty of cupboard space 5 double bedrooms, LUXURY walk in robe and ensuite to master 3 x VOGUE bathrooms with spa bath in main Large 5.4m x 2.8m garage plus storage area Alarm, video intercom and ducted air  Stunning covered alfresco area with deck, outdoor kitchen with bbq and bar fridge  The location is unbeatable offering an easy stroll to Parramatta and Hills buses, Westmead medical precinct 5 mins walk and schools, shops and parks nearby. Reserve your chance of owning this special home and call RUSSELL JUDD on 0404 028 262 today!",24,39,28,9,[,49,51,61,39,20 to 39,-1,"11,216"
https://www.domain.com.au/60-rippon-avenue-dundas-nsw-2117-2016259881,980000,Sold by private treaty 30 Jul 2020,60 Rippon Avenue Dundas NSW 2117,Dundas ,Free Standing Houses ,3,1,2,0,"Sold By Alex Cheng 0425 666 655 ""Maison Bridge Property"" This solid full brick home is located in one of the most convenient street in Dundas. It offers all the features for a family with walking distance to local schools, city buses, train station and local shops. Only a short drive to Parramatta CBD and about a 10-15 minute drive to Eastwood and Carlingford. This is THE ONE you must see! Property Features: 3 sunlit oversized bedrooms, 2 with build-in robes Spacious open plan living &amp; dining  Oversized kitchen with ducted range hood plus plenty of cabinet storage Great size tiled bathroom with window Outdoor entertaining area, perfect for BBQ Good size laundry and 2nd toilet  Spacious backyard with further extension or granny flat potential (STCA) Single garage and carport plus additional workshop/storage Location Features: 400m to Dundas Station (Parramatta light rail stage1 station) 500m to Victoria Rd buses service (Bus 520,521,523,524,525 &amp; M52) 300m to Kissing Point Rd buses service (Bus 545) 400m to Dundas Shopping Village 600m to Western Sydney University 700m to Dundas Public School (Primary School) 1.9km to St Patrick\'s Marist College (Catholic High School) 3.5km to Cumberland High School (High School) For more information or to inspect the property, please contact Alex Cheng on 0425 666 655. Disclaimer: The information presented has been furnished from sources we deem to be reliable. We have not verified whether or not the information is accurate and do not accept any responsibility to any person and do no more than pass it on. All interested parties should rely on their own enquiries in order to determine the accuracy of this information.",29,27,30,14,72,67,33,52,48,20 to 39,-1,"4,729"
https://www.domain.com.au/4-shannon-avenue-merrylands-nsw-2160-2016403984,888000,Sold by private treaty 30 Jul 2020,4 Shannon Avenue Merrylands NSW 2160,Merrylands ,Free Standing Houses ,3,1,1,558,"Bring Your Vision To Life Occupying a 558sqm(approx.) corner parcel in an unrivalled family friendly location, this brick veneer home will appeal to those with creative plans to renovate or knock down and rebuild your dream home. The fantastic existing layout provides the perfect canvas for modern renovations whilst providing ample space for your family to grow and enjoy. Perfectly positioned within walking distance to local reserves, Merrylands Park, swimming centre, tennis courts and soccer club and within close proximity of quality local schools, Stockland Mall, Merrylands Station, local buses and the Parramatta CBD, this location is sure to tick all the boxes. Property features include: *558sqm(approx.) corner parcel *Generous living room *Separate dining space *Well positioned kitchen *Sizeable master bedroom *Two secondary bedrooms *Spacious family bathroom with separate shower and bath *Internal laundry with additional toilet *Covered rear patio *Expansive backyard *Single lock up garage and ample side access for trailer, caravan or boat storage",24,31,25,20,63,67,33,52,48,20 to 39,-1,"29,660"
