Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/67-lavarack-street-ryde-nsw-2112-2013552928,1850000,Sold at auction 5 Jun 2017,67 Lavarack Street Ryde NSW 2112,Ryde ,Free Standing Houses ,5,3,2,5628,"Grand family home 6 mins drive to Macquarie University This modern luxury house is located in a quiet street in Ryde only 6 mins drive to Macquarie University. It is beautifully designed and well-built with marble flooring on ground floor and ample family entertaining area. It offers luxury living in beautiful location close to Macquarie University&amp; shopping centre.  Main features: 5 bedrooms all with built in wardrobes, master room with ensuite 2 spacious living rooms, separate dining and huge rumpus room great for family entertainment or could be utilised teenage retreat / granny flat.  North facing bedrooms and living room filled with sunlight Spacious living area flowing to terrace at backyard ideal for entertaining Modern gas cooking kitchen with stone benchtop and quality bathrooms Landscaped easy care garden Double lock up garage with internal access Internal laundry with access to covered paved area 2 mins walk to buses to city and Macquarie Uni/Park, Strathfield, Burwood, and Ryde etc Easy access to Top Ryde shopping centre, Macquarie University and shopping centre Land size: 562.8 sqm , frontage: 15.24m  For more information, please call Daisy Lin on 0403 137 511.",23,22,27,27,75,77,23,61,39,20 to 39,-1,"26,507"
https://www.domain.com.au/8-toni-crescent-ryde-nsw-2112-2013623099,1600000,Sold by private treaty 2 Jun 2017,8 Toni Crescent Ryde NSW 2112,Ryde ,Free Standing Houses ,3,1,2,0,"Sprawling level block in quiet cul-de-sac location Set on an expansive level block, this neat residence provides the perfect entry level opportunity or blank canvas to rebuild your dream home. In a great location it is close to schools, parks, city transport and Top Ryde City shopping centre. - Set on an expansive block in a quiet cul-de-sac location - Ideal entry level opportunity or blank canvas to rebuild - Three well appointed bedrooms with built in wardrobes - Large kitchen with ample bench and cupboard space - Separate living and dining areas flowing to balcony  - Child-friendly rear yard with level lawn and lush garden - Lock up garage with additional carport and storage/shed - Moments drive to both Top Ryde and Macquarie shops - Express city buses within 300 metres from Lane Cove Road - A short walk to popular Northcross Christian School",26,25,28,21,69,79,21,57,43,20 to 39,-1,"26,507"
https://www.domain.com.au/9-niara-street-ryde-nsw-2112-2013563027,1510000,Sold at auction 27 May 2017,9 Niara Street Ryde NSW 2112,Ryde ,Free Standing Houses ,4,2,0,0,"Expansive family home in quite cul-de-sac location Peacefully and conveniently located this grand residence offers a versatile layout and offers expansive sunlit interiors. The property boasts an elevated position on the high side of a quiet street capturing bush views and abundance of light and space. - Separate living and dining areas with an upstairs rumpus - Four well-appointed bedrooms, two fitted with built-ins - Generous interiors with high ceilings and hardwood floors - Multiple living zones to accommodate growing families - Gourmet kitchen with quality European appliances - Child-friendly rear yard with outdoor entertaining area - Laundry with w/c, under house storage and gas heating - Elevated position on the high side of a cul-de-sac street - Moments to quality schools, local shops and transport - Walk to Gannan Park and a short drive to Top Ryde City",32,22,29,18,67,76,24,61,39,20 to 39,-1,"26,507"
https://www.domain.com.au/3-providence-road-ryde-nsw-2112-2013563338,1410000,Sold at auction 27 May 2017,3 Providence Road Ryde NSW 2112,Ryde ,Free Standing Houses ,3,1,2,531,"Entry Level Opportunity!! Renovate or Knock Down &amp; Rebuild!! This three bedroom home will be a great buy for those wanting to get into Ryde on a limited budget. Whilst in original condition the property has potential for someone looking at either renovating and adding there own personal touch or knocking down and rebuilding there dream family home. Features include: -Sun-filled Living area with Fireplace -Separate Dining Area -Original Kitchen -Bathroom with Separate Bath and Shower -Three Bedrooms plus separate study &amp; sunroom -Workshop/Storage Room that Could be Restored to a Garage -Carport The property is positioned on the high side of the street &amp; is on approx 531sqm of land &amp; with an approx 14.755m frontage. It is conveniently located within walking distance to City Buses, Top Ryde Shops &amp; Schools. This property must be sold so don\'t miss out on this fantastic opportunity. \'All information contained herein is gathered from sources we deem to be reliable. However, we cannot guarantee its accuracy and interested persons should rely on their own enquiries\' Robert Younis : 0402 995 597",24,27,31,19,58,49,51,56,44,20 to 39,-1,"26,507"
https://www.domain.com.au/44-acacia-avenue-ryde-nsw-2112-2013568995,2631000,Sold at auction 26 May 2017,44 Acacia Avenue Ryde NSW 2112,Ryde ,Free Standing Houses ,5,3,2,720,"New family home &amp; backyard entertainer With brand new quality throughout, this home is a modern entertainer of indoor/outdoor flow, alfresco space &amp; a family-friendly backyard. It\'s full of natural light in a quiet &amp; convenient spot. Highlights * Clean &amp; neutral finishes, modern details * Flr-to-ceiling glass, outdoor dining room * Level lawns &amp; landscaped family gardens * Sep. living spaces + home theatre/media * Solid blackbutt flooring both inside &amp; out * Stone kitchen, gas, ducted a/c, B2B alarm * Walk-in pantry, full l\'dry, built-in storage * King master suite, walk-in robe, tub in main * Catchment for Putney Primary, St Charles * Int-entry DLUG, close to waterfront parks",33,18,28,21,67,78,22,60,40,20 to 39,-1,"26,507"
https://www.domain.com.au/2-ivy-street-ryde-nsw-2112-2013606834,1600000,Sold by private treaty 25 May 2017,2 Ivy Street Ryde NSW 2112,Ryde ,Semi Detached Houses ,5,3,2,0,"House Sized Five Bedroom Duplex Located in cul-de -sac! Ideal opportunity for families seeking easy care lifestyle and simply a spacious home to accommodate the growing family.  Located in a highly sought after pocket of Ryde, this very well presented house like duplex is set to impress the astute home owners to occupy and investors looking to add to their portfolios.  Accommodation consists of but is not limited to the following: - Five spacious bedrooms all with built in robes, master bedroom with en-suite  Large kitchen equipped with high quality appliances, plenty of storage and gas cooking facilities  Spacious lounge area with floorboards throughout  Dedicated dining and sun drenched living areas tiled throughout  Three very well maintained bathrooms North facing, low maintenance outdoor area perfect for entertaining with family &amp; friends Double lock up garage with plenty of extra storage  Other features include: - Plantation shutters Fully ducted air conditioning with two separate zones  Underground Water tank  Love where you live, sitting on the high side of the street in a cul-de-sac location, this would be a great place to call home. Please call Amit Kumar &amp; David Gennusa on 02 9808 2944 to arrange private viewing by appointment. All information provided has been gathered from sources we deem to be reliable. However, we cannot guarantee its accuracy and any interested persons should rely upon their own enquiries",32,22,29,18,67,76,24,61,39,20 to 39,-1,"26,507"
https://www.domain.com.au/3-eileen-street-ryde-nsw-2112-2013599182,1710000,Sold by private treaty 25 May 2017,3 Eileen Street Ryde NSW 2112,Ryde ,Free Standing Houses ,3,2,2,0,"A sense of style and space, approx. 562sqm, high side of the street, cul-de-sac location! A sophisticated renovation with a sense of style, space and quality finishes throughout. Efficient internal layout and sunlit alfresco area overlooking level backyard, this home is ideal for the astute home owner.  Features include but are not limited to the following:  - Three spacious bedrooms, two with built in wardrobes  Separate open plan lounge and dining areas filled with plenty of natural light  Contemporary custom kitchen with quality stone benchtops, mirrored splashback, 100mm benchtops, soft close drawers and semi integrated BOSCH appliances  Two stylish fully tiled bathrooms  Covered alfresco area overlooking level low maintenance backyard with dedicated BBQ area  Internal laundry, ducted air conditioning, polished timber floors &amp; more modern finishes throughout  Single carport with plenty of off street parking available for an additional two cars  Land size approx. 562sqm, approx. 16m frontage  3 minutes to Top Ryde City Shopping Centre and within close proximity to local schools, parks and transportation  Filled with character and class, this home is set to impress. A property certainly worth considering! *Agent Interest All information provided has been gathered from sources we deem to be reliable. However, we cannot guarantee its accuracy and any interested persons should rely upon their own enquiries",26,25,28,21,69,79,21,57,43,20 to 39,-1,"26,507"
https://www.domain.com.au/48b-clayton-street-ryde-nsw-2112-2013557517,1867000,Sold at auction 22 May 2017,48B CLAYTON STREET Ryde NSW 2112,Ryde ,Free Standing Houses ,4,3,2,0,"Brand New, Prestige Family Entertainer with Quality and Style Torn from the pages of a designer magazine, this stunning, brand new duplex radiates warmth and functionality with premium finishes throughout. The main emphasis is on the spectacular interplay of space and light in the optimisation of its rear north facing orientation and its seamless indoor/alfresco flow. This property boasts: -State of the Art Kitchen with Miele Gas Appliances &amp; loads of cupboard &amp; bench space -Luxury bathrooms with marble tiles, frameless shower screens and freestanding stone bath -Open plan spacious living flowing out to a huge alfresco area with kitchenette, bbq and gas cooktop perfect for entertaining -Three large bedrooms with built in wardobes- the main with walk in wardrobe, ensuite and large balcony/parents retreat -Downstairs 4th bedroom/second living space -Separate study nook plus access to an upstairs attic with provisions for tv and internet -Sunny low maintenance rear yard ideal for the kids -Lock up garage with extra room for more storage -Huge internal laundry with plenty of storage Other features include ducted reverse cycle air conditioning, alarm &amp; timber flooring. Conveniently located within minutes to Top Ryde shops, restaurants, transport, parks and schools this Stunning home is one that will not disappoint. Don\'t miss out on this fantastic opportunity. Call Now and Inspect Now!! \'All information contained herein is gathered from sources we deem to be reliable. However, we cannot guarantee its accuracy and interested persons should rely on their own enquiries\' Robert Younis : 0402 995 597",24,21,28,27,66,56,44,53,47,20 to 39,-1,"26,507"
https://www.domain.com.au/27-elizabeth-street-ryde-nsw-2112-2013556548,1630000,Sold at auction 20 May 2017,27 Elizabeth Street Ryde NSW 2112,Ryde ,Free Standing Houses ,3,2,2,670,"Renovated classic &amp; backyard entertainer A modern renovation of the classic 1950s home, there\'s a sense of space, character &amp; quality here. With entertaining space overlooking the backyard, there\'s room for the growing family. Highlights * A NE-facing backyard w/ designer touches * Thanks to a TV makeover on Backyard Blitz * Polished timber boards &amp; modern finishes * Stone kitchen, Euro gas appliances, s/steel * Opens onto a covered entertaining space * Separate deck, lawns &amp; landscaped yard * Full laundry, main tub, master WIR/ensuite * Plenty of covered parking &amp; u/house storage * Near Macquarie Business/Top Ryde Centres * Catchment for Ryde East/North Ryde schools",26,27,26,21,79,88,12,56,44,20 to 39,-1,"26,507"
https://www.domain.com.au/1-8-bidgee-road-ryde-nsw-2112-2013534415,1370000,Sold at auction 20 May 2017,1/8 Bidgee Road Ryde NSW 2112,Ryde ,Duplexes ,3,1,2,351,"Immaculately Presented Two Storey Duplex Positioned in a highly sought after pocket of Ryde, this spacious duplex offers an abundance of living space and is in close proximity to leading schools, transport services, North Ryde Golf Club &amp; Top Ryde City. Upon entry you are presented with an expansive front living room, open plan gas kitchen and a neat family/dining area which opens to an undercover courtyard and sunny back garden.  Upstairs offers 3 good sized bedrooms; 2 with built ins and main with walk in robe and a sizeable 2 way bathroom with separate toilet. Additional features include internal laundry, downstairs powder room, a/c in living room and 2 of the bedrooms, ample storage space and a tandem lock up garage with internal access. Land Size: 351sqm approx. Strata $887.50pq approx., Council $301.23pq approx., Water $168.41pq approx. *Ray White give notice that all information given whether contained in this document or given orally, is given without responsibility; intending purchasers should satisfy themselves as to the truth or accuracy of all information given by their own inspections, searches, inquiries, advices or as is otherwise necessary.",27,23,24,26,69,52,48,51,49,20 to 39,-1,"26,507"
