Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/2-38-forrest-road-ryde-nsw-2112-2012426671,740000,Sold by private treaty 9 Dec 2015,2/38 Forrest Road Ryde NSW 2112,Ryde ,Villas ,3,1,2,216,"Cul-de-sac Villa Home In Convenient Location Peacefully placed at the front of the complex, this single level villa represents an outstanding opportunity and is ideal for retirees, young families or investors. Enjoy a low maintenance lifestyle of excellent privacy in this well presented villa, offering an enviable opportunity with future scope to personalise. Features:   Extremely spacious, offering 216sqm on title  Single level, free flowing interiors.  Bright and spacious with two living areas.  Double lock-up garage.   Built in wardrobes in all three bedrooms. The properties convenient location means you are in walking distance to Ryde Secondary School, Holy Cross College, Top Ryde City, cafes and restaurants at La Strada Top Ryde, local primary schools and buses to; City, Parramatta, Chatswood, Macquarie Centre, Macquarie University, Rhodes, Eastwood and Strathfield.",27,28,30,16,66,70,30,62,38,20 to 39,-1,"26,507"
https://www.domain.com.au/12-bruce-street-ryde-nsw-2112-2012430636,1155000,Sold at auction 5 Dec 2015,12 Bruce Street Ryde NSW 2112,Ryde ,Free Standing Houses ,4,1,1,670,"Sprawling 670sqm block offering perfect entry level home Offering the perfect entry level opportunity, this home has scope to potentially add value with minor improvements or the option to knockdown/rebuild. Situated on a sprawling 670sqm block this property also takes advantage of a whisper quiet location. - Three bedrooms with optional fourth bedroom or study - Spacious kitchen with gas cooking and adjoining dining area - Generous undercover alfresco dining and separate workshop - Flexible under house living, teenage retreat or home office - Perfect home for the growing family, an abundance of storage - Ample natural light, updated bathroom plus w/c downstairs - Expansive 670sqm block with huge child-friendly grassed yard - Accessible to regular transport, easy access to city by bus - Close proximity to Top Ryde and Macquarie shops and university - Gentle stroll to popular parks/ovals and multiple schools",30,23,29,18,65,76,24,62,38,20 to 39,-1,"26,507"
https://www.domain.com.au/31a-hancott-street-ryde-nsw-2112-2012394260,1020000,Sold at auction 28 Nov 2015,31a Hancott Street Ryde NSW 2112,Ryde ,Free Standing Houses ,3,1,2,0,"Auction on site at 10:30am this Saturday (28th November)\n AFFORDABLE HOME IN A DESIRABLE LOCATION Close to everything yet quietly tucked away, this lovely free-standing home has had one happy owner since it\'s construction 20 years ago. Offering attractive living spaces and a private rear courtyard, the residence is perfect for those wanting a spacious single-level home. The property is in a sought-after location, close to both Macquarie Park amenities and Top Ryde Shopping Centre, as well as major transport links. - Easy care home with Torrens title, on high side of peaceful cul-de-sac  Welcoming formal lounge flows from entry foyer Open plan living and atrium style dining area with garden views Galley kitchen opening to living, with 2 pantries and wall oven Three comfortable bedrooms, all with built-in robes Light-filled full bathroom including bath; separate toilet Airconditioning; Internal laundry; Lush easy-care gardens Delightful paved courtyard, enjoy the morning sun Perfect for down-sizers, young families and pets Your choice of city buses; Yamble Reserve playground nearby",25,24,28,23,63,77,23,59,41,20 to 39,-1,"26,507"
https://www.domain.com.au/16-providence-road-ryde-nsw-2112-2012437305,1200000,Sold by private treaty 28 Nov 2015,16 Providence Road Ryde NSW 2112,Ryde ,Free Standing Houses ,3,1,2,550,"Convenience, Potential &amp; Comfort This home is located in a very admired and convenient location within easy walking distance to local bus transport, the areas best schools such as Ryde Secondary College, Holy Cross College, St. Charles Primary, Ryde Public School plus our main Shopping Centre Top Ryde.  Accommodation consist of but is not limited to the following:  - Three spacious bedrooms with built ins Good size bathroom with separate shower and bath Spacious kitchen with up to date appliances  Well-presented living area and separate dining room Plenty of natural light through out Good size back yard, low maintenance  Single lock up garage plus single carport  Land size approx. 550sqm  Opportunity to further improve, extend or knock down rebuild subject to council approval  A property certainly worth considering in the vibrant suburb of Ryde! Contact Amit Kumar  All information provided has been gathered from sources we deem to be reliable. However we cannot guarantee its accuracy and any interested parties should rely upon their own enquiries",24,21,28,27,66,56,44,53,47,20 to 39,-1,"26,507"
https://www.domain.com.au/10-anderson-avenue-ryde-nsw-2112-2012395927,1505000,Sold at auction 28 Nov 2015,10 Anderson Avenue Ryde NSW 2112,Ryde ,Free Standing Houses ,5,2,2,0,"Family Elegance in a Picturesque Locale Seamlessly blending the charm of original details with the comfort of stylish, modern updates, this generously proportioned home is the epitome of relaxed, easy-care family living. It features flowing interiors, which unfold over two levels offering superb versatility of space and complete privacy. A character-filled haven, it holds a peaceful, elevated position on the high side of the Avenue and captures sweeping northerly views across the tree-tops of Top Ryde. The location also provides exceptional convenience with excellent schools, Top Ryde Shopping Centre plus city transport all a short stroll away.  Spacious open plan living and dining with parquetry floors  Gas kitchen with granite bench tops and breakfast bar  Undercover alfresco plus low maintenance lawn and gardens  High ornate ceilings, built-in wardrobes in all bedrooms, timber floors, air conditioning  Separate lounge room, additional study, modern bathrooms A sophisticated and care-free retreat, this is a remarkable opportunity for buyers to experience a first-class family lifestyle.",25,28,26,21,76,77,23,58,42,20 to 39,-1,"26,507"
https://www.domain.com.au/22-north-road-ryde-nsw-2112-2012390260,1280000,Sold by private treaty 27 Nov 2015,22 North Road Ryde NSW 2112,Ryde ,Free Standing Houses ,3,1,1,638,]',25,25,23,27,58,79,21,60,40,20 to 39,-1,"26,507"
https://www.domain.com.au/8-fawcett-street-ryde-nsw-2112-2012392451,2180000,Sold prior to auction 26 Nov 2015,8 Fawcett  Street Ryde NSW 2112,Ryde ,Free Standing Houses ,5,3,2,0,"Generous proportions, quality and convenience  This impressive modern home with a north east aspect displays generous proportions through its layout. Enjoy multiple entertaining options including formal lounge, dining, rumpus and outdoor covered entertaining deck. It\'s in a sought after location, close to schools and transport.  Five bedrooms include four upstairs with built-ins Master suite has walk-in robe, ensuite with bath and balcony Study/media room could be a 6th bedroom Chef\'s kitchen with quality appliances  Dining area opens to a covered entertaining deck with outdoor wet bar overlooking a level lawn Polished timber floors throughout Upstairs rumpus could be used a teenage retreat Double lock up garage with internal access",26,25,26,23,71,65,35,56,44,20 to 39,-1,"26,507"
https://www.domain.com.au/14-henry-street-ryde-nsw-2112-2012361280,1600000,Sold at auction 24 Nov 2015,14 Henry Street Ryde NSW 2112,Ryde ,Free Standing Houses ,3,2,2,660,"SOLD BY JOSEPH MAZAR 0411 679 791 Offering an exceptional opportunity to capitalise upon this prime location in a quiet cul-de-sac with great scope to renovate or extend on 660sqm block with northerly aspect. Filled with ambient natural light this very large three bedroom well presented family home offers a very practical floor plan with a neat interior for an easy care lifestyle. Other features include spacious open plan living and lounge, eat in kitchen opening out an entertainers terrace, ample storage space and parking. Desirable elevated location moments to Cudal Reserve and Parry Park with the convenience of city transport, Putney village, leading schools and Top Ryde City Shopping Centre.",29,19,30,22,76,88,12,65,35,20 to 39,-1,"26,507"
https://www.domain.com.au/60-charles-street-ryde-nsw-2112-2012361281,1310000,Sold at auction 21 Nov 2015,60 Charles Street Ryde NSW 2112,Ryde ,Free Standing Houses ,3,2,1,0,"SOLD BY JOSEPH MAZAR 0411 679 791 This immaculate double brick family home offers an ideal floor plan and a perfect sunny private northerly aspect in a very desirable location.  The welcoming entry foyer flows into a spacious sunken living room. The gourmet kitchen adjoins a formal dining room and a large family room opening onto a covered terrace overlooking landscaped gardens. Other quality features include three spacious bedrooms and two modern bathrooms plus lock up garage. Exceptional opportunity to enjoy a relaxed family lifestyle in this sought after location close to parks, city bus and ferry transport, leading schools, Putney village and Top Ryde City Shopping Centre.",28,21,30,22,67,80,20,56,44,20 to 39,-1,"26,507"
https://www.domain.com.au/15a-samuel-street-ryde-nsw-2112-2012393286,1220000,Sold at auction 19 Nov 2015,15a Samuel Street Ryde NSW 2112,Ryde ,Free Standing Houses ,3,2,2,460,"Entertainer\'s retreat in heart of Ryde With long views &amp; privacy this elevated home is an easy-care package with plenty of wow factor. In a garden setting, its open-plan design will impress young families, downsizers &amp; entertainers. Highlights * Emphasis on updated entertaining zones * Flowing indoor/outdoor alfresco spaces * Polished timber boards, modern finishes * Double doors, wrap-around timber deck  * Stone s/steel gas kitchen, dual d/washer * Main bath with tub, guest WC + laundry * Bedrooms with private garden outlooks * Master walk-in robe &amp; deep tub ensuite * Easy walk to Top Ryde shops, school, bus * All looking out over Sydney Olympic Park",25,33,27,16,58,43,57,54,46,20 to 39,-1,"26,507"
