Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/68-newton-road-strathfield-nsw-2135-2011215430,2500000,Sold at auction 20 Jun 2014,68 Newton Road STRATHFIELD NSW 2135,STRATHFIELD ,Free Standing Houses ,6,4,3,8536,"Timeless Appeal This beautifully presented master built family home features the character and charm of a bygone era. With full brick construction, it consists of six large bedrooms with built-in wardrobes and four bathrooms (including an en suite with spa bath to the main bedroom), offering ample room for the large or growing family. The Tasmanian Oak gourmet kitchen with granite bench tops, will satisfy the most discerning chef and the spacious formal lounge and dining areas as well as a rear courtyard, give you fantastic space to entertain your family and friends. The majority of the downstairs rooms feature bay windows, including the open plan family room, flooding the home with natural light. For your leisure and relaxation you will find a sauna and salt water in ground pool, which will help you relax after a hard day\'s work. Situated on a large 853.6sqm block with 20 metre frontage and gorgeously landscaped easy care gardens, only minutes to local schools and transport. There is very little left to be desired...come and be impressed! * Six bedroom character home * Timeless appeal and style * Magnificently located * Solidly built in full brick * Automatic watering system",28,21,29,22,72,88,12,61,39,20 to 39,-1,"25,803"
https://www.domain.com.au/232-homebush-road-strathfield-nsw-2135-2011177305,1217000,Sold at auction 14 Jun 2014,232 Homebush Road Strathfield NSW 2135,Strathfield ,Free Standing Houses ,4,2,3,566,"SOLD by Norman So &amp; Michael Ma - Strathfield Partners  Another premium result by Norman So &amp; Michael Ma!  Extensively enhanced for modern living, this character family home has had the complete makeover from tip to toe. Nothing has been overlooked from the ultra modern interiors to the stylish exteriors - a testament to the vendors for the attention to detail, evoking a perfect blend of old and new! This is the affordable Strathfield home you have been searching for! Property Highlights: * Cleverly remodeled, plenty of natural light * Sparkling new timber flooring throughout  * Selection of living areas/potential 5th bedroom * New gourmet kitchen with plenty of storage  * Two new bathrooms with euro finishes  * High ceilings, new ducted ac system  * Established landscaping, gated residence * Covered entertaining area leading to private garden * Suitable for professional services (business/childcare)STCA * Generous landscaped 566m2 corner  Location: minutes to local shops, transportation, quality schools, library and parks.  ------- Auction: This Saturday 10am Onsite  View: Thurs 6-6:30pm/30 mins prior to auction Land: 566sqm approx Contact: Norman So 0410 523 868 or Michael 0432 297 410",22,30,24,24,65,70,30,55,45,20 to 39,-1,"25,803"
https://www.domain.com.au/123-wentworth-road-strathfield-nsw-2135-2011187585,1522000,Sold at auction 14 Jun 2014,123 Wentworth Road STRATHFIELD NSW 2135,STRATHFIELD ,Free Standing Houses ,4,2,2,548,"Beautifully transformed with traditional elegance &amp; contemporary appointments. Enjoying a prized north easterly setting on the corner of Nicholson Street, this well proportioned and beautifully transformed family home flows over a single expansive level and is ideally positioned to both Strathfield and Burwood shopping, elite schools and train stations. Balancing traditional elegance with select contemporary appointments, there are 4 bedrooms, superb Caesar stone and gas kitchen, elegant living with fireplace, separate dining and family room. Other features include two recently updated bathrooms, fireplaces, gleaming polished timber floors, ducted air conditioning and double auto garage.",21,31,31,18,60,75,25,52,48,20 to 39,-1,"25,803"
https://www.domain.com.au/13-barker-rd-entry-from-3-todman-pl-strathfield-nsw-2135-2011159439,2078000,Sold at auction 14 Jun 2014,13 Barker Rd (entry from 3 Todman Pl) STRATHFIELD NSW 2135,STRATHFIELD ,Free Standing Houses ,6,2,2,799,"Spacious Entertainer Discover this very spacious and charming two storey residence, perfect for the growing family. On entry discover an abundance of living space including both formal lounge and dining areas, stylish kitchen with granite bench tops and stainless steel German appliances plus large walk-in pantry, sixth bedroom or home office and a double automatic lock up garage with internal entry to the house plus provision for parking up to 3 additional cars. Upstairs you will find four double sized bedrooms with built-ins plus a massive master bedroom with his and hers walk-in robes and a huge ensuite including spa and separate toilet. Main bathroom also includes spa. Other features include an additional powder room, a large undercover outdoor entertaining area overlooking the manicured gardens and ducted air conditioning. Set on a large 799sqm (approx.) corner block, conveniently located to shops, bus route and station &amp; Strathfield\'s premier schools. Act quickly as this represents an opportunity that simply can\'t be matched! * Lighting in gardens * Pond with waterfall and lighting * Eat-in meals room * Large rumpus and family room",21,28,23,28,65,84,16,44,56,20 to 39,-1,"25,803"
https://www.domain.com.au/66-arthur-street-strathfield-nsw-2135-2011187615,1155000,Sold at auction 14 Jun 2014,66 Arthur Street STRATHFIELD NSW 2135,STRATHFIELD ,Free Standing Houses ,3,2,2,0,"Land Value  765 square metres Californian bungalow in very poor condition. Fabulous opportunity to renovate or demolish and build your dream home. Corner block with rear lane access and side onto wide nature strip. Excellent location with new homes being built in the nearby area. Situated close to bus stops, parks, schools and amenities. Approximately 15 minutes walk to train station. The home comprises 3 bedrooms, lounge, dining, kitchen, bathroom and laundry. Whilst the home is in very poor condition it may suit those looking for a renovation project. Genuine reason for sale by Elderly owner. The property must be sold don\'t miss out.",17,27,30,26,72,90,10,59,41,20 to 39,-1,"25,803"
https://www.domain.com.au/9-cameron-street-strathfield-nsw-2135-2011202186,1500000,Sold prior to auction 12 Jun 2014,9 Cameron Street STRATHFIELD NSW 2135,STRATHFIELD ,Free Standing Houses ,4,2,1,537,"Golden Mile Position Set in a peaceful Golden Mile address this immaculate 4 bedroom brick residence is ideally located within minutes walk to Strathfields major schools, shops &amp; transport. Main features: Main bedroom with ensuite, spacious living area, stunning designer kitchen, modern bathroom, polished timber flooring, huge attic/storeroom, air-conditioning, superb undercover alfresco entertaining area, lock up garage, auto security gates and ample off street parking for several cars.  Summary: This tastefully renovated home is set on an easy care 537m2 block of sunny north facing rear gardens. Its ready to move in, relax and enjoy.",24,30,27,20,63,92,8,52,48,20 to 39,-1,"25,803"
https://www.domain.com.au/25-south-street-strathfield-nsw-2135-2011102192,2900000,Sold at auction 5 Jun 2014,25 SOUTH STREET STRATHFIELD NSW 2135,STRATHFIELD ,Free Standing Houses ,6,4,7,1208,"BLUE RIBBON LOCATION  //////////////       SOLD PRIOR TO AUCTION HUGE 2 STOREY GEORGIAN STYLED RESIDENCE approx.18 years old * Full brick and concrete construction * located in a fantastic street. It features  * 6 large bedrooms 2 with en-suites.  * 2 additional bathrooms.  * Elegant formal lounge and dining rooms. * Masterbuilt American oak and granite kitchen. * Spacious timber floored family and rumpus rooms. * Covered verandah and BBQ area. * Luxurious tropical gardens and rolling lawns allow for the perfect outdoor entertaining. * Ducted reverse cycle air conditioning, central vacuum system, full alarm and remote operated gates to driveway and 3 car garage. * Secure easily accessed off street parking for at least 4 more cars. * The convenience of a bus stop at your doorstep. * Near to all best schools, parks, golf courses and University * Land Approx 1208 m2 ( 20.11m x 60.32m ) * Amongst prestige multi million dollar homes.",28,21,29,22,72,88,12,61,39,20 to 39,-1,"25,803"
https://www.domain.com.au/14-chalmers-road-strathfield-nsw-2135-2011151891,2050000,Sold prior to auction 31 May 2014,14 Chalmers Road STRATHFIELD NSW 2135,STRATHFIELD ,Free Standing Houses ,5,3,2,9695,"Blue Ribbon Address Situated in a peaceful blue ribbon address is this impressive 5 bedroom, 2 storey residence set on a generous 54\' x 139\' or 695m2 of easy manicured landscaped gardens.  Main Features: Inviting wide foyer, elegant formal lounge and dining rooms, modern granite gourmet kitchen, 3 bathrooms, huge family and casual living areas overlooking the sparkling in-ground pool, upstairs gallery room, polished timber flooring and double lock up garage.  Summary: This family haven ticks all the boxes for space, value and comfort and is located within easy walk to St Patricks College.",23,26,28,23,71,95,5,60,40,20 to 39,-1,"25,803"
https://www.domain.com.au/6-myee-avenue-strathfield-nsw-2135-2011146725,2760000,Sold at auction 31 May 2014,6 Myee  Avenue Strathfield NSW 2135,Strathfield ,Free Standing Houses ,5,4,2,765,"SOLD - Street Record, by Norman So &amp; Michael Ma  Architecturally designed by B&amp;C Architects is this grand residence that offers unparalleled levels of luxury with world class finishes. The grand foyer opens up to opulent interiors with soaring ceilings leading to an selection of elegant living spaces with the latest in home automation. Designer everything, experience the one of the suburbs newest and finest homes! This is the ultimate dream home.  Property Highlights:  * New with solid double brick construction * 3m soaring ceilings with extensive use of high grade marble * French inspired kitchen, lavishly appointed for food connoisseurs * Commercial floor to ceiling windows designed for max natural light * Ducted air conditioning and vacuum &amp; the latest in home automation * Opulent interiors offering selection of living areas * Alfresco entertaining area with inbuilt BBQ kitchen * In-ground swimming pool with waterfall feature  * Three stunning bathrooms, euro fittings and finishes * Palatial master suite, ambiance of a presidential 5 star hotel  * Lush landscaped gardens, low maintenance, perfect for the kids * Four oversized rooms, polished flooring and inbuilt study area * Rear summer house offering versatile living &amp; accommodation  Location: conveniently located in close proximity to transportation, major schooling, golf course &amp; parks",28,21,29,22,72,88,12,61,39,20 to 39,-1,"25,803"
https://www.domain.com.au/51-broughton-road-strathfield-nsw-2135-2011153736,1500000,Sold at auction 31 May 2014,51 Broughton Road STRATHFIELD NSW 2135,STRATHFIELD ,Free Standing Houses ,3,2,2,929,"Character Home on Large Land! This double brick, well maintained character bungalow set on an impressive 929 sqm block (approx) offers buyers the flexibility to live in comfortably now, further capitalise through re-building or keep as an investment option...the opportunities are endless with this one! The home itself has 3 generous bedrooms, polished timber floors throughout, recently renovated bathrooms , separate lounge and dining areas and a back verandah overlooking the huge leafy backyard. Within a close proximity to Homebush shopping village, railway station and public and private schools. Your search has ended!  Land Size: 50ft x 200ft",21,26,25,27,76,84,16,56,44,20 to 39,-1,"25,803"
