Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/32-parkham-st-surry-hills-nsw-2010-2011290892,1875000,Sold at auction 5 Aug 2014,32 Parkham St Surry Hills NSW 2010,Surry Hills ,Free Standing Houses ,4,2,1,101,"Impressive north facing terrace in a trophy location Immersed within the Surry Hills village this north facing home has been lovingly renovated throughout; the modern touches have proved as timeless as the home itself.  Highlights * Valuable formal/informal living spaces  * Open plan kitchen living family room * Polished timber floors, working fireplaces * North-facing rear, sky-lit casual living * Sandstone paved private courtyard * All bedrooms w/ own private terraces * Large top floor master retreat, storage * A/c, heated floors/towel rails, alarm  * Ornamental faade with period detail * A quiet setting, close to parklands, CBD",14,49,20,16,34,47,53,29,71,20 to 39,-1,"16,408"
https://www.domain.com.au/25-norton-street-surry-hills-nsw-2010-2011264781,1005000,Sold by private treaty 1 Aug 2014,25 Norton Street SURRY HILLS NSW 2010,SURRY HILLS ,Free Standing Houses ,2,1,0,0,"Artistically Redesigned Terrace In The Chic Heart of Surry Hills Set in a leafy one-way enclave just behind Crown Street\'s dining and fashion precinct, this classic Victorian terrace echoes the eclectic charm and cosmopolitan lifestyle that make Surry Hills the most desirable urban village in Sydney. Built c1900, its creatively redesigned interiors and artistic vibe reflect its setting in the city\'s most exciting cultural hub making it ideal for those who love the vibrancy and energy of inner city living.  -Restored facade, fluid living and dining rooms, fireplace, timber floors -Sleek integrated stainless steel gas kitchen, chic tiled bathroom -2 bedrooms plus a study, built-in robes, attic storage with ladder access -Private ivy-framed courtyard, footsteps to chic cafes and top restaurants  -Prized position opposite Surry Hills Library, 600m to Central Station, 2km to the CBD -Council rates: $1092.38 per annum approx. -Water rates: $191.06 per quarter approx. David Servi : 0412 96 1234",10,50,25,15,45,52,48,43,57,20 to 39,-1,"16,408"
https://www.domain.com.au/21-mackey-street-surry-hills-nsw-2010-2011245830,1725000,Sold by private treaty 1 Aug 2014,21 Mackey Street Surry Hills NSW 2010,Surry Hills ,Free Standing Houses ,4,3,1,0,"SOLD!!! Architectural Design, Luxury 4 Bedroom Home..... Sensational architectural design, morden &amp; luxury 4 bedrooms Home with finest finishes. All the hard work already been done, just move straight in. Beautiful present this bright and sunny 4 bedroom home with North facing balcony enjoy sunny all year round. 3 morden bathrooms and 1 remote control lock-up Garage. Features:  * Spacious 4 bedrooms with built-in robes * Open Living &amp; Dinning area combined beautiful sunny balcony * Quality kitchen with Stone bench and stainless steel appliances * North/South facing with natural breeze through the house. * Oak timber flooring through out the living spaces * 2.7 m ceiling high create plenty of natural lights * Private courtyard and security car space Quite, private and peacefully location with conveniently walk to trendy restaurants and cafs. Close to public transportations and only few minutes to Sydney CBD. Contact: Susan Chiu on 0414-888-666 or Eraldo Garberi 0406-669-255",9,52,30,8,27,35,65,39,61,20 to 39,-1,"16,408"
https://www.domain.com.au/24-ann-street-surry-hills-nsw-2010-2011335367,1200000,Sold by private treaty 30 Jul 2014,24 Ann Street Surry Hills NSW 2010,Surry Hills ,Free Standing Houses ,2,1,0,0,"Designer style with inner city convenience Displaying a sleek modern feel that takes full advantage of space, this terrace is a showcase of designer style and rustic charm in the heart of Surry Hills. It features a two level layout with front and rear balconies and focuses on low maintenance indoor/outdoor living with excellent privacy. Located on one of the most sought after streets in Surry Hills.  2 bed, 1 bath with room to add Open plan lounge &amp; dining spaces Decked entertainment courtyard with spa Brand new kitchen with stainless steel appliances Contact Shaun Burdo 0438 332 088 Belle Howard 0401 485 584",9,52,30,8,27,35,65,39,61,20 to 39,-1,"16,408"
https://www.domain.com.au/66-marlborough-street-surry-hills-nsw-2010-2011282985,1430000,Sold at auction 26 Jul 2014,66 Marlborough Street Surry Hills NSW 2010,Surry Hills ,Free Standing Houses ,3,1,0,0,"Space, style and traditional charm Lifestyle - Beautifully presented with a clever balance between contemporary design and traditional form, this stunning period terrace is a haven of quality and comfort in a highly sought-after setting. Flowing over two levels and conveniently positioned only metres to the culinary and cultural delights of Crown St, the spacious interiors are peacefully nestled behind an intimate facade Accommodation - There is an emphasis on entertaining with separate lounge and dining spaces and a living area that flows effortlessly to a barbecue deck and a sun-dappled low maintenance courtyard. All three bedrooms are doubles, with the well proportioned master claiming built-ins and French doors that open to a Juliet balcony. The chic open galley style kitchen has CaesarStone benches, Smeg stainless steel gas appliances and soft-touch cabinetry Features - With features that include polished floors, high ceilings, a European laundry, ceiling fans and a wood fireplace, there is also skylights, halogen lighting and an atrium courtyard. The bathroom is exquisite, with a stone feature wall, frameless glass shower and a standalone bath. Minutes to the heart of the city and just a short walk to Belvoir St Theatre, Central Station and parklands, this is a home of unquestionable appeal",11,48,28,12,36,32,68,44,56,20 to 39,-1,"16,408"
https://www.domain.com.au/4-smith-street-surry-hills-nsw-2010-2011283712,956000,Sold at auction 26 Jul 2014,4 Smith Street Surry Hills NSW 2010,Surry Hills ,Free Standing Houses ,2,1,0,62,"2-beds + study in a vibrant city pocket This city-fringe terrace has been updated throughout, boasting modern detail &amp; a secluded alfresco retreat. Behind a charming character faade, it\'s big value in a sought-after location. Highlights * Terrazzo-tiled flooring, high ceilings * Gas kitchen w/ stone bench tops * Opening to a private paved c/yard * Sky-lit 2nd level, full tiled modern bath * Master w/ built-in robes leafy aspect * Bedroom 2 w/ c/yard garden outlook * Gas heat, ceiling fans, mod. lighting * Valuable ground floor guest WC/l\'dry * One of area\'s most convenient pockets * 1 house from the lawns of Harmony Park",13,43,35,9,36,45,55,48,52,20 to 39,-1,"16,408"
https://www.domain.com.au/11-kendall-street-surry-hills-nsw-2010-2011270626,1450000,Sold at auction 24 Jul 2014,11 Kendall Street Surry Hills NSW 2010,Surry Hills ,Free Standing Houses ,3,1,0,89,"Flair + character in a prime leafy spot Exposed brick, polished concrete &amp; timber floors create a well-thought-out &amp; design-inspired space. With open-plan living &amp; private c/yard, it\'s a modern entertainer yet packed with character. Highlights * High ceilings, spotted gum floorboards * Central gas kitchen, stone bench tops * Cafe doors opening for an alfresco feel * Paved c/yard w/ a retractable awning * Master w/ BIRs, French doors to balcony  * Full bath w/ tub, frameless glass screen * Built-in storage areas, joinery throughout * Stroll to cafe precincts &amp; dining hotspots * Tiny cul-de-sac in Surry Hills\' leafiest hub * One of the quietest settings in the area",17,35,34,14,40,37,63,48,52,20 to 39,-1,"16,408"
https://www.domain.com.au/514-bourke-street-surry-hills-nsw-2010-2011195388,1630000,Sold by private treaty 17 Jul 2014,514 Bourke Street SURRY HILLS NSW 2010,SURRY HILLS ,Free Standing Houses ,2,2,1,130,"SOLD CLARK ESTATE AGENTS Located in the Parisian quarter of Surry Hills, this charming terrace is the epitome of Surry Hills terrace living and features sleek modern finishes combined with old world charm. Separate open plan living and dining areas flow through to the spacious eat in renovated kitchen. - Generous open plan separate living &amp; dining areas Polished timber floors, warming gas fireplace Two spacious double bedrooms withy built in robes Enormous paved entertaining courtyard with RLA Brand new marble kitchen &amp; s/s European appliances Newly appointed bathrooms with Japanese bathtub Opportunity for a third bedroom/ home office setup Private rear terrace deck off the 2nd bedroom Separate internal laundry and external storage area Moments to Bourke St Bakery and Surry Hills best cafes and bars Size 130m2 approx Council $383 p/q Water $284 p/q",13,44,31,12,39,45,55,43,57,20 to 39,-1,"16,408"
https://www.domain.com.au/14-alexander-street-surry-hills-nsw-2010-2011258037,1340000,Sold at auction 12 Jul 2014,14 Alexander Street Surry Hills NSW 2010,Surry Hills ,Free Standing Houses ,3,1,0,0,"A designer home of space and style Lifestyle - Hidden behind an intimate traditional facade that opens to reveal a remarkably spacious home of exceptional quality and style, this stunning residence is a designer offering of rare distinction. Flowing over three immaculately presented levels and cleverly configured to maximise the flow of space throughout, the home rests in one of Surry Hills\' most celebrated settings Accommodation - With a sophisticated ultra contemporary feel and an emphasis on open entertaining, separate lounge and dining spaces effortlessly adjoin. The chic eat-in modern kitchen has stainless steel benches and gas appliances, as well as doors which open to a private courtyard. All bedrooms are bright doubles, with the master and second opening to Juliet balconies Features - Additional features include soaring ceilings, polished timber and concrete floors, gas heating, halogen lighting and a European laundry. Seamlessly blending period character with sleek designer style, this is the perfect abode for the professional couple or small family that seeks quality and convenience. No more than metres to the culinary delights of Crown Street, it is moments to transport and minutes to the heart of the city",15,43,29,13,35,48,52,54,46,20 to 39,-1,"16,408"
https://www.domain.com.au/123-reservoir-street-surry-hills-nsw-2010-2011230182,2006000,Sold at auction 1 Jul 2014,123 Reservoir Street SURRY HILLS NSW 2010,SURRY HILLS ,Free Standing Houses ,0,0,4,164,"Rare mixed-use zoning with exceptional potential An incredible opportunity in one of Surry Hills\' most desired settings, this exceptional dual level property is in possession of a coveted mixed usage zoning. Ideally placed, it is just moments to Oxford Street and Crown Street cafes plus a walk to the CBD. - Currently configured as two massive open office spaces - Warehouse style with soaring ceilings and spacious interiors - Versatile plan allows for recreation as a single residence - Embracing the natural light of a prized northern perspective - Potential exists to re-imagine as residence with home office - With truly exceptional secure rear parking for four vehicles - Flowing over 164sqm in total - Currently returning an annual rent of approximately $106,200 - Level 1 month to month lease, level 2 lease until July c2015 - 2 guest w/c\'s, 2 kitchenettes, timber floors, ample storage",9,52,30,8,27,35,65,39,61,20 to 39,-1,"16,408"
