Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/5-92-great-western-highway-blaxland-nsw-2774-2016461297,690000,Sold by private treaty 28 Jul 2020,5/92 Great Western Highway Blaxland NSW 2774,Blaxland ,Villas ,2,1,1,0,"Modern, Light Filled Villa LOCATION: Conveniently located and privately positioned toward the rear of this high quality over 55\'s complex. Approximately 900m to Blaxland rail &amp; town center with supermarket, medical center, hair dressers, eateries and more.  STYLE: Single level villa with a fresh contemporary design, built in 2017. Light filled interiors harmoniously blending indoor / outdoor living with beautiful sun drenched alfresco, established low maintenance garden &amp; fenced, flat yard. LAYOUT: Open layout living and dining, 2 bedrooms with built-in robes, large stylish bathroom, paved undercover alfresco. FEATURES: Large open plan kitchen with loads of bench space, quantum quartz stone tops, Westinghouse appliances, dishwasher, 5 burner gas cook top, ducted air conditioning, ceiling fans, gas bayonet, plantation shutters, down lights, high ceilings, stepped cornices, wide entry foyer with coffered ceiling, fenced rear yard, water tank, single lock up garage with laundry and internal access. Disclaimer:  All information contained herein is gathered from sources we believe to be reliable. However, we cannot guarantee its accuracy and interested persons should rely on their own inquiries.",27,23,28,22,59,79,21,65,35,40 to 59,-1,"7,459"
https://www.domain.com.au/15-mount-street-glenbrook-nsw-2773-2016358580,920000,Sold by private treaty 28 Jul 2020,15 Mount Street Glenbrook NSW 2773,Glenbrook ,Free Standing Houses ,3,1,1,639,]',35,20,32,12,55,89,11,71,29,40 to 59,-1,"5,050"
https://www.domain.com.au/7-claines-crescent-wentworth-falls-nsw-2782-2016296219,750000,Sold by private treaty 28 Jul 2020,7 Claines Crescent Wentworth Falls NSW 2782,Wentworth Falls ,Free Standing Houses ,3,2,1,626,"Low Maintenance &amp; Immaculately Presented Home! Positioned in an ultra-quiet and private part of Wentworth Falls is this impeccably presented 3-bedroom, 2-bathroom single level home! With a sunny Northern aspect, the property offers 3 bedrooms (including an ensuite in the main bed), large carpeted lounge room, a huge recently renovated kitchen that has stainless steel appliances, stone bench tops a walk-in pantry and direct access to the separate dining space. The main bathroom is as equally impressive as the kitchen, showing off stylish designer tiles, free standing bath &amp; separate shower! You will be the envy of your family &amp; friends! There is also a separate versatile space perfect for a home office/4th bedroom/sun-room or home gym along with a covered outdoor entertaining area. The grounds are also very well maintained, with established plants &amp; garden beds offering splashes of colour all year round! The block is approx. 626sqm and is the perfect size for those looking to downsize but still having enough room to potter around. Extra features of the property include BIR\'s in all bedrooms along with good quality carpet, plantation shutters, reverse-cycle air-conditioning, single car garage and 3 garden sheds. Beautifully presented and maintained and a must see! Features Include: 3 bedrooms 2 updated modern bathrooms  Large living space Modern Kitchen North facing aspect Reverse-cycle A/C Low maintenance gardens 2000 litre water tank and pump Land size approx. 626sqm",19,13,24,43,65,86,14,65,35,60+,-1,"6,085"
https://www.domain.com.au/2-piperita-place-winmalee-nsw-2777-2016314311,855000,Sold by private treaty 28 Jul 2020,2 Piperita Place Winmalee NSW 2777,Winmalee ,Free Standing Houses ,4,2,2,813,"Light and bright, spic and span, this one ticks all the boxes This lovely four-bedroom family home is very well presented, and you and your family will be comfortable all year round. With formal lounge and dining area with polished floorboards, as well as a family/living room with practical tiles, theres space for everyone to relax as well as entertain family and friends.  The spacious kitchen has plenty of crisp white cupboards, contrasting beautifully with the dark Caesarstone benchtops, a gas cooktop, electric range and built-in dishwasher. Theres also a breakfast bar for quick and casual meals. All four bedrooms have built-in robes, the Master having an ensuite bathroom and walk-in robe. The convenient three way family bathroom has a separate tub and shower cubicle. Outside, you can enjoy relaxing on the upstairs entertaining deck overlooking the inviting inground pool. It will be your favourite place in the warm weather. If the weather isnt favourable, a covered area downstairs is also inviting, or you can move inside to the rumpus room. Theres also a utility room and plenty of storage under the house for tools and toys. This property is in a very convenient part of Winmalee, just 750m from the shopping centre, daycare and primary school, and with lovely homes surrounding its an ideal residence for the growing family. Summary of main features includes: Beautifully presented property in desirable location, ideal for the family Lounge room, dining area, kitchen with breakfast bar, family/living room; ducted a/c Four bedrooms, all with BIR; Master with ensuite and WIR Three-way family bathroom with separate tub and shower recess Two outdoor entertaining areas; rumpus room, WC, utility room &amp; storage under house Double garage with int access; inground pool; low maintenance yard; walk to shops, schools, parks Please contact Lister &amp; Cole Estate Agents for further details about this very attractive property. Disclaimer: We have obtained all information herein from sources we believe to be reliable; however we cannot guarantee its accuracy. Prospective purchasers are advised to carry out their own investigations.",30,21,28,21,72,87,13,65,35,-1,-1,-1
https://www.domain.com.au/8-duff-street-katoomba-nsw-2780-2015459985,645000,Sold by private treaty 27 Jul 2020,8 Duff Street Katoomba NSW 2780,Katoomba ,Free Standing Houses ,3,1,2,537,"Charming Weatherboard home in a Great Location! - Inspections by Appointment Only, Call us Today This Circa 1910 weatherboard cottage has been very well presented and is in a fantastic central South Katoomba location. Only a short walk to the Katoomba township, local schools and shopping centre, this property offers 3 bedrooms, a cosy living area, separate dining/kitchen space, bathroom and an internal laundry. There is also a double car garage to the rear of the property and easy-care grounds of approx. 537sqm. Owned by the current owner for over 30 years, this property has been well-kept and highlights some old-world features throughout. For example, high ceilings, timber floors, timber windows and original weatherboards. 8 Duff street would make the ideal weekender, downsizer or investment. Properties in this part of South Katoomba don\'t come up very often! Book your inspection today!  Features include; 3 bedrooms Well-kept bathroom Kitchen/dining area Lounge room Outdoor entertaining areas High ceilings Timber floors Timber windows Natural gas central heating Double Garage Low maintenance block of approx. 537sqm",21,20,30,30,49,57,43,37,63,40 to 59,-1,"7,955"
https://www.domain.com.au/31-yester-road-wentworth-falls-nsw-2782-2016330002,540000,Sold by private treaty 27 Jul 2020,31 Yester Road Wentworth Falls NSW 2782,Wentworth Falls ,Free Standing Houses ,3,1,1,828.3,"Neat and Sunny Home This fantastic single-level brick home is situated on a large corner block and is positioned just moments from the cafes, shops and amenities of Wentworth Falls. With plenty of natural light and surrounding greenery, this residence offers open spaces flowing to an inviting outside patio, overlooking the charming established gardens. This peaceful home would be Ideal for full time living or as an investment.  * Combined kitchen, dining and living space * Three generously sized bedrooms  * Covered rear patio with large low maintenance fully fenced gardens * Neutral colour scheme and loads of natural light * Original three way bathroom * Single car garage",24,25,24,27,65,80,20,63,37,60+,-1,"6,085"
https://www.domain.com.au/5-view-road-wentworth-falls-nsw-2782-2016186441,1225000,Sold by private treaty 27 Jul 2020,5 View Road Wentworth Falls NSW 2782,Wentworth Falls ,Free Standing Houses ,4,2,3,696,"Uninterrupted North Facing Views To Mount Tomah &amp; Mount Hay Located in a quiet sought after area of the village, this tri-level home has been built to take in the stunning 180-degree views extending from Blackheath to Windsor and is drenched in northerly sun all day. Upon entering the home you are greeted with elevated views overlooking the Blue Mountains. A spacious open floor plan features hardwood flooring, raked ceilings, a brand new kitchen, lounge room and dining area which all look out over one of Wentworth Falls\' best views.  The kitchen features, Ceaserstone benchtops, gas cooktop with range hood, two Bosch ovens and contemporary cabinetry. The kitchen also has a separate space out of sight which can be used as a laundry and butler pantry.  Both main living and dining areas are their own separate space and lead towards the north-facing 4m x 36m (APPROXIMATELY) tiled entertaining deck with automated vergola. Essentially it\'s another living area, but outdoors, with views out past Mount Hay and Mount Tomah.  The home offers 4 bedrooms, master with full bathroom. On the ground level, two of the bedrooms capture incredible views whilst the fourth is currently used as a study. This ground floor also has a bathroom, plenty of storage as well as a small living area in the third bedroom and perfect for guests. Lastly one of the luxuries of this property is a 2 car garage with an automatic door that has internal access to the home. This garage has a powder room attached which has recently been renovated.  Other features include: - Gas ducted heating Reverse cycle air-conditioning in the main living area New ceiling fans in three bedrooms Space to work from home North facing Brick construction Sealed driveway Low maintenance gardens  As all properties are only available by a private inspection please call Rowan Stubbs directly on 0414 845 589 or send through your enquiry today.",26,16,27,32,62,84,16,64,36,60+,-1,"6,085"
https://www.domain.com.au/14-pine-avenue-wentworth-falls-nsw-2782-2016373985,840000,Sold by private treaty 27 Jul 2020,14 Pine Avenue Wentworth Falls NSW 2782,Wentworth Falls ,Free Standing Houses ,4,2,2,1086,"Immaculate home in sought-after enclave Designed to maximise on flexible family living, this immaculate mountain home is set back privately from the road in a leafy, sought-after enclave within the golf course and lake precinct. Offering modern conveniences and an easycare lifestyle, featuring neutral interiors with a chic designer feel and seamless floorplan integrating to the outdoors. - Inviting covered outdoor entertaining area overlooking the garden Kitchen with gas cooking and good cupboard space Ducted reverse cycle air conditioning and gas log fireplace Stunning plantation shutters throughout and beautiful natural light Generous main bedroom with ensuite and walk-in robe Separate living and family room perfect for the family Double lock-up garage and garden shed in the backyard Surrounded by quality properties in a quiet leafy street Only minutes\' walk to beautiful Wentworth Falls lake  Close by to the village shops, schools, TAFE and rail",22,10,26,43,63,87,13,66,34,60+,-1,"6,085"
https://www.domain.com.au/2-5-browns-road-blaxland-nsw-2774-2016440811,730000,Sold by private treaty 25 Jul 2020,2/5 Browns Road Blaxland NSW 2774,Blaxland ,Duplexes ,3,2,1,0,]',31,24,25,20,69,76,24,66,34,40 to 59,-1,"7,459"
https://www.domain.com.au/15b-parkes-street-wentworth-falls-nsw-2782-2016105562,720000,Sold by private treaty 25 Jul 2020,15B Parkes Street Wentworth Falls NSW 2782,Wentworth Falls ,Free Standing Houses ,4,2,1,652,]',28,13,21,38,63,70,30,56,44,60+,-1,"6,085"
