Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/15-lauma-avenue-greenacre-nsw-2190-2016189350,885000,Sold at auction 18 Apr 2020,15 Lauma  Avenue Greenacre NSW 2190,Greenacre ,Free Standing Houses ,3,1,3,701.9,"Affordable Home on 701.9sqm in Cul De Sac Location Peacefully positioned in a quiet cul-de-sac setting, this tightly-held single level home has been lovingly maintained and offers plenty of scope to update and enhance throughout. It\'s set on a sunny north facing block and only moments from local schools, both Chullora and Greenacre shops plus frequent buses and parks. - Land size 701.9 Frontage 14.76 approx Granny flat potential subject to council approval 3 generously sized bedrooms  Optional 4th bedroom or home office or study Well kept kitchen and ample storage Neat and tidy main bathroom has bathtub and separate shower  Sun drenched family room Good size backyard for the kids to play Lock up garage and storage area Close to local schools, shops, parks and transportation Harcourts Greenacre - A team of leading real estate professionals you deserve.",34,26,25,14,67,69,31,55,45,20 to 39,-1,"24,372"
https://www.domain.com.au/14-sunny-crescent-punchbowl-nsw-2196-2016159404,960000,Sold at auction 18 Apr 2020,14 Sunny Crescent Punchbowl NSW 2196,Punchbowl ,Free Standing Houses ,4,1,6,961.1,"PARADISE IN PUNCHBOWL - 961SQM APPROX - FULL BRICK 4 BEDROOM HOME! Solid-built and well-presented, this freshly painted full brick home is set on a spacious 961sqm block in a quiet street. There is a lot to love about this four-bedroom family home from the massive backyard to the central location. The floor plan offers four spacious bedrooms, all with built-in robes, plus a huge open-plan living and dining space with fireplace and beautiful exposed beam ceiling. The home chef is sure to love the well-equipped modern kitchen that boasts a solid timber finish, stone benchtop, gas cooking, plenty of storage space and a large breakfast bar for casual dining. When it\'s time to relax you can take a dip in the pool, watch the kids play in the huge backyard, relax at the rear covered veranda or make the most of the huge land size with future potential second income (granny flat s.t.c.a). This property also features a huge garage, air-conditioning, easy-care landscaping, and plenty of off-street parking. All of this is centrally located between both the Bankstown and Punchbowl CBDs and close to local schools, shops and public transport. Address: 14 Sunny Crescent Punchbowl NSW 2196 Auction: Saturday 18th April 2020 at 12:00pm If you require any further information, please do not hesitate to contact me on 0423 344 868",32,29,26,13,75,75,25,57,43,-1,-1,-1
https://www.domain.com.au/31-jay-avenue-belfield-nsw-2191-2016175634,1465000,Sold by private treaty 17 Apr 2020,31 Jay Avenue Belfield NSW 2191,Belfield ,Free Standing Houses ,4,2,2,336.8,"Five-star designer home offers stylish executive living We will be conducting private inspections between 11.30am - 12.30pm this Saturday. Should you be interested in viewing the property, please provide your best contact number so we can arrange private viewing. Due to the current regulations, all inspections will be by appointment only. Should you attend the property without pre-registering, you will not be able to inspect. - High-end designer living is at its finest in this ultra-modern as-new residence that features spacious open-plan interiors and four generous bedrooms to accommodate your growing family. Alfresco entertaining is also a delight on the stylish covered patio with alfresco kitchen facilities, and premium appointments will impress throughout. The home is ideally set in a peaceful cul-de-sac walking distance to Rudd Park, childcare facilities, a primary school, shops, restaurants and a 24/7 gym. It\'s also conveniently set just 10 minutes to Strathfield train station and Westfield Burwood, 25 minutes to Parramatta, and 30 minutes to Sydney CBD. - Stunning north to rear open-plan living/dining area with high ceiling and abundant natural light Sleek chef\'s kitchen with thick marble-look stone bench tops and quality appliances Spacious covered entertainer\'s patio with alfresco kitchen including built-in BBQ King-sized master bedroom with balcony and twin walk-in robe through to luxury ensuite Master ensuite features an over-sized double shower and twin vanity Built-in robes to generous second, third and fourth bedrooms to suit family living Immaculate main bathroom with striking freestanding bath plus separate shower Large study nook with built-in desk and overhead cabinetry off living/dining area  Well-equipped internal laundry with storage plus separate downstairs powder room Under-stair storeroom; single garage with internal entry; side gate access to courtyard, keyless entry, security camera &amp; intercom The home\'s striking ultra-modern faade creates a commanding street presence and there is convenient side gate access into the secure, fully fenced wrap-around backyard. Enter directly into the stunning open-plan living/dining area where the soaring ceiling and striking designer staircase with a mezzanine-style open landing creates immediate wow factor.  You\'ll love the five-star gourmet kitchen that features a huge island breakfast bar, and the living/dining area flows onto the covered patio for seamless alfresco living.",27,31,24,18,66,60,40,56,44,40 to 59,-1,"6,318"
https://www.domain.com.au/25-freda-street-panania-nsw-2213-2016143221,945000,Sold by private treaty 17 Apr 2020,25 Freda Street Panania NSW 2213,Panania ,Free Standing Houses ,3,1,2,448,]',28,26,29,18,72,76,24,62,38,40 to 59,-1,"12,418"
https://www.domain.com.au/134-rosemont-st-south-punchbowl-nsw-2196-2016119762,915000,Sold by private treaty 17 Apr 2020,134 Rosemont St South Punchbowl NSW 2196,Punchbowl ,Free Standing Houses ,3,2,2,0,]',27,34,22,18,74,73,27,49,51,-1,-1,-1
https://www.domain.com.au/49-mackenzie-street-revesby-nsw-2212-2016186576,910000,Sold prior to auction 17 Apr 2020,49 MacKenzie Street Revesby NSW 2212,Revesby ,Free Standing Houses ,3,1,1,5501,"PRIME DEVELOPMENT OPPORTUNITY CLOSE TO STATIONS &amp; SHOPS Please Call for a Private Inspection Auction Unless Sold Prior | Saturday 18th April, Online @AuctioNow (Time to be confirmed) - https://auctionnow.com.au/guide#/ Don\'t let this prime opportunity slide to secure a clear block on the higher side of MacKenzie St in Revesby, add further vale at an affordable entry point! This blank canvas gives you your very own choice to either renovate &amp; add your own taste, knockdown and rebuild your dream home in this sought-after location &amp; even further opportunity as this property also offers a potential duplex site Subject to Councils Approval. Reap the rewards and returns whether you\'re an investor, occupier or developer. - 3 Generous sized bedrooms High ceilings and Cyprus pine timber floors the flow throughout the property Large open light-filled living area with air-conditioning Spacious kitchen and family dining area Renovated bathroom flowing off a sunroom Clear and flat rectangular shaped block 550.1sqm and a 15.24m Frontage Duplex potential site Subject to Councils Approval Excellent location, smack bang in the middle of Revesby Station and Padstow - Station, all amenities, schools, parks and M5 Motorway",28,25,28,19,78,82,18,58,42,20 to 39,-1,"14,189"
https://www.domain.com.au/110-centaur-street-revesby-nsw-2212-2016101891,1150000,Sold by private treaty 17 Apr 2020,110 Centaur Street Revesby NSW 2212,Revesby ,Free Standing Houses ,4,2,0,689,]',21,28,27,24,52,82,18,63,37,20 to 39,-1,"14,189"
https://www.domain.com.au/25-queen-street-revesby-nsw-2212-2016100765,1070000,Sold by private treaty 17 Apr 2020,25 Queen Street Revesby NSW 2212,Revesby ,Free Standing Houses ,5,2,4,935,"HUGE BLOCK THAT HAS IT ALL! This unique and rare property provides a wonderful opportunity for developers, investors and the extended family. This fantastic block is perfectly positioned in Revesby, close to shops, amenities and transport.  Offering:- - 3 bedroom Brick Veneer home Built in wardrobes 2 way bathroom Huge Lounge Open Plan Kitchen and Dining Alfresco entertaining 2nd toilet and laundry Outdoor Kitchenette Long side driveway Electric Gate Land size 935m2 approx/15.24 frontage approx Bonus  - Fully self-contained granny flat Huge Side Driveway providing rear access and plenty of parking Potential rent $1000 per week Its not often you come across a family home that offers everything a growing family with future potential. For more information, please call Michael Sleiman on M: 0433 941 863.",31,28,25,16,63,67,33,52,48,20 to 39,-1,"14,189"
https://www.domain.com.au/87-canarys-road-roselands-nsw-2196-2016123717,916000,Sold by private treaty 17 Apr 2020,87 Canarys Road Roselands NSW 2196,Roselands ,Free Standing Houses ,3,1,3,0,"SOLD BY YOUR NUMBER ONE SELLING AGENT GEORGE BOGHOS - 0411 448 788 The perfect home for young families and retirees. Positioned on a single level north west rear facing block and completely bathed in sun and privacy, this fully renovated double brick home offers a lifestyle of low maintenance enjoyment. Offering a large undercover entertaining area, open plan interiors and the added benefit of a large and child friendly backyard on a level block of land. Virtually new interiors give this home a sense of sophistication whilst its well layout design ensure suitability to any style of buyer. Offering floating timber floors, spacious modern kitchen with stone bench tops with European stainless appliances, breakfast bar and plenty extra cupboard space. Three neat bedrooms, all with built-ins, gorgeous modern bathroom, generously sized lounge and dining area and internal laundry completes this delightful home. The property is close to the areas cafes/restaurants, amenities &amp; public transport, 5 minutes from Roselands Shopping Centre, great schools, golf course, various parks and reserves and the M5 corridors. * Near new state of the art kitchen &amp; bathroom * Solid double brick construction * Manicured lawns with great entertaining area * Large workshop or storage area * Walk to schools, parks &amp; bus transport * Air Conditioning * Home Alarm System * Wide side driveway with electric gate to plenty of off street parking",27,32,23,19,67,68,32,56,44,20 to 39,-1,"11,589"
https://www.domain.com.au/14-121-tompson-road-panania-nsw-2213-2016176490,673000,Sold by private treaty 16 Apr 2020,14/121 Tompson Road Panania NSW 2213,Panania ,Villas ,2,1,1,0,"Well Presented Single Level Villa Home Set in a popular complex, in a quiet convenient location of Panania South, is this beautifully presented single-level villa home.  Our Favourite Features include:  * 2 Bedrooms with Built-in Wardrobes * Spacious Lounge and Dining Areas * Well Maintained Kitchen &amp; Bathroom * Single Garage, Level Grass Backyard * Popular Leafy Complex * Quiet, Convenient Location * Close to Schools, Shops, Transport, Parks. Details and Inspections: Belinda Owsnett - 0417 433 313.",26,24,30,20,65,79,21,64,36,40 to 59,-1,"12,418"
