Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/25-queen-street-woollahra-nsw-2025-2016358543,3400000,Sold by private treaty 3 Jul 2020,25 Queen Street Woollahra NSW 2025,Woollahra ,Free Standing Houses ,2,3,2,0,]',23,28,25,25,49,54,46,49,51,20 to 39,-1,"7,414"
https://www.domain.com.au/57-dickson-street-bronte-nsw-2024-2016132610,3450000,Sold by private treaty 2 Jul 2020,57 Dickson  Street Bronte NSW 2024,Bronte ,Free Standing Houses ,4,2,2,468,"Private Family Home With Studio &amp; Parking In Tranquil Cul-De-Sac Close to Schools &amp; Beach Tucked away at the leafy cul-de-sac end of Dickson Street, this freestanding character home with self-contained studio delivers an idyllic beachside lifestyle in a prized pocket close to schools and the beach. Presenting versatile options for family living or home and income, the residence provides plenty of living space with a self-contained lower level and the separate studio ideal for teenagers or guests. Innovatively designed with large rooms, soaring ceilings and rustic vibe, the home stands on a deep dual-access block with rear entry on Carter Street. Prized position in sought after neighbourhood with short stroll to Bronte Public School, close to St Catherine\'s School and Waverley College and 10 minutes walk down to Bronte Beach.  Freestanding family residence  Both levels with separate entrance  Large living &amp; dining opens to garden  Modern kitchen with breakfast island   Neff 5-burner gas cooktop and oven   Plentiful kitchen storage, dishwasher  4 bedrooms (2 upper level, 2 lower level)  Big main bathroom with bath &amp; shower  2nd bathroom &amp; kitchenette (lower level)  Laundry with washtub and storage  Entry hall; planation shutters; built-ins  Ducted gas central heating  Reverse cycle aircon in studio   Alfresco deck with shade awning   Private rear garden with level lawn  Studio with rear entry on Carter Street  Double carport, off-street parking for 3rd car  Stroll to buses and Bronte Public School  Minutes to St Catherine\'s, Waverley College  Close to Charing Cross shopping village  Walk to Bronte Park and Bronte Beach",25,24,38,13,53,54,46,65,35,20 to 39,-1,"6,718"
https://www.domain.com.au/13-sturt-street-kingsford-nsw-2032-2016312614,2200000,Sold prior to auction 2 Jul 2020,13 Sturt Street Kingsford NSW 2032,Kingsford ,Free Standing Houses ,7,4,1,342,"Flexible Family Home with Dual Street Access Spread across two levels this welcoming family home makes a great find for the large or growing family seeking space, flexibility and comfort. Currently configured for a dual occupancy, the home entices with its deceptively spacious floor plan featuring separate living quarters on each level. A prized northern aspect, leafy outlooks and dual street access add to the appeal of this quality home. Exceptionally convenient it is set a short walk to light rail, UNSW and Kingsford\'s renowned dining scene, with Westfield Eastgardens and Coogee and Maroubra beaches just a quick drive away. - Modern Caesarstone kitchen features Smeg oven &amp; gas stove Spacious living/dining areas with polished timber floorboards  Large master bedroom includes a built-in wardrobe &amp; sunroom  Private courtyard gardens, sunny balconies with leafy aspects Rear access via Jacques Street to a detached lock-up garage Renovated main bathroom includes a separate bath &amp; shower Full brick downstairs, solar power, air-conditioning, home office Possible dual occupancy, home and income or student accommodation  an abundance of storage  Water Rates: $330 per quarter approx.  Council Rates: $480 per quarter approx. Land Size: 342sqm Disclaimer: All information contained herein is gathered from sources we believe reliable. We have no reason to doubt its accuracy, however we cannot guarantee it. All interested parties should make and rely upon their own enquiries.",16,42,21,22,53,29,71,37,63,20 to 39,-1,"15,481"
https://www.domain.com.au/1353-botany-road-botany-nsw-2019-2016236053,1450000,Sold by private treaty 1 Jul 2020,1353 Botany  Road Botany NSW 2019,Botany ,Terraced Houses ,4,2,2,3000,"MGM MARTIN - FOUR BEDROOM TERRACE HOME This torrens title terrace home offers the rare combination of a creative floor plan, quality finishes and a sought-after location in the heart of Botany. Spanning over three levels with rear lane access, the ground level of this light-filled home includes a generous living/dining space with timber floors, stylish modern kitchen with gas cooking, dishwasher and ample cupboard space, flowing onto a North East facing leafy and private backyard.  Four bedrooms of accommodation with Two of the double bedrooms can be found on the first level; each with built-in wardrobes and balcony access. The main includes an ensuite bathroom. The top-level contains a fourth bedroom/teenagers retreat with high ceilings, this property has rear lane access and a secure double garage for two cars and additional storage space, this home offers plenty for the modern family. Close to all Botany has to offer! What\'s important to you? - Rare large Torrens Title Terrace home opposite Botany public School Family room/lounge room captures leafy outlooks and has air conditioning Stylishly appointed open plan Kitchen/dining area enjoys a seamless flow Modern kitchen with gas cooking, dishwasher, breakfast bar &amp; ample storage Four spacious bedrooms with built in wardrobes, main with ensuite bathroom Three of Four bedrooms have built-in robes and Two have balcony access Two bathrooms, main with bath tub and shower and an additional powder room North East facing private and leafy backyard with access to double garage Rear lane access with a large secure double garage for two cars &amp; storage  Located close to village shops, cafes, Botany Aquatic Centre and transport Moments away from airport, motorways and less than 12km to Sydney CBD The local\'s point of view; -Burgeoning Botany is the latest Eastern suburb to undergo a revival with new low-rise planned communities resting easily within quiet suburban streets -Botany promises an idyllic lifestyle with the city close by and famous beaches closer -Dedicated greenspace is maintaining the relaxed and leafy vibe of the area including 3000sqm of public park within Tailors Walk -Botany is home to an emerging village lifestyle with a wealth of new eateries and cafes popping up in the village strip and on many corners -For an impromptu game of golf or as a regular pastime, The Lakes Golf Course is nearby as well as St Michaels Golf Club *Agents interest",36,23,31,9,45,79,21,63,37,20 to 39,-1,"10,823"
https://www.domain.com.au/146-barcom-avenue-darlinghurst-nsw-2010-2016345103,2550000,Sold by private treaty 1 Jul 2020,146 Barcom Avenue Darlinghurst NSW 2010,Darlinghurst ,Free Standing Houses ,3,2,0,152,"Architect-designed high-end city residence An architect design from Manuelle Schelp (Studio Schelp), this classic house has been reborn as a high-end city residence. With an outdoor terrace above a lock-up garage, this is expert use of space, light and in/outdoor flow. Private inspections available on request. Highlights * Double bedrooms, built-in wardrobes * Living room w/ built-in joinery gas fire * Large multi-stacking doors to a terrace * Natural light, outdoor entertaining zone * Modern induction kitchen, timber floors * Garage, separate laundry, electric blinds * Pantry, fridge, freezer &amp; wine shelves * Plenty of storage, full insulation t/out * Walk-everywhere inner-city living * Ask us about private appointments",12,46,37,5,25,41,59,53,47,-1,-1,-1
https://www.domain.com.au/147-underwood-street-paddington-nsw-2021-2016345940,2517000,Sold by private treaty 1 Jul 2020,147 Underwood Street Paddington NSW 2021,Paddington ,Terraced Houses ,3,1,0,108,"Relaxed City Residence On the northern side of the street in one of Paddingtons best positions, this terrace offers great potential and is freestanding to one side. It\'s a relaxed city residence, ready to move into or add touches  Highlights * Exciting restoration &amp; reno prospects * Preserved detail, opp to add value * Marble f/places, leadlight, timber flrs * High ornate ceilings, corner block  * Untouched northeast-facing courtyard * Bright front balc, rear rooftop view * Large bedrooms and upstairs bthr  * William Street boutiques at end of blk * Village lifestyle, top dining, galleries",18,38,27,17,43,61,39,48,52,20 to 39,-1,"12,922"
https://www.domain.com.au/2-west-street-paddington-nsw-2021-2016247257,1665000,Sold prior to auction 1 Jul 2020,2 West Street Paddington NSW 2021,Paddington ,Free Standing Houses ,2,1,0,0,"Late-Victorian lifestyle canvas just footsteps from Oxford Street Situated at the top end of West Street, moments to boutique stores, cafes and popular arthouse cinemas on Oxford Street, \'Yarmouth\' is a signature Victorian terrace of timeless appeal in a cosmopolitan city-fringe setting. It occupies a desirable end-of-row position, is rich in warmth and character synonymous with the period and offers an outstanding opportunity to moderately enhance or ultimately transform for contemporary urban living. Including an intimate courtyard at the rear plus a substantial upstairs terrace and traditional lace balcony, the full potential of this classic home is yet to be fully realised.  - High ceilings, original floorboards, picture rails and cast-iron fireplaces Spacious lounge and dining areas leading to well-equipped gas kitchen Kitchen provides s/steel appliances incl. dishwasher and ample storage Main bedroom has French doors to a balcony overlooking the streetscape Second bedroom with built-ins and large terrace under grapevine pergola Renovation-ready bathroom including a vintage clawfoot bath and laundry Semi-undercover rear courtyard area with WC and lock-up garden shed Near shops, dining, schools and buses bound for Bondi Junction and CBD",14,43,30,13,37,41,59,48,52,20 to 39,-1,"12,922"
https://www.domain.com.au/2-hart-street-surry-hills-nsw-2010-2016135473,1320000,Sold by private treaty 1 Jul 2020,2 Hart Street Surry Hills NSW 2010,Surry Hills ,Free Standing Houses ,3,1,0,57,"Inspect during scheduled open times, or by private appointment Full of character touches, from the custom joinery to farmhouse-style kitchen, this terrace makes a cool inner-city hideaway on the edge of a lively dining hub, moments to new Light Rail &amp; Central. Free Building &amp; Pest Report: bw.com.au. Private inspections available, or see scheduled open times. Highlights * Updated &amp; well-kept character terrace * Gated porch, dual entry, side access * Flexible floorplan, three beds + lounge * Timber farmhouse kitchen, gas cooker * Custom joinery, library shelves, robes * Attic-level bed with large rear windows * Modern bathroom with internal laundry * Private dining courtyard, built-in seating * Edge of cool dining/cafe hub &amp; light rail * Ask us about private appointments",17,46,35,2,22,38,62,45,55,20 to 39,-1,"16,408"
https://www.domain.com.au/16-avoca-street-bondi-nsw-2026-2016347371,3930000,Sold at auction 30 Jun 2020,16 Avoca  Street Bondi NSW 2026,Bondi ,Free Standing Houses ,5,3,1,0,"Luxurious Contemporary Family Home Sunny Tropical Gardens And Parent\'s Retreat Bathed in sunshine on an unusually deep level block, this architect designed beach house is set on a wide tree-lined cul-de-sac just off Bondi Road\'s cafe hub offering the best of beachside living and village convenience. Freestanding to the north side with a 7m frontage to one of Bondi\'s best-loved streets, the two storey home reveals a dramatic sense of space with five large bedrooms making it ideal for the large or growing family. Built to discerning standards and featuring huge windows taking full advantage of its sunny aspect, the upper level features a luxurious parent\'s retreat while a lush established garden with entertainer\'s deck and palm-fringed lawn giving the home a tropical resort-like feel. Enjoy the best of Bondi with cafes, delis and local hangouts at the doorstep and within easy walking distance of Bondi, Tamarama and Bronte Beaches and a choice of schools. * Family friendly cul-de-sac setting * Recently renovated, as-new condition * Undercover parking, video intercom * Classic entry portico, extra-wide hall * 5 double bedrooms all with built-ins  * 3 on the upper level, 2 with study desks * Master suite with WIR and a terrace  * Wide limewashed Oak floorboards  * Stylish kitchen with Miele appliances  * Stylish 50mm Carrara marble benchtops  * Gas cooktop, extensive Blum cabinetry * Sunlit free-flowing living and dining  * Coffered ceilings and highlight windows * Pergola-covered entertainer\'s deck  * Sunny level lawn and tropical gardens * 3 bathrooms, 2 with underfloor heating  * Deluxe wet-room style family bathroom * Kaldewei bath, double stone vanity * Internal laundry and plentiful storage  * Zoned air, gas heating, mood lighting  * Bondi Public School catchment area  * Stroll to cafes, delis, bakeries and bars  * Walk to Bondi and Tamarama Beaches",30,32,26,12,50,48,52,56,44,20 to 39,-1,"10,043"
https://www.domain.com.au/8-kensington-rd-kensington-nsw-2033-2016318474,2050000,Sold prior to auction 30 Jun 2020,8 Kensington Rd Kensington NSW 2033,Kensington ,Free Standing Houses ,3,1,1,361,"Adorable Period Home Full of Character and Charm This much loved quality residence has been lovingly enjoyed and lived in for almost a century by the same family. Occupying a level, elevated parcel of land amongst charming period residences, this character filled family home is freestanding and offers an abundance of space, style and natural light. Positioned literally footsteps from the Light rail to the CBD, University of New South Wales and OLSH college this property would be an ideal nest for those looking to enter the Kensington housing market or for those looking to size down.  Accommodation Includes: 3 generous sized bedrooms with high ceilings Main with attached W.C and Built in wardrobe Modernised tiled bathroom and large linen press Sun kissed lounge with leadlight windows and high ornate ceilings Adjoining open plan dining with an ornamental fireplace Updated eat in kitchen with a spacious walk in pantry Laundry with storage and adjoining workshop / home office potential Covered outdoor entertainers\' patio and landscaped gardens 361sqm parcel of land approx. Signature Period features throughout the home Ducted plus split system Air conditioning and secure Contact: Theo Felekos 0401 945 663  Ferry Suwito 0433 885 937 Inspect: Thursday and Saturday 12-12.45pm Auction: 18th July 2020 ONSITE 12.15pm",15,43,18,25,40,34,66,39,61,20 to 39,-1,"14,985"
