Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/33-tunks-street-northbridge-nsw-2063-2016060038,2900000,Sold prior to auction 7 Mar 2020,33 Tunks Street Northbridge NSW 2063,Northbridge ,Free Standing Houses ,3,2,3,562.8,"Picturesque family home in blue ribbon address Nestled amid gorgeous established gardens, this beautifully maintained home welcomes with charm and modern elegance. Situated in a highly coveted street, it\'s only a short walk to Northbridge Public School and the lifestyle attractions of Sailors Bay Road. - Formal and family living/dining zones seamlessly interconnect Beautifully retained period charm presented over level layout Generous entertainers\' deck leads onto paved backyard retreat Kitchen with breakfast bar combines Smeg and Miele appliances Three bedrooms enhanced by calming ambiance and soft light Two luxe bathrooms, one has underfloor heating, soaking tub Decorative ceilings, fireplace, flow to serene front patio Driveway parking for multiple cars, oversized double garage Stroll over to pre-schools, cafs, shops and Northbridge Oval Close proximity to lush reserves, Northbridge Baths, the CBD",36,18,27,19,55,74,26,65,35,40 to 59,-1,"6,331"
https://www.domain.com.au/17-king-street-waverton-nsw-2060-2016071862,2004000,Sold at auction 7 Mar 2020,17 King Street Waverton NSW 2060,Waverton ,Semi Detached Houses ,2,1,0,171,"Superb semi footsteps to charming village amenities With a prized Waverton position thats sure to impress, this superb semi is move-in ready with exciting further potential. Peaceful, private and light-filled, it blends traditional character with contemporary style and includes a roomy loft space. Its a brief stroll to charming local shops, cafes, foreshore reserves and rail transport and will delight couples, young families and those who like to put their own personal stamp on their home.   Soaring high ceilings, picture rails   Timber floors, fireplaces, full brick   Roomy split level living/dining space  Stainless steel kitchen appliances   Miele dishwasher, laundry facilities   Main bedroom with sunroom   Second bedroom, mirrored built-in  Light-filled fully tiled bathroom  Generous large loft area  Air conditioning, easy street parking   Near Brennan Park and Peace Park   Stroll to Waverton Village  Text the keyword 17KING to 0416 907 779 to receive more information on this property direct to your device. Land size: 171 sqm (approx) Council: $357.07 /qtr Water: $179.06 /qtr",17,24,28,30,51,62,38,58,42,20 to 39,-1,"3,010"
https://www.domain.com.au/72-sydney-street-willoughby-nsw-2068-2016071511,2439000,Sold at auction 7 Mar 2020,72 Sydney Street Willoughby NSW 2068,Willoughby ,Free Standing Houses ,4,2,1,562,"DECORATIVE CHARACTER READY FOR RENEWAL On the market for the first time in over 70 years, full of delightful decorative charm, this near-original 1940s full brick home is a timeless classic with a wealth of potential in this premier corner location. Set on a wide level 562sqm block with side access to lock up garage, this faded beauty is ready for a sympathetic renovation with room to extend for expansive contemporary family lifestyle (STCA). Close to popular schools, parks and buses, this super handy location is a short walk or minutes drive to Chatswood rail, shopping centres, schools, entertainment and business.  - Four bedrooms, two with built-ins, one with ensuite Original ornate ceilings and cornices Spacious original central lounge and Kitchen Original bathrooms with separate laundry Expansive garden bordered by mature trees Wide 562sqm block with side access to lock up garage In the catchment for Willoughby public Schools Easy road access to Chatswood and City  Unique character, ready for renewal to capitalize on this prized location",27,17,25,31,68,88,12,66,34,40 to 59,-1,"6,542"
https://www.domain.com.au/8-edna-street-willoughby-nsw-2068-2016075968,2920000,Sold at auction 7 Mar 2020,8 Edna Street Willoughby NSW 2068,Willoughby ,Free Standing Houses ,4,3,1,486.9,"Home of endless family appeal in parkside street Blending classic charm with tasteful additions, this spacious residence exudes a warm inviting sense of style over two light filled levels. The home is beautifully presented and assures easy living, just footsteps from Willoughby Park and a stroll to Castlecrag Village. - High ceilings, ornate plasterwork and polished timber floors Formal lounge and dining, open plan kitchen with family area Kitchen offers solid stone benchtops and European appliances Four bedrooms all with built-ins plus versatile home office Master has walk-in robe and ensuite, main bath including spa Split system r/c air-con, working fireplace and gas central heating  Internal laundry, excellent attic storage and off-street parking Rear garden terrace, heated lagoon swimming pool with sun deck Stroll to High Street shops, cafes and Harris Farm Markets Near St Thomas\' Primary School and Willoughby Girls\' High",34,17,32,17,68,88,12,73,27,40 to 59,-1,"6,542"
https://www.domain.com.au/66-edinburgh-road-willoughby-nsw-2068-2016143402,2520000,Sold by private treaty 7 Mar 2020,66 Edinburgh Road Willoughby NSW 2068,Willoughby ,Free Standing Houses ,3,2,2,562,]',35,12,32,21,66,79,21,65,35,40 to 59,-1,"6,542"
https://www.domain.com.au/48-ellalong-road-cremorne-nsw-2090-2016052941,2875000,Sold prior to auction 6 Mar 2020,48 Ellalong Road Cremorne NSW 2090,Cremorne ,Free Standing Houses ,4,1,1,505,"Charming Family Home in a Sought After Location Lovingly held by the same family for almost 60 years, this charming freestanding home presents impeccably maintained interiors with ornate period details and original solid timber joinery throughout. Recently refreshed, the elegant home is move-in ready while offering ample scope to update and personalise to suit individual tastes.  Its generously proportioned layout features a selection of living and entertaining spaces including a formal lounge with ornate timber fireplace, adjacent family living room, full width sunroom and separate dining room. Four bedrooms are privately positioned on the top floor, while a large study or optional fifth bedroom/study located on the entry level is ideal for guest accommodation. Perfect for families with young children, the private sun dappled backyard offers a sprawling manicured lawn, established gardens and mature trees.  Located in an idyllic pocket, the home is just 100 metres from Lodge Road Park and playground, and an easy nine minute walk to Middle Harbour Public School. It\'s on a generous 505sqm parcel enviably positioned between both Mosman and Cremorne villages, with easy access to the foreshore and no traffic lights to Sydney CBD. - Elegant formal lounge room with ornate timber fireplace flows to adjoining family living Full width sunroom opens through French doors to a private balcony overlooking the garden Peaceful backyard includes extensive lawn, abundant sunlight filtered through mature trees Well presented kitchen has Bosch dishwasher, integrated oven, gas stove and adjacent dining Five generously proportioned bedrooms with leafy outlooks, three offer built-in wardrobes Extra large main bedroom features air conditioning, ample natural light and private aspect Classic family sized main bathroom with bathtub, separate internal laundry and guest w/c Recently updated carpet, polished timber floorboards, air conditioning and high ceilings Single lock-up garage including storage space underneath, plus ample underhouse storage In proximity to city buses, popular dining precincts, shopping amenities, Redlands School Water Rates: $107.04pq approx Council Rates: $459.00pq approx",31,19,26,23,66,87,13,72,28,-1,-1,-1
https://www.domain.com.au/18-valleyview-crescent-greenwich-nsw-2065-2016112699,2750000,Sold at auction 6 Mar 2020,18 Valleyview Crescent Greenwich NSW 2065,Greenwich ,Free Standing Houses ,3,1,1,0,"Solid Classic Full Of Potential With Appealing Outlooks Poised on the high side of the street on a sunny parcel with brilliant exposure to the Northerly sun, this full brick classic offers untapped potential to update/modernise or rebuild your dream family home (STCA). Benefiting from a dual street frontage, it features charming retained period features and comfortable interiors across a practical single level layout. It promises a convenient lifestyle, positioned walking distance to Greenwich Public School, minutes to Greenwich Village and St Leonards Train Station. - Easy build land with two street frontages and a 16.64-metre frontage - Formal/informal living and dining areas enhanced by polished timber floors. - Private alfresco entertaining leads to child-friendly lawns/gardens. - Neat and tidy original kitchen with ample cupboards overlooks the rear garden. - Three bedrooms, large laundry and guest w/c, rear street access to garage. - Enjoy now while planning your future dream home to taste (STCA). - Stroll to picturesque bush trails, harbourside parks and express city buses. - Land dimensions 16.64m X 33.53m",31,21,28,20,69,78,22,67,33,20 to 39,-1,"5,618"
https://www.domain.com.au/14-gore-street-greenwich-nsw-2065-2014574725,2190000,Sold by private treaty 6 Mar 2020,14 Gore Street Greenwich NSW 2065,Greenwich ,Free Standing Houses ,4,2,1,847,"Family Home, Walk to Shops and Train Tranquil leafy surrounds form a beautiful backdrop to this lovely family home set on 847sqm. Nestled towards the end of a quiet cul-de-sac, it provides a very private family retreat with light filled interiors and a magical sense of peace and seclusion. - Opportunity to put add a 2nd storey (STCA) and room for a pool ! 4 bedrooms with built-ins, 2 bathrooms, enclosed yard  Designer gas kitchen, quality stainless steel appliances Wide-board wooden flooring throughout Under house storage &amp; ladder access attic storage Fantastic location - close to Buses to City, Greenwich Ferry, Greenwich Village   and Wollstonecraft station.",29,25,27,19,59,85,15,67,33,20 to 39,-1,"5,618"
https://www.domain.com.au/18-bullecourt-avenue-mosman-nsw-2088-2016077401,5250000,Sold prior to auction 6 Mar 2020,18 Bullecourt  Avenue Mosman NSW 2088,Mosman ,Free Standing Houses ,5,4,2,0,"Contemporary Style Luxury With Stunning Water Views Bathed in sun, and boasting commanding district and water views from every level, this spacious family home exudes quality and style. With level entry from the street you are welcomed into the huge open plan living and dining zones, which enjoy breathtaking views creating amazing wow-factor and the perfect floor plan for modern-day family living. Almost every room embraces the extraordinary aspect. Four spacious bedrooms all on one level, two with ensuites and the spacious master suite captures the sublime water views. There\'s self-contained private accommodation on its own level, with a modern kitchen and living area opening to the views, ideal to rent out if desired. Easy-care surrounds, small level garden and large tiled swimming pool with entertaining terrace deliver a sensational lifestyle. DLUG with internal level access from a quiet cul-de-sac location all combine to deliver an outstanding residence surrounded by opulent neighbouring homes. Accommodation Enormous open plan living zones featuring a wraparound balcony  Gourmet gas-fitted kitchen, stainless steel benchtops and a 900mm Ilve cooker Feature gas fireplace integrated into a wall of bespoke joinery in the living area Master suite boasting views, Juliet balcony, WIR and huge ensuite with spa bath 4 bathrooms luxuriously finished with stone accents and frameless glass shower Bedroom 3 with access to level garden, WIR and ensuite Features Resort-style swimming pool embraced by foliage and sun-decks, with outdoor shower Engineered American Oak floorboards, plantation shutters and home theatre with integrated sound system Ducted reverse-cycle air-conditioning, gas heating, guest powder room  Internal access from double garage, 2 sets of security gates Family sized laundry with folding bench, impressive internal and external storage Convenient to schools, shops, cafes, buses and beaches, stroll to harbourside parks",26,26,26,21,56,68,32,60,40,40 to 59,-1,"28,470"
https://www.domain.com.au/4-countess-street-mosman-nsw-2088-2016141494,3125000,Sold by private treaty 6 Mar 2020,4 Countess Street Mosman NSW 2088,Mosman ,Free Standing Houses ,4,2,1,0,"Immaculate Federation home with contemporary layout Why you\'ll love it Showcasing a contemporary indoor/outdoor layout, this immaculate Federation residence provides beautifully renovated interiors across two levels. It\'s located steps to Countess Park, city buses and is moments from Mosman village shops and Balmoral Beach. Key features: Spacious open plan living area flows seamlessly outdoors Covered alfresco entertaining zone and large level lawn Separate formal lounge, polished hardwood timber floors Island kitchen with Miele appliances and a breakfast bar Master suite opens to private deck with water glimpses Well scaled bedrooms, high set ceilings and picture rails Air conditioning, plantation shutters, in-built study space Established landscaped garden surrounds, internal laundry Sandstone paved entry, ornate fireplace, abundant storage Predominantly full brick build, single automated carport",34,17,26,22,68,85,15,70,30,40 to 59,-1,"28,470"
https://www.domain.com.au/3-balmoral-avenue-mosman-nsw-2088-2014997198,9980000,Sold prior to auction 6 Mar 2020,3 Balmoral Avenue Mosman NSW 2088,Mosman ,Free Standing Houses ,4,5,2,0,"An architectural triumph with panoramic due north views Breathtaking views over Balmoral to Manly take centre stage in this world-class residence and set the scene for a luxurious harbourside lifestyle. Designed by Corben Architects, the home\'s streamlined interiors celebrate the outdoors via a series of deep terraces and open to a sun-drenched garden with a heated 10m pool as centrepiece to family life.  - Crafted to offer the ultimate in prestige living on Balmoral Slopes 4 double beds, 3 ensuite, luxurious master, home office and a media room Steel-framed living pavilion, state-of-the-art kitchen, entertainer\'s terrace  North facing gardens with wet-edge pool, sauna, level lift access to all levels C Bus, ducted air, extensive storage and internal access to double garaging Lush private garden &amp; pool, peaceful street, footsteps to Balmoral beach",19,14,29,38,60,76,24,65,35,40 to 59,-1,"28,470"
https://www.domain.com.au/26-thompson-street-mosman-nsw-2088-2016069007,3000000,Sold by private treaty 6 Mar 2020,26 Thompson Street Mosman NSW 2088,Mosman ,Free Standing Houses ,4,1,2,328,"Prestige setting, over-sized Federation semi A prestige Mosman address sets the scene for this exceptional dual level semi that feels more like a freestanding home. One half of an elegant Federation, it retains all the charms of its heritage whilst delivering a home that works perfectly for modern living.  Open plan casual living and dining spaces extend out to the generous side terrace and level child and pet friendly back garden. The floor plan provides a gracious and spacious formal lounge with fireplace plus the option of a ground level large 4th bedroom or formal dining.  Upstairs are three further bedroom suites including the north facing master with adjoining sunroom or study. Perfect as is, it holds further potential and offers wide appeal with its generous proportions. Enjoy an exclusive lifestyle steps to the bus, foreshore walkways, the zoo and ferry, and close to schools and the village.  Quiet and peaceful street setting   Beautiful high decorative ceilings, original fireplaces, attic storage  Open plan living and dining, marble topped gas kitchen  French doors open out to the side terrace and gardens  Superb lounge with marble wrapped fireplace   Large 4th bed/dining room with fireplace  Three substantial upper level bedrooms  North facing master with adjoining sunroom  Powder room, hidden laundry, attic storage  Upper balcony with city skyline views plus leafy cameos of the bridge and Opera House  Ample parking off-street plus easy on-street parking",35,19,29,17,57,83,17,65,35,40 to 59,-1,"28,470"
https://www.domain.com.au/5-reserve-street-neutral-bay-nsw-2089-2016135827,3000000,Sold by private treaty 6 Mar 2020,5 Reserve Street Neutral Bay NSW 2089,Neutral Bay ,Free Standing Houses ,3,2,0,280,"Lifestyles of the Rich and Famous Showcasing fully renovated interiors and a thoughtful design, this perfectly presented property combines indoor and outdoor living at its best. Located in a quiet cul de sac yet just moments to the many amenities of Neutral Bay, the property boasts views from Sydney Harbour Bridge across to North Sydney and beyond. This is the perfect opportunity for those searching for a property that impresses from the moment you arrive. Located close to shops, Neutral Bay Public School, and public transport that provides easy access to the CBD. - Large open plan living area incorporating lounge, family and dining Level garden, paved patio and manicured lawns Quality kitchen with large island bench, double oven, gas hob and dishwasher Four good sized bedrooms, walk-in in dresser to master Luxurious full en suite to Master and bedroom two, balconies with views of the Harbour Bridge across to North Sydney Family bathroom and separate laundry room Air conditioning and underfloor heating in bathrooms Gas points in living area and outdoors for BBQ Cul-de-sac location, walking distance to Neutral Bay Public, shops, cafes and public transport Disclaimer:  All information contained in this listing is provided to Global Property by the third parties, and is intended as a guide only. No warranty is given as to it\'s accuracy and purchasers should rely on their own inquiries.",21,29,28,21,48,55,45,63,37,20 to 39,-1,"10,478"
https://www.domain.com.au/6-jacques-street-chatswood-nsw-2067-2016132897,4500000,Sold by private treaty 5 Mar 2020,6 Jacques Street Chatswood NSW 2067,Chatswood ,Free Standing Houses ,4,2,2,0,"OUTSTANDING EXECUTIVE FAMILY HOME IN THE HEART OF VIBRANT CHATSWOOD Commanding one of Chatswood\'s finest locations, this exquisite dual level double brick home offers a lifestyle of sheer luxury &amp; spectacular sunset views. With meticulous attention to detail, luxe appointments appear throughout to include maple &amp; mahogany parquetry floors, decorative architraves, electronic shutters &amp; intercom &amp; home security systems. -Deluxe gas eat-in kitchen with European appliances -Master bedroom with ensuite and walk-in robe -2 king/two queen sized bedrooms with built-ins  -2 fully tiled bathrooms, 2 with bathtub  -Internal laundry -Double garage",23,31,29,18,44,57,43,55,45,20 to 39,-1,"24,900"
https://www.domain.com.au/8-levick-street-cremorne-nsw-2090-2015854215,3340000,Sold at auction 5 Mar 2020,8 Levick Street Cremorne NSW 2090,Cremorne ,Free Standing Houses ,4,3,0,502,"The Best of Both Worlds  Renovated Bungalow in a Quiet Street Minutes from the City A sophisticated fusion between old and new, this freestanding bungalow has been masterfully renovated and extended to create a haven of style and comfort for modern families. Delivering ample accommodation options and three separate living areas, the split level layout is both substantial and versatile. Retaining the original ornate plaster ceilings in the front section of the house, the central lounge room exudes elegance. Near new downstairs, natural light streams into the lower level rumpus room which is set alongside an inviting guest room with access to its own bathroom. Ideal for children of all stages, an entertaining terrace off the contemporary open-plan living expanse overlooks the secure backyard with plenty of room for a swimming pool. Privately positioned upon a superbly landscaped 502sqm block, delight in the leafy convenience of this family friendly pocket close to Brightmore Reserve, city bus transport and leading schools. Accommodation  Soaring cathedral ceiling above the open-plan kitchen, living and dining Caesar stone kitchen featuring a marble splashback and integrated dishwasher Restored internal glass doors separating the gracious lounge room Northern sun streaming into rumpus room through a double height window Master bedroom connecting to a WIR lined with b-ins and a chic ensuite 3 renovated bathrooms, main with marble wall and combined bath/shower Wardrobes, patterned ceilings, shutters and carpet in 2 of 4 bedrooms Versatile 4th bedroom/guest accommodation with own entry and ensuite  Features Bluestone paving defining the outdoor lounge, sunny alfresco dining terrace Tranquil backyard oasis with level lawns and elevated sandstone garden beds Consistent grey oak flooring from the front door through all living areas European laundry with sink and storage, light and fresh colour scheme Ceiling fans, air-conditioning, LED lighting, under-stair storage and garden shed Council approved for the addition of a pool, potential off-street parking (STCA) Close to Orpheum Cinema, Cremorne/Neutral Bay cafes and SCECGS Redlands Walk to Willoughby Bay cycle track, Primrose Park Tennis Courts and playgrounds Fabulous access to the city, just a single set of traffic lights to the Harbour Bridge * All information contained herein is gathered from sources we consider to be reliable, however we cannot guarantee or give any warranty to the information provided.",33,19,29,19,66,88,12,66,34,-1,-1,-1
https://www.domain.com.au/36-spencer-road-mosman-nsw-2088-2016095386,2180000,Sold at auction 5 Mar 2020,36 Spencer Road Mosman NSW 2088,Mosman ,Free Standing Houses ,2,1,0,230.58,"Modern Convenience with Federation Flair  Walk to Absolutely Everything!  DA approved Set amongst picturesque Federation homes upon a leafy community-minded street, this solid double brick semi-detached home showcases both original beauty and an easy-living layout. Ready to enjoy now with room to grow in the future, there is DA approval in place to capture city views from a new master retreat. A traditional front veranda opens into a long hallway lined in timber floorboards. Two double bedrooms stem off the hall arriving into the central lounge and adjoining dining room. Entertain both indoors and out, the timber deck overlooks a paved barbeque patio and secure child friendly level lawn. Position perfect, walk to Military Road bus stops, vibrant eateries, supermarket and the Hayden Orpheum Cinema. Superbly central, travel into the city in mere minutes and relax at local harbour beaches and parks. Accommodation  Central lounge room with integrated cabinetry connecting to a sky-lit dining  Kitchen overlooking the garden, Ilve gas cooking and Bosch dishwasher  Both bedrooms with built-ins and plantation shutters, main with fireplace  Fresh bathroom featuring an oversized vanity and combined bath/shower  Lofty proportions, high ornate ceilings and an decorative arch in hallway Features  Timber deck overlooking paving and a level lawn outlined by lush gardens  Attic storage, garden shed and under-house storage, ducted heating  Separate laundry equipped with masses of storage, fabulous kitchen storage  A gentle 10 minute walk to express buses, IGA, cafes and Orpheum Cinema  Walk to local playgrounds, central to both private and public schooling options",38,17,33,13,62,82,18,68,32,40 to 59,-1,"28,470"
https://www.domain.com.au/22-karilla-avenue-lane-cove-nsw-2066-2016224124,2975000,Sold by private treaty 4 Mar 2020,22 Karilla Avenue Lane Cove NSW 2066,Lane Cove ,Free Standing Houses ,4,3,3,0,]',36,18,27,19,71,89,11,70,30,20 to 39,-1,"10,817"
