Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/48-wall-avenue-asquith-nsw-2077-2016306117,1150000,Sold at auction 7 Jul 2020,48 Wall Avenue Asquith NSW 2077,Asquith ,Free Standing Houses ,4,2,1,759,"Sold By Steve &amp; Adam Noakes 0431 620 422 Sold By Steve &amp; Adam Noakes 0431 620 422 Privately set in a sought after street and amid beautifully established gardens, this character filled home offers high ornate ceilings, timber flooring, sash windows and bright and airy interiors.  Four bedrooms, 2.5 bathrooms, lounge, separate dining plus rumpus overlooking in-ground pool. Easy care lush gardens with district views. Stroll to Mills Park, station and shops.  Auction this Saturday @ 1:00pm on site Features: - Plenty of room for a granny flat (STCA) 4 good sized bedrooms with built in robes Spacious living area with air-conditioning Fully fenced and sunny backyard perfect for kids Large dining room off kitchen opening onto a balcony Extra off street car space for caravan, boat or trailer Lock-up garage, under-house storage Land size 759 sqm (approx) Location: - Asquith Public School Catchment 800m to Asquith train station 700m to Coles and Asquith Shops Close to M1 with 40 minute drive to Sydney CBD For more information contact Steve on 0431 620 4222 or Adam on 0450 753 268",27,23,29,20,73,77,23,60,40,40 to 59,-1,"3,366"
https://www.domain.com.au/47a-ida-street-hornsby-nsw-2077-2016165775,1150000,Sold by private treaty 7 Jul 2020,47A Ida Street Hornsby NSW 2077,Hornsby ,Free Standing Houses ,3,2,1,470.1,"Modern family home in convenient location Uniquely located, this immaculate single level family home is conveniently set adjacent to Hornsby North Public School. Literally watch the children walk into the school from the home. Walking distance to buses and parks with Asquith Village, Asquith Station plus Hornsby hub just moments away. Ideal for both downsizer and young family to enjoy. The home welcomes you with an abundance of natural light and quality floorboards throughout. The spacious formal lounge &amp; dining areas flow into a large outdoor entertaining area and a sunny wrap-around backyard. A newly updated kitchen includes stone benchtops, new dishwashing, breakfast bar and quality gas appliances.   Sunny backyard and side yard   Two Living Rooms, 3 bedrooms all with BIR\'s  Two bathrooms including large two-way bathroom and a separate toilet   Lock up garage internal access, plus 3 cars parking space  Metres walk to Hornsby North Public School",30,20,29,22,70,87,13,63,37,-1,-1,-1
https://www.domain.com.au/62-meluca-crescent-hornsby-heights-nsw-2077-2016295474,1180000,Sold by private treaty 6 Jul 2020,62 Meluca Crescent Hornsby Heights NSW 2077,Hornsby Heights ,Free Standing Houses ,5,2,2,709,"Sold by Adam Noakes &amp; Steve Noakes 0450 753 268 Walk to Montview Park and a leisurely 700m stroll to Hornsby Heights Primary School, it offers plenty of space for growing families. Surrounded by the lush expanse of Berowra Valley National Park with generous private gardens and a flexible floor plan, it presents a fantastic ready to enjoy home, with potential to further capitalise. Features: - Spacious and light-filled family living with defined formal dining space Large open plan kitchen overlooking enclosed verandah and rear gardens Good-size bedrooms with built-ins and high ceilings Large covered balcony over looking backyard 5 bedrooms 4 with built ins plus home office Dual access from Galston Road Ducted air-conditioning  Location: - Walk to Hornsby Heights Public and Montview Recreation park Close to transport, schools, cafes and shops 50m walk to bus stop going to Hornsby\'s CBD Quiet tightly held family-friendly street with a welcoming community spirit For more information please contact Steve Noakes 0431 620 422 or Adam Noakes 0450 753 268",27,17,29,26,75,95,5,66,34,40 to 59,-1,"6,290"
https://www.domain.com.au/9-calga-avenue-normanhurst-nsw-2076-2016309831,1600000,Sold at auction 6 Jul 2020,9 Calga Avenue Normanhurst NSW 2076,Normanhurst ,Free Standing Houses ,4,2,1,568,"Character and Modern living combine. Fall in love with ""Martinborough"" a character-filled home that has been restored and tastefully extended, creating a generous family sanctuary of style and distinction. It offers a seamless flow between new &amp; old, indoor &amp; outdoor and formal &amp; casual living spaces for both parents and children.  The romance of the full brick 1920\'s bungalow has been enhanced with the best of modern-day conveniences and has been beautifully contrasted with the modern open plan living space.  Features include:  The light-filled stone kitchen offers gas cooking with quality appliances, a large breakfast bar, an abundance of bench space plus the bonus of a butlers pantry.  Modern open plan living flowing to the covered entertaining deck and fully fenced rear lawn.  A stunning main bedroom with walk-in robe and luxurious ensuite.   Generous bedroom sizes all with built-in robes, fans, picture rails and high pattern ceilings.   2 brand new bathrooms complete with underfloor heating and a chic design.  Formal lounge boasting a gas fireplace, pattern ceilings and picture rails.   Nothing to do, a brand-new roof, new electrical and plumbing all with the best in fittings.  Large under house storage room, A/C, garden shed, polished timber and tile flooring.  Bus stop at the door, a 15 min walk to Normanhurst Station and so close to so many of the areas best private, public and selective schools.  Inspect today and fall in love with this charming character family home.",30,19,31,20,72,91,9,68,32,40 to 59,-1,"5,280"
https://www.domain.com.au/13a-wolsten-avenue-turramurra-nsw-2074-2016308958,2351000,Sold by private treaty 6 Jul 2020,13A Wolsten Avenue Turramurra NSW 2074,Turramurra ,Free Standing Houses ,5,3,3,1505,"Fabulous family home set on over 1500sqm This stylish property exudes relaxed family living with excellent formal and informal living areas, both inside and out. Set privately amid lush gardens to front and rear, this family home offers spacious accommodation in a sought-after location. A multitude of features include polished timber floors, light-filled rooms, high ceilings, front verandah, multiple living zones and large outdoor spaces. Within Wahroonga Public School catchment and a level walk to Knox Grammar, the property also benefits from being approximately 1.5km to both Warrawee and Turramurra stations, and is conveniently situated close to Eastern Road shops and Turramurra Memorial Park.  - light-filled contemporary kitchen overlooking private rear extensive open-plan casual dining/living/family room  casual living spaces open onto deck and terrace  spacious formal lounge and dining room 5 bedrooms, 3 with built-ins, main with walk-in robe 6th guest bedroom or study/home office 3 bathrooms inc full en-suite to main bedroom two outdoor entertaining areas  DLUG with storage, additional off-road parking reverse cycle air-conditioning, security system  walk to shops, rail, Knox and Abbotsleigh schools Wahroonga Public School catchment",35,22,24,19,66,92,8,61,39,-1,-1,-1
https://www.domain.com.au/37-bowen-avenue-turramurra-nsw-2074-2016334773,1755000,Sold prior to auction 6 Jul 2020,37 Bowen Avenue Turramurra NSW 2074,Turramurra ,Free Standing Houses ,5,3,1,1277,"Nature lovers\' sanctuary in a premier location Ideally placed in a quiet cul-de-sac road and promising absolute privacy, this welcoming family haven on 1,277 sqm delights in never-ending panoramas across the national park as well as wonderful daily harmonies of native birdsong. A thoughtfully designed layout provides a wealth of graceful living spaces and superb outdoor areas perfect for hosting guests along with terraced, landscaped gardens and lovely lawns for children to play on.  Ideally located within close proximity to north shore\'s premier private schools including Abbotsleigh, Knox Grammar and within the catchment for Turramurra Public School.  - Dual-level home boasting 4 generous bedrooms, 5th bedroom/sitting room, 3 bathrooms Multiple alfresco and outdoor entertainment decks including an integrated barbecue Spacious kitchen with six burner gas cooktop, stone benches and Smeg appliances Master suite has a private outdoor space with views, stylish ensuite and walk-in robes Gas fire-place, reverse-cycle air conditioning, laundry / workroom, and off-street parking Close to local shops, recreational facilities, Turramurra Public School &amp; Turramurra High School This property is available for private viewing, and may also advertise an open time. All necessary measures have been put in place to adhere to the recent Government regulation and to protect the health and safety of all parties. For more information please contact the listing agent.",34,13,28,25,69,94,6,71,29,-1,-1,-1
https://www.domain.com.au/41-pentecost-avenue-pymble-nsw-2073-2016124422,2950000,Sold at auction 4 Jul 2020,41 Pentecost Avenue Pymble NSW 2073,Pymble ,Free Standing Houses ,4,3,3,1037,"Magnificent ART DECO residence with stunning views over Pymble golf course.  Perfect rear-to-north. AUCTION SATURDAY AT 12PM ""Elderslie"" has been lovingly maintained by the same family for the past 30 years. This magnificent home is a fine example of Art Deco architecture offering the most elegant interiors with high ceilings, vast light filled rooms and a spectacular vestibule with superb sweeping staircase. Nestled on 1000 SQM private grounds the accommodation comprises 4 double bedrooms (main with en-suite bathroom), gracious lounge room, banquet sized formal dining room, kitchen with walk-in pantry and adjoining casual living room opens to vast entertaining terrace perfect for alfresco dining overlooking the swimming pool and golf course. Large rumpus/billiard room. Sauna. 1400 bottle wine cellar 700m or 9 minute easy walk to the St Ives Village Shopping Centre and restaurants and cafes",30,19,26,25,55,91,9,67,33,-1,-1,-1
https://www.domain.com.au/80-the-chase-road-turramurra-nsw-2074-2016308837,1635000,Sold at auction 4 Jul 2020,80 The Chase Road Turramurra NSW 2074,Turramurra ,Free Standing Houses ,3,1,1,929.5,"SOLD BY MATT BOLIN This extremely solid original home has been a part of one family\'s history since 1953. Predominately double brick, it rests on a generous 929.5sqm (approx) delivering a spacious near single level floor plan and outstanding possibilities. The light filled home can be reconfigured and renovated or removed to mastermind a brand new contemporary home (STCA). There are spacious under house areas plus an original pool which has been decked over providing the opportunity to create a wonderful outdoor space for the whole family to enjoy. Move in or lease out whilst considering the options and enjoy the fabulous setting that is within the Wahroonga Public School catchment, close to a range of local private schools and walking distance to the bus and a choice of village shopping areas and parks close by. Accommodation Features: * High ceilings throughout, neat and tidy eat-in kitchen * Open plan formal lounge and dining rooms with fireplace * Flexible TV room, reverse cycle a/c, spacious family room * Master retreat with robes and adjoining sitting or nursery * Generous bedrooms rest near the original main bathroom External Features: * Over-sized lock up garage with storage/workshop area * Under house storage and large laundry room * Paved rear alfresco terrace, decked over pool * Established camellia trees around the home Location Benefits: * 200m to the bus * 1km to North Turramurra village hub * 1.4km to Hampden Avenue local shops and eateries * 900m to Eastern Road shops including IGA * 1.3km to Turramurra Memorial Park * 1.6km to Wahroonga Public School * Close to Turramurra station and village Contact  Matt Bolin 0417 269 023 Disclaimer: All information contained here is gathered from sources we believe reliable. We have no reason to doubt its accuracy, however we cannot guarantee it.",30,20,26,24,64,92,8,70,30,-1,-1,-1
https://www.domain.com.au/38-maxwell-street-turramurra-nsw-2074-2016307572,1585000,Sold at auction 4 Jul 2020,38 Maxwell Street Turramurra NSW 2074,Turramurra ,Free Standing Houses ,3,2,2,956,"Outstanding first homebuyer opportunity This charming single-level gem represents an exceptional introduction into a tightly held Upper North Shore pocket. Set amidst 956sqm of established private gardens on a prime level landholding, it offers astute homebuyers boundless potential to extend or rebuild to meet their family\'s needs (STCA). Currently configured with multiple living spaces, an inviting sandstone-framed wood fireplace, polished timber floors and a seamless connection to the lush gardens, the home\'s whisper quiet location is within easy walking distance to local schools, village shops and playing fields. Surrounded by prestige residences with convenient access to the area\'s elite private schools, move in now and capitalise in the future or simply enjoy the carefree lifestyle this cherished and beautifully maintained property affords.  - Rare parcel of level land first-time offered in more than 40 years  - Serenely private block with driveway access via Havelock Street cul de sac  - Light-filled open plan living, polished timber floors and garden vistas  - Open plan gas kitchen equipped with premium stainless steel appliances  - Media room/family living with glass sliders flowing to a spacious deck  - Generously sized bedrooms with built-in robes and pristine full bathroom  - Flowering year-round gardens, level lawns, multiple alfresco dining spaces  - Reverse cycle air conditioning and working fireplace in the living room  - Dual lock-up garages, rainwater tank and enclosed ultra-private gardens  - Walk to Turramurra Public and High Schools, Auluba Oval and village shops  - Tightly held family-friendly enclave close to transport, shops and schools  This property is available for private viewing, and may also advertise an open time. All necessary measures have been put in place to adhere to the recent Government regulation and to protect the health and safety of all parties. For more information please contact the listing agent.",33,21,28,18,65,90,10,62,38,-1,-1,-1
https://www.domain.com.au/12-kintore-street-wahroonga-nsw-2076-2016308762,3910000,Sold at auction 4 Jul 2020,12 Kintore Street Wahroonga NSW 2076,Wahroonga ,Free Standing Houses ,5,4,2,1416,"SOLD BY DAVID WALKER Beyond the quintessential Federation faade lies a significant home that has been partially transformed, hinting at the truly special residence that it will become. North to rear, it sprawls over an expansive 1416sqm block with a substantial second level bedroom wing, granny flat and designer pool all added. The vision was a sprawling family home with luxury undertones and a distinctive French provincial country house feel. Beautiful steel arched windows have been installed complemented by leadlight features and gorgeous traditional ornate ceilings including a domed ceiling in the formal lounge. This is an outstanding opportunity to make this home your own, in a premier east-side setting that is walking distance to the bus, rail, village and Wahroonga Public School.  Accommodation Features: * Timber floorboards, over-height ceilings with some ornate * Formal lounge with fireplace and stunning domed ceiling * Sitting or study, formal dining or TV room, powder room * Expansive open plan casual living, dining and TV area * Superb steel framed arched windows, marble topped kitchen * Island bench, Smeg gas cooktop, large butler\'s pantry * Lower level guest bedroom with ensuite, ducted a/c * Unique custom designed light finishes and central staircase * Expansive master retreat with large walk-in robe and ensuite * Clawfoot bath, marble finishes, internal access double garage External Features: * Generous covered front porch, expansive level 1416sqm block * Contemporary separate loft style granny flat with bathroom * Fully tiled pool and spa, child-friendly lawns and gardens * Covered entertainer\'s terrace, garden pavilion  * Master with rear balcony and green outlook Location Benefits: * 280m to bus services * 850m to Wahroonga Public School * 1km to Knox Grammar Prep School * 1.3km to Wahroonga station and village * 1.7km to Abbotsleigh Auction Saturday 4 July, 11am onsite  Contact David Walker 0414 184 911 Belinda Edwards 0451 672 977 Disclaimer: All information contained here is gathered from sources we believe reliable. We have no reason to doubt its accuracy, however we cannot guarantee it.",32,25,22,22,70,95,5,63,37,40 to 59,-1,"17,367"
