Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/49-beaconsfield-street-newport-nsw-2106-2016218241,8900000,Sold by private treaty 6 May 2020,49 Beaconsfield Street Newport NSW 2106,Newport ,Free Standing Houses ,7,3,7,2973,"A grand waterfront estate in the heart of Newport Melody Lane\' qualifies as one of the very few estates left on Pittwater; originally built in the 1930s when one had the choice of the finest waterfront positions, this is a residence of exceptional beauty and character; it spans a stunning 2,973sqm parcel, with an astonishing 76m of sandy beachfront and a private jetty. Retaining all the charm and glamour of the original, the home has been extensively renovated and modernised, combining grand design with premium quality inclusions throughout. Defined by soaring curved ceilings, bespoke interiors and superb indoor/outdoor integration, this spectacular home of offers both privacy and exclusivity, with fabulous entertaining areas overlooking the sandstone pool terrace and the foreshore. + Prestigious waterfront estate, gorgeous 2,973sqm in the heart of Newport + Light-soaked interiors, sweeping open design, effortless indoor/outdoor flow  + Superb functionality for the family, with study, versatile studio &amp; family room + Exquisite entertainer; beautifully landscaped gardens, lush lawns, sunlit pool + Lawns spill out to 76m of sandy beachfront + jetty for up to a 60\' vessel + Indulgent master retreat includes custom walk-in robes and designer ensuite + Brand-new kitchen equipped with integrated Wolf appliances, butlers\' pantry + Koi pond, custome joinery, ducted A/C, elegant bathrooms with heated floors + Dual fireplaces, back-to-base security, guest w/c, finished storage space + Feels worlds away, yet within a stroll of local shops, school and village",22,21,23,34,59,78,22,67,33,40 to 59,-1,"9,283"
https://www.domain.com.au/79-wallumatta-road-newport-nsw-2106-2015884228,1850000,Sold by private treaty 6 May 2020,79 Wallumatta Road Newport NSW 2106,Newport ,Free Standing Houses ,4,3,2,771.4,"Location, Easy Access and Views An all year round, sun drenched, split level, family brick home is waiting for its new family to move in, to add their own stamp while enjoying the Newport lifestyle. Perfectly suited to the growing family with multiple light filled living areas, a spacious backyard and manicured gardens including a back drop of uninterrupted views of Pittwater and natural landscapes. - 771 sqm block - Easy access - Multiple living areas; adult sunset loft room with balcony, rumpus and family room - Great location; 3 min to beach and village - Indoor and outdoor entertaining - Views from every living area, including main bedroom -Double garage (modified with an extra storage room - easily reversed),ample extra parking in driveway. - Work shop areas, wine cellar and massive under house storage - Newly renovated bathrooms -Opportunity for separate accommodation and pool -1.5 kw Solar panels, gas hot water and cooking",27,19,33,21,69,86,14,62,38,40 to 59,-1,"9,283"
https://www.domain.com.au/3-iluka-road-palm-beach-nsw-2108-2015831894,3450000,Sold by private treaty 6 May 2020,3 Iluka Road Palm Beach NSW 2108,Palm Beach ,Free Standing Houses ,4,3,2,0,"Flawless Coastal Retreat in the heart of Palm Beach *Please contact our office for a FaceTime or private inspection of this property.  Positioned directly across from Snapperman Beach, this exquisite home is a rare combination of luxurious livability and phenomenal privacy, matched with lock-and-go convenience. Set in one of the most tightly-held streets in Palm Beach, it\'s less than a five minute walk from fine restaurants, cafes and boutiques. Elegantly proportioned with a contemporary coastal design and flawless interiors, this home fully delivers on the promise of a truly effortless weekender.  Crisp, white-themed interiors are beautifully balanced by the warmth of wide-plank hardwood floors and tongue and groove panelling, with banks of bi-folding doors at both ends; the open floor plan spills out to a series of sun-washed entertaining decks, terraces, private gardens and lush lawns.  An island kitchen is the hub for family entertaining and features a full range of European appliances, thick marble benchtops and direct garden views. The upper level hosts four bedrooms, each with built-ins, French doors, louvered windows and ceiling fans; the master suite includes a private verandah, spectacular round bath and double vanity plus a generous walk-in wardrobe.  Additional highlights include a Jetmaster gas fireplace with sandstone surrounds, a large internal laundry room, dual carport and development consent for a plunge pool in the rear gardens.  Impeccably designed, this is a home that is highly functional as a full-time residence or an exceptional holiday retreat - ideal for downsizers, it\'s within an hour\'s drive of Sydney\'s CBD, yet feels as though it\'s worlds away. Agent interest",19,16,23,42,64,78,22,58,42,60+,-1,"1,586"
https://www.domain.com.au/3-rhonda-avenue-frenchs-forest-nsw-2086-2016202442,1657000,Sold prior to auction 5 May 2020,3 Rhonda Avenue Frenchs Forest NSW 2086,Frenchs Forest ,Free Standing Houses ,4,3,1,0,"SPACIOUS FAMILY HOME WITH VALLEY VIEWS AND DUAL STREET ACCESS Positioned in a quiet, yet ultra convenient location, this spacious home offers an idyllic family lifestyle just moments from OLGC school, Forestville shopping village and City/Chatswood bus transport. With a prized North Easterly aspect, valley views and dual street access, this is an opportunity not to be missed.  Bright and spacious interiors over two generous levels  Four bedrooms, study and three bathrooms   Multiple living areas ideal for growing familes  North Easterly aspect with valley views  Level and enclosed child friendly gardens  Rare dual street access with endless future potential  Double lock up garage and in ground pool  Short walk to OLGC and Forestville shopping village  Ample scope to add your won touches  Moments to City and Chatswood bus transport  Building and pest report available for purchase and download  Land size approximately 828sqm",34,18,31,18,71,90,10,69,31,40 to 59,-1,"13,481"
https://www.domain.com.au/40-coles-road-freshwater-nsw-2096-2016236007,1760000,Sold prior to auction 5 May 2020,40 Coles Road Freshwater NSW 2096,Freshwater ,Free Standing Houses ,3,1,0,645,"Immaculate Original On A Fabulous Block With Leafy Views Move straight into this pristine near original brick bungalow and express your decorative flair or explore the potential of adding a level (STCA) and further capitalising on existing leafy district vistas. Set on 645sqm of gently sloping lawns, it is super-handy to parks, schools, shops and beaches.  Rare near entry level value in one of Sydney\'s most sought-after coastal pockets  Enchanting views reach over a leaf-green valley to sunsets over a distant ridge  Elegant cement rendered facade with private sunny north verandah and lawn  Generous L-shaped living space with separate dining area and air conditioning  Large third bedroom &amp; study soak in the views, tidy near original kitchen and bathroom  Solid full brick construction, spacious bedrooms, high ceilings, timber flooring  Deep rear lawns and established gardens landscaped with palms and hibiscus   Potential for parking (STCA), underhouse workshop, storeroom and laundry  Short stroll to city and wharf buses, walk to Freshwater Village and Beach  Minutes to Warringah Mall and Manly\'s hub, ideal spot for the dream home (STCA)",40,14,28,18,65,88,12,71,29,20 to 39,-1,"8,859"
https://www.domain.com.au/33-irrubel-rd-newport-nsw-2106-2016203687,1395000,Sold prior to auction 5 May 2020,33 Irrubel Rd Newport NSW 2106,Newport ,Free Standing Houses ,2,1,2,700,"Successfully SOLD by Nick Scarf - 0411 197 486 Cute 1950\'s Cottage with a Very Bright Future Private 1 on 1 viewings available this Saturday. Call or SMS Nick on 0411 197 486 to book your 1 on 1 inspection. With its high ceilings, large picture windows and covered front veranda, could this be the smallest, cutest, circa 1950\'s cottage in Newport? Offered for the first time in more than 30 years, this near original cottage is an incredible opportunity to get into the market at land value and for sure, the future looks bright.  Surrounded by quality homes just a short easy walk to Newport Village, the school and the Pub, this property is indeed the odd one out\' - positively bursting with potential and screaming out to be improved. Key features: * Instantly appealing 1950\'s ambience * Freshly painted throughout  * High ceilings, light, bright and airy * Covered front veranda practically doubles the living area * Two bedrooms and classic, original 1950\'s bathroom * Internal laundry * Short easy walk to the village and the Pub * Off street parking for 2+ cars Contact Nick Scarf - 0411 197 486 Council Rates: $1,892.40 pa Water Rates: $716.24 pa plus usage Land Area: 700 sqm  DISCLAIMER - The information contained in this media including but not limited to any property description, drawing, plan, survey or image has been furnished to us from sources we believe to be reliable. We have not verified whether or not the information is accurate and do not have any belief one way or the other in its accuracy. We do not accept any responsibility to any person for its accuracy and do no more than pass it on. All interested parties should make their own inquiries in order to determine whether or not this information is in fact accurate. All measurements, distances, areas and time references are approximations only.",34,17,28,20,58,86,14,66,34,40 to 59,-1,"9,283"
https://www.domain.com.au/request-benelong-street-seaforth-nsw-2092-2016076175,1280000,Sold by private treaty 5 May 2020,Request# Benelong Street Seaforth NSW 2092,Seaforth ,Free Standing Houses ,3,2,1,278,"Prime investment We are presently showing this property by private appointment. This is due to the ongoing developments restricting open homes. Bookings can be organised by calling, texting or emailing the listing agents directly. Thank you for your understanding at this time. House-like in both proportion and appeal, this superbly designed townhome opens to sprawling near level north rear lawns that back onto the adjoining leafy reserve. Currently showing excellent returns with guaranteed rental income on a long lease, it presents a rare and prized opportunity to live in the heart of one of Sydneys most exclusive suburbs. * Substantial dual level residence set in a peaceful leafy pocket * Covers an impressive 278sqm on title with 128sqm of gardens  * Generous L-shaped living space with separate dining area  * Sliding glass doors open to terrace and private near level lawns * Open gas kitchen with dishwasher, casual dining open to garden  * Spacious bedrooms equipped with built-ins and ceilings fans * Main bedroom with ensuite and north deck with tranquil views * Modern bathrooms, main with shower and tub, powder room  * Footsteps to the primary school, short stroll to parks and city buses * Walking distance to the village, minutes to beaches and the city * Lock-up garage, giant aluminium storage shed, high ceilings * Solid investment with $825pw return! Long term tenant already in place  * This property is for sale on behalf of a Defence Housing Australia lessor and has a Defence Housing Australia lease in place until 15/01/23. Visit dha.gov.au to learn the benefits of investing in a Defence Housing Australia property. Council: $1,286pa approx Water: $718pa approx Strata: $1,312pq approx",38,18,33,11,62,60,40,65,35,40 to 59,-1,"7,133"
https://www.domain.com.au/10-61-old-barrenjoey-road-avalon-beach-nsw-2107-2016106100,1215000,Sold by private treaty 4 May 2020,10/61 Old Barrenjoey Road Avalon Beach NSW 2107,Avalon Beach ,Free Standing Houses ,3,1,1,0,"Sold in 3 Days for Block Record Set beside the park grounds in Avalon village and mere steps to the white sands of Avalon Beach, this unit is a must see for families, investors and downsizers. Gated for privacy &amp; security the generous bedrooms all have built-ins and views over the park next door. Set back away from the main road it is one of only 12 in a coveted block.",19,15,18,48,51,78,22,51,49,40 to 59,-1,"9,906"
https://www.domain.com.au/63-gardere-avenue-curl-curl-nsw-2096-2016187859,2875000,Sold by private treaty 4 May 2020,63 Gardere Avenue Curl Curl NSW 2096,Curl Curl ,Free Standing Houses ,4,3,2,455,"A Family Entertaining Sanctuary By Qualified Appt - SMS or Call only Private and peaceful surrounded by established and manicured gardens, this just feels like home.  Security entry and fully fenced, the home provides a naturally flowing floor plan always leading to entertainment areas. Modern and renovated with two lounge rooms you can enjoy the superior location accessing Freshwater Village and a simple stroll to Curl Curl beach. * Four bedrooms, inclusive of parental quarters is just perfect * Timber floors throughout the living areas, classic white plantation shutters  * Modern kitchen with pantry adjoining a separate dining room * The second living room acts as a multi-room with built-in study, custom joinery, TV room and or guest fourth bedroom with double opening doors  * A well placed third bathroom for guests and kids neighbours the laundry * A spacious master bedroom upstairs with elegant full bathroom and private covered balcony overlooking the pool, Northern reserves and district vistas, and importantly ocean views to the North East * Solar heated inground swimming pool with custom bench seating * The pice de rsistance being the built-in gas BBQ and pizza oven for those balmy summer nights with family and friends * The family lounge offers a warming fireplace and is accompanied by collapsible concertina doors flowing to a covered alfresco space. A wonderful family home situated at the end of a cul-de-sac and reserve, peace and quiet, with the other end of the road leading to the golden sands of Curl Curl beach and off leash dog heaven. The tick boxes indicate a green light for any home buyer alike.  Additional Features: * Classic white Travertine pavers and pool coping  * Solar heated pool * Built-in pizza oven and BBQ * Storage shed * Laundry with separate toilet and shower * Ample storage cupboards * Main lounge room with fire place * Gas cooktop * Classique canopy rangehood * Kitchen with walk in pantry * Ceiling fans in all bedrooms * Guest/media/games room plus study with wall mounted air conditioning  * Extendable sunshade manual awning above alfresco patio * 5 minutes walk to the beach * 2 minutes walk to Harbord Public School",37,18,31,14,69,80,20,67,33,40 to 59,-1,"2,419"
https://www.domain.com.au/4a-willunga-crescent-forestville-nsw-2087-2016215176,1405000,Sold by private treaty 4 May 2020,4a Willunga Crescent Forestville NSW 2087,Forestville ,Free Standing Houses ,3,2,1,336,"MODERN, LOW MAINTENANCE LIVING Viewings Via Private Appointment - Please contact Sam Kearney on 0451 299 918 or Sam Pfafflin on 0403 481 004 to arrange an inspection Situated in a whisper quiet street and just a short walk to City/Chatswood bus transportation, as well as local cafes, this immaculate family home offers a rare opportunity for young families, investors and downsizers. * Spacious lounge room flowing to kitchen and casual dining area * Master bedroom with garden outlook and ensuite bathroom * Rare, low maintenance, free-standing house * Incredibly well maintained interiors with ducted air-conditioning throughout * Immaculate gas kitchen overlooking covered entertaining courtyard * Single lock-up garage with loft storage space * Walking distance to City/Chatswood bus transportation and Arthur Street cafes * Short drive to the new Northern Beaches Hospital * Land size approximately 336sqm",27,17,27,29,69,45,55,50,50,-1,-1,-1
