Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/82-journal-street-nowra-nsw-2541-2016488522,375000,Sold by private treaty 9 Oct 2020,82 Journal Street Nowra NSW 2541,Nowra ,Free Standing Houses ,3,1,1,651.29,a lucky find just moments to Nowra CBD with a homely feeling throughout  new kitchen &amp; bathroom freshly paint with new flooring light filled living with rc/ac,29,23,20,28,70,49,51,47,53,60+,-1,"9,183"
https://www.domain.com.au/123-kinghorne-street-nowra-nsw-2541-2016433033,520000,Sold by private treaty 1 Oct 2020,123 Kinghorne Street Nowra NSW 2541,Nowra ,Free Standing Houses ,4,2,2,873,"LOCATION LOCATION This solid home is all about location and convenience just four blocks from the main street of Nowra, within a short walk to local shopping, restaurants, parks, hospital, schools and more.  Featuring polished timber floors with high ceilings throughout this double brick construction has some highlights of yesteryear.  Loads of living with the spacious lounge room, feature fireplace plus a sunken family room. There are four double bedrooms all with built in robes. The master bedroom boasts an ensuite plus a small office. The dining area flows off the kitchen and leads out to the huge undercover entertaining area, perfect for alfresco dining anytime of year. The home is complimented with an in ground salt water pool along with a detached double garage and a 6 x 3 metre workshop. For more information please contact Rachel Lea on 0417493703, this desirable residence is waiting your inspection.",22,30,23,25,60,70,30,53,47,60+,-1,"9,183"
https://www.domain.com.au/76-riverview-road-nowra-nsw-2541-2016325247,620000,Sold by private treaty 29 Sep 2020,76 Riverview Road Nowra NSW 2541,Nowra ,Free Standing Houses ,4,2,2,683,"Relax on Riverview This is not your average home - with a great location, street appeal, private courtyards, in ground pool, a luxurious master suite and so much more! The home has been renovated to be both visually pleasing and functional, with new flooring, appliances, reverse cycle air-conditioning and much more! - 4 well proportioned bedrooms including large master suite with walk in robe and modern ensuite Large light filled living room with floor to ceiling windows both east and west facing Functional kitchen/dining featuring upgraded appliances and walk in pantry Private courtyard at front of home Private and low maintenance backyard with in-ground pool Reverse cycle air-conditioning Double garage Located just moments from the banks of the Shoalhaven River and only a short distance to the heart of the CBD, this beautiful home offers the resort feel in a great, convenient location.  For additional information or to inspect the property, please don\'t hesitate to call Luke Tancred on 0435 283 299 or Jacqui Crapp on 0429 104 011.",19,23,26,32,52,67,33,51,49,60+,-1,"9,183"
https://www.domain.com.au/50-shoalhaven-street-nowra-nsw-2541-2016516664,660000,Sold by private treaty 26 Sep 2020,50 shoalhaven Street Nowra NSW 2541,Nowra ,Free Standing Houses ,4,2,1,1239,"Central Nowra Home Set close to the CBD this family sized home offers a variety of uses . Inside the home has  four large bedrooms plus a study  10ft ornate ceilings polished timber floors  A near new kitchen with stainless steel appliances and granite benches.  The light filled living area leads out to a large covered entertaining area overlooking the large 1,200 sq.m lot. The huge backyard offers heaps of options, a great place for backyard test cricket , add a pool alternatively develop the land further S.T.C.A.  Set opposite a park and close the hospital, local river and CBD this home will be popular, call the selling agent today for your own inspection.",18,14,27,41,54,44,56,42,58,60+,26 September,"9,183"
https://www.domain.com.au/18-warrigal-street-nowra-nsw-2541-2016457785,540000,Sold by private treaty 21 Sep 2020,18 Warrigal Street Nowra NSW 2541,Nowra ,Free Standing Houses ,4,2,2,633,"This could be your new home !!!! This 4 bedroom beautiful home is a must see! This property is perfect for retirees, investors or families. Equipped with an outdoor entertaining area for those summer BBQS. Easy to maintain lawns, swim spa and all the creature comforts. This property is ready to move into straight away. In the sought after suburb of Worrigee this property really is something special.  Inclusions 4 Bedrooms En-suite Formal Lounge Air-Con Swim spa Double garage 12 Solar panels Shed",26,23,22,29,40,67,33,62,38,60+,-1,"9,183"
https://www.domain.com.au/155-wallace-street-nowra-nsw-2541-2016500012,360000,Sold by private treaty 17 Sep 2020,155 Wallace Street Nowra NSW 2541,Nowra ,Free Standing Houses ,2,1,0,927,]',18,21,21,40,49,44,56,47,53,60+,-1,"9,183"
https://www.domain.com.au/2-ryan-avenue-nowra-nsw-2541-2016172960,443000,Sold by private treaty 16 Sep 2020,2 Ryan Avenue Nowra NSW 2541,Nowra ,Free Standing Houses ,4,2,1,727,"Impressive inside and out - Renovated CBD home Open plan living 4-bedrooms - three with built ins, master with large walk in robe Huge rear entertaining deck 727m2 block with side access to a level backyard Detached studio for work from home opportunity, study, or extra storage If you\'re looking for a home in a great location, be sure to inspect this one as it will go fast!  AGENT DISCLOSES INTEREST",22,24,30,23,52,29,71,36,64,60+,-1,"9,183"
https://www.domain.com.au/52-riverview-road-nowra-nsw-2541-2016422107,657000,Sold by private treaty 14 Sep 2020,52 Riverview Road Nowra NSW 2541,Nowra ,Free Standing Houses ,3,1,1,790,"Best Spot In Town Here is a beautiful opportunity to get a property on arguably the best street in Nowra. This single storey brick home does have water views if you are tall enough!  52 Riverview Road is located on a 790m2 approx block of land with a spacious backyard. All three bedrooms have built in wardrobes while the main looks across to the riverfront reserve. There are three living areas which include the sun drenched formal lounge and dining plus the large family room at the back. Other features include reverse cycle air conditioning for climate control, second toilet in the laundry, workshop space behind the single garage &amp; a garden shed.  For water enthusiasts you have the Boat Ramp at Wharf Road literally down the road, so if you are into fishing, kayaking, wake boarding or water skiing then this is an ideal location for you. Call Jared Cochrane on 0404 210 824 for an inspection.",19,23,26,32,52,67,33,51,49,60+,-1,"9,183"
https://www.domain.com.au/25-jervis-street-nowra-nsw-2541-2016016903,570000,Sold by private treaty 14 Sep 2020,25 Jervis Street Nowra NSW 2541,Nowra ,Free Standing Houses ,3,1,3,696,"READY TO PLEASE This amazing property is impeccably maintained and ready to please. From the moment you walk through the door, you notice the polished floor boards and the open plan living which flows through to the outdoor entertainment deck. The kitchen is also well designed and offers a servery to your rear deck, where you can sit relax and enjoy everything that this home has to offer, with your family and friends. With modern appliances and plenty of storage room, this is the ideal home for buyers who know quality , and looking for the life style, that a home in Central Nowra offers. We do not expect this home to last long so do yourself a favour and call now as tomorrow maybe too late  696m2 block of land  3 spacious bedrooms  Polished timber floors Plantation shutters  2 toilets and plenty of storage  Modern kitchen",22,27,27,23,64,64,36,56,44,60+,-1,"9,183"
https://www.domain.com.au/133-osborne-street-nowra-nsw-2541-2016475907,682000,Sold by private treaty 14 Sep 2020,133 Osborne Street Nowra NSW 2541,Nowra ,Free Standing Houses ,4,2,2,607,"Central Nowra Entertainer 133 Osborne Street has brilliant street appeal and conveniently located only a couple of blocks from Nowra\'s CBD. This four bedroom brick home has been beautifully updated in recent years. All three upstairs bedrooms have wardrobes while the main also has an en-suite. The main bathroom and the kitchen have recently been renovated. Downstairs you have the fourth bedroom, rumpus room, abundance of under house storage and an oversized double garage with auto door. The sun drenched formal lounge and dining open off the kitchen and out onto the huge undercover area, an entertainers delight. Beyond the entertainment area lies the recent addition of an inground heated pool and private courtyard with a fire pit. This space will be awesome in the coming warmer months.  Added extras are polished timber floors, ducted reverse cycle air conditioning, side access for a trailer or small vehicle, solar panels and cubby house for kids. This quality Central Nowra property is a must to inspect so call Jared Cochrane on 0404 210 824 or Benji Ward on 0422 492 010 for an inspection.",26,22,25,27,56,59,41,38,62,60+,-1,"9,183"
