Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/84a-east-crescent-culburra-beach-nsw-2540-2016194333,1275000,Sold by private treaty 11 Aug 2020,84A East Crescent Culburra Beach NSW 2540,Culburra Beach ,Free Standing Houses ,5,4,4,874,"Outstanding Residence with Separate Granny Flat It\'s not often we see an architecturally designed masterpiece such as this, come to market. Outstanding in position, design, features and construction.....you won\'t find another home like it.  This unique home is a two story design and will accommodate the largest of families. The entry is light, airy and provides access to the large, double garage that has plenty of extra storage space. Head up stairs and arrive in the spacious and open plan lounge room, boasting picturesque views of Lake Wollumboola, park land and the ocean. Step out onto the South West facing balcony and enjoy the serene surroundings. Main bedroom with walk in robe and ensuite also sits at the front of the home taking in the view. Galley style kitchen with ample cupboard space, dishwasher and pendant lighting. Move through to the sun filled, North facing end of the house with dining room and a separate lounge room that could be used as another bedroom. Step out onto the North East facing balcony to enjoy the sunshine and the sound of the waves. High ceilings throughout upstairs, large windows and timber flooring give the home a bright and airy feel. Down stairs is a 2 bedroom flat, completely separate with its own parking bay. It has a neat and tidy kitchen, open plan dining and living space, tiled throughout and built in robes.  Set on a 870sqm block located directly across from Lake Wollumboolla. With Warrain Beach merely 150 meters away this is an ideal family holiday home, beach side residence or investment property with the potential to use the home and rent out the granny flat.",22,18,26,35,63,81,19,64,36,60+,-1,"2,882"
https://www.domain.com.au/17-aney-street-lake-conjola-nsw-2539-2014211503,835000,Sold by private treaty 11 Aug 2020,17 Aney Street Lake Conjola NSW 2539,Lake Conjola ,Free Standing Houses ,3,2,1,686,"Absolute Waterfront Living Surround yourself with nature in this serene piece of paradise, a truly unique opportunity to slip straight into the laid-back lifestyle this property offers. Positioned on a beautifully maintained 686 sqm, the immaculate home presents extremely comfortable living with a tranquil outlook over the canal to the trees.  Entertain on the stylish covered alfresco deck by the water\'s edge, throw a line in off your jetty or just sit and watch fish jumping, ducks swimming and kangaroos feeding. Launch your boat from your private slipway and hit the lake for a fish, ski or a leisurely cruise along the extensive waterways of Lake Conjola. And if you want even more, find the shops, caf, bowling club and beach all within a short stroll from the front door. Additional features: Master bedroom with generous built-ins and ensuite Two additional double bedrooms with built-ins Main bathroom with relaxing spa bath, perfect for chilly winter nights Two living areas divided by a brilliant atrium Reverse cycle air-conditioning, ceiling fans, gas heating and solar hot water Tandem garage with roller door access to backyard The vendors are motivated so enquire today, this dream could become your reality.",12,8,23,57,69,81,19,68,32,60+,-1,439
https://www.domain.com.au/29-devlin-avenue-north-nowra-nsw-2541-2016329462,450000,Sold by private treaty 11 Aug 2020,29 Devlin Avenue North Nowra NSW 2541,North Nowra ,Free Standing Houses ,3,1,1,651,"A wonderful opportunity for first home buyers, those looking to downsize or investors. Occupying a 651m2 block and situated in a quiet cul-de-sac this freestanding home has been partially renovated internally for maximum appeal. Equipped with family lounge, dining and a stylish kitchen complete with centre island bench and 3 ample bedrooms. In an ideal setting, only a short drive to Illaroo Road Public School, Local shops, Medical services and Bushwalks along the banks of the Shoalhaven River - Three ample sized bedrooms - Quality kitchen boasts a dishwasher, and generous storage - 3 way bathroom with shower &amp; bath - Single detached garage - Large timber deck for year round entertaining - Side access to the rear yard and garage - Pet-friendly fully fenced rear yard - Easy to maintain gardens - Vibrant convenience to all local amenities such as North Nowra Medical Centre, North Nowra shops, Illaroo Road Public School and The Grotto walking track To arrange an inspection contact the selling agent at Professionals Real Estate Nowra on 4421 2644",28,26,24,22,56,80,20,63,37,60+,-1,"5,788"
https://www.domain.com.au/70a-st-anns-street-nowra-nsw-2541-2016381984,510000,Sold by private treaty 11 Aug 2020,70a St Anns Street Nowra NSW 2541,Nowra ,Free Standing Houses ,3,2,1,0,"MODERN, EASY CARE LIFESTYLE This as new 4-year-old home was built by a local builder and designed for easy care, comfortable living. With quality fixtures through out and an easy flow floor plan, you will be impressed with all the extra features added. Accommodation: 3 bedrooms, all with built in wardrobes, main with ensuite, 2 separate living areas at the front and back of the home, modern light filled kitchen with pantry &amp; dishwasher, spacious main bathroom, internal laundry with ample amount of storage and a single remote garage with internal access. Features: There have been a lot of added features including beautiful polished timber hardwood floors, ducted air, covered alfresco area &amp; patio blinds, carport, solar hot water &amp; 6 x solar panels on roof, caesarstone stone benchtops in kitchen, electric wall oven &amp; cook top, heated towel rack in main bathroom, light dimers, sensor light, ceiling fans, established garden &amp; garden shed. Location: Perfectly positioned within close proximity to Nowras CBD, everything you need is only minutes away. Located at the back of a battle axe block, it gives you a little more privacy. This home would be great for buyers looking to downsize, first home buyers or an investor wanting something new that you could move a tenant straight into.  Disclaimer: Berry Real Estate &amp; Properties PTY LTD, trading as One Agency Elite Property Group, it\'s directors, agents, employees, officers and those otherwise associated with maintaining the information contained herein is provided by third parties. The information contained on each individual property has been gathered from the vendor or landlord of the property. We cannot verify or guarantee its accuracy either way. Prospective purchasers or tenants must rely on their own inquiries and should verify the accuracy of information before proceeding with a purchase or lease.",22,24,30,23,52,29,71,36,64,-1,-1,-1
https://www.domain.com.au/42-royal-mantle-drive-ulladulla-nsw-2539-2016350996,700000,Sold by private treaty 11 Aug 2020,42 Royal Mantle Drive Ulladulla NSW 2539,Ulladulla ,Free Standing Houses ,4,3,2,896,"A FEEL GOOD FAMILY HOME AMONGST LEAFY SERENITY Offering a unique opportunity for the astute investor or owner occupier, this home enjoys a peaceful position moments from all of ULLADULLA\'s conveniences. Opening to capture a leafy outlook over adjoining reserves and bathed in morning light that filters through the treetops, this is a home of wide appeal. Offering an abundance of space, quality and comfort, this family home meets the practical needs of the large modern family. Rear side access is a huge plus allowing you to accommodate your car, trailer, boat or caravan safely out the back and the double garage is remotely controlled for extra convenience.  A strong visible connection to the backyard is made possible through two banks of sliding glass doors that merge the living room and outdoor area. There are 4 generous bedrooms, newly carpeted, painted, all with built in wardrobes and ducted AC units plus the added bonus of a downstairs teenagers or parents retreat. The spacious bathroom features a bath, shower and separate toilet and the walk-through kitchen boasts a dishwasher, stainless steel appliances and plenty of storage.  - Moments from schools, transport, shopping, parkland, restaurants, cafes, beach. Situated on a gently sloping 896sqm block. Solid brick construction, easy-care tile and carpeted floors. A fresh open layout enjoying a bright north easterly aspect. Spacious tiled living spaces with bonus study. Stunning gourmet kitchen with loads of deep drawers and top-line appliances. Bright and private master suite including fully tiled en-suite. With schools, hospitals, shopping and dining precincts, parks and public transport all on your doorstep, it is easy to see why buyers are looking here for the combination of location and convenience. This split level home is made for low maintenance and comfortable living, so you can just move straight in. Impressive private master suite including a dressing area with built-ins and a large ensuite with separate toilet. This brick home is move in ready, with all the modern features you desire.  This is a great opportunity to get into the ULLADULLA market. Inspect, fall in love, make your offer and own! This one won\'t last long. Call Joel on 0402 550 693 to view today. Disclaimer:  We have obtained all this information from sources we believe to be reliable; however we cannot guarantee its accuracy. Prospective purchasers are advised to carry out their own investigations where possible.  COVID-19: Guidelines for your safety - Property inspections are now happening. Open homes have commenced with physical distancing requirements to be met.",28,19,22,32,59,76,24,68,32,60+,-1,"6,618"
https://www.domain.com.au/14-mcnamara-court-vincentia-nsw-2540-2016410577,830000,Sold by private treaty 11 Aug 2020,14 McNamara Court Vincentia NSW 2540,Vincentia ,Free Standing Houses ,4,2,2,695,"Location &amp; Lifestyle!!! A rare opportunity to acquire such a well established property in one of the quietest locations in VINCENTIA, yet one of the most convenient. The home has been in the same family for many years and has been well cared for and now is it\'s time for a new owner and whether you are looking at a Sea Change, a New Family home, an investment or Holiday home you will not be disappointed. A very solid brick home situated on a fully fenced 695m2 block Flowing lounge and dining areas flooded with natural light  Parquetry flooring throughout the upstairs living area  Large upstairs entertainers deck over looking the reserve  A well appointed kitchen with a walk-in pantry  4 good sized bedrooms with built-in wardrobes Main bedroom with ensuite and huge built-in wardrobe  Ample storage, including cellar area and air conditioning Double garage with internal access  And all located in a peaceful cul-de-sac opposite a reserve and within a very easy walk to Blue waters and sandy beaches of Jervis Bay and a short drive to the shopping centres of Vincentia and the Cafes, Pub and Restaurants of Huskisson. The location alone is worthy of an inspection and will not last so do not delay in organising a time to see this fantastic property.",19,19,22,40,62,70,30,58,42,60+,-1,"3,302"
https://www.domain.com.au/49-wattle-street-fishermans-paradise-nsw-2539-2016406338,515000,Sold by private treaty 10 Aug 2020,49 Wattle Street Fishermans Paradise NSW 2539,Fishermans Paradise ,Free Standing Houses ,3,1,3,696,"Come home to paradise This light-filled, airy and comfortable home has been beautifully maintained and updated, there is nothing more to do other than move on in. Surrounded by flowering trees and native plants, the birdlife adds to the serenity. The wrap around verandah offers privacy and an elevated leafy view from all angles. The kitchen has been recently updated and features stainless steel appliances including gas cooktop, electric oven, range hood and dishwasher that flows onto a large open plan living area with R/C air conditioner, remote controlled ceiling fans and gas outlet points. This area also opens onto a large covered outdoor alfresco area with ceiling fan and gas outlet point, perfect for your BBQ entertaining. There are three comfortable bedrooms, two with built-ins and the main opens onto the east facing deck for that perfect morning cuppa.  The main bathroom has separate shower and bath and a second toilet is conveniently located in the laundry. A large double garage, with work bench, plus carport sits at the rear of the property, accessed by a good concrete driveway and turning area. There is additional room here for a boat or trailer. The home has had a lot of recent upgrading including re-painting, ceiling fans and LED lighting throughout, new carpet in the bedrooms, an alarm system, quality gutter guards and a 6.6kw Solar Power back-to-grid generation system making the home very energy efficient. Approximately 200m walk to the boat ramp and pontoon, you can enjoy the waterways of Lake Conjola easily for fishing, boating or kayaking.  Milton and Ulladulla are only a short drive away, yet Fishermans Paradise remains one of the Shoalhaven\'s secret hideaway gems. It\'s close to numerous beaches, lakes and National Parks. The perfect place to raise a family, retire to or use as a getaway from the hustle and bustle. Definitely worth your inspection and consideration. Call Jemma today on 0499 555 843.",21,14,29,35,61,83,17,61,39,60+,-1,454
https://www.domain.com.au/7-allora-close-woollamia-nsw-2540-2016394877,780000,Sold by private treaty 10 Aug 2020,7 Allora Close Woollamia NSW 2540,Woollamia ,Free Standing Houses ,3,2,2,4001,"An Acre of Space Presented by Able Walsh (0402 299 309) and Kevin Johnston (0423 381 461) of Integrity Real Estate Jervis Bay and St Georges Basin. This property is what dreams are made of, a complete blank canvas with endless opportunities just 200m to Currambene Creek, 5 minutes to Huskisson and all with your own acre of space. At 4000m2 of level, mostly cleared and usable land there is space to make what you want of this one, a big shed, a pool, a bike track, some animals or all of the above if you choose.  The house is original yet immaculate in condition with ample space all around. All of the bedrooms have built in wardrobes, the internal bathroom is a 3 way bathroom whilst there is a second bathroom in the garage (something that could easily be updated into a big 4th bedroom with parents retreat). The main living area is huge with glass sliding doors both front and back meaning the space is light, open and airy. The kitchen is big and has a dining area adjoining and partially open to the main living area also. There is a front patio and back porch and its all waiting for you. There is an oversize garage come workshop, the property is fully fenced, town water is connected and its all waiting for you. - 4000m2 of level &amp; usable land Just 200m to Currambene Creek Just 5 minutes to Huskisson A complete blank canvas A house with lots of space Oversize garage/workshop All waiting for you",25,15,30,30,70,90,10,61,39,60+,-1,568
https://www.domain.com.au/27-garside-road-mollymook-beach-nsw-2539-2016423606,789000,Sold by private treaty 8 Aug 2020,27 Garside Road Mollymook Beach NSW 2539,Mollymook Beach ,Free Standing Houses ,3,2,1,715,"UNIQUE BEACHSIDE HOME Surprisingly good ocean and coastline views and a sunny northerly aspect combine to create a cosy and comfortable beachside home. The spacious upper living area with Cypress timber flooring offers views to the leafy reserve, over the mature garden with ornamental trees and to cap off the panorama, northern and eastern views back to the coast. 3 Bedrooms and renovated modern bathroom are all on the upper level with a great outlook and are perfectly located for capturing the north-east summer breeze. The lower tiled living area is cool in Summer and includes a modern new kitchen with Caesarstone bench tops and huge walk-in pantry plus a bathroom/ laundry, walk-in linen closet and single garage with drive through access to the back yard. Fabulous garden spaces can be used for entertaining and there is even a loo out the back. Only 500 metres via stairs to Mollymook Beach and close to restaurants, shops, Bowling &amp; Golf Clubs. Loads of character, this charming home has a relaxed ambience and a great location. * Solar power - 7 Panels * Reverse cycle air conditioning * Backing onto reserve * Walking distance to Mollymook Beach",13,14,19,54,64,74,26,72,28,60+,-1,"2,459"
https://www.domain.com.au/38-gardenia-place-bomaderry-nsw-2541-2016318328,550000,Sold by private treaty 7 Aug 2020,38 Gardenia Place Bomaderry NSW 2541,Bomaderry ,Free Standing Houses ,4,2,2,777,"A Family sized home in sparkling, like new condition. Possibly the best location in town. With quiet tree lined streets, a beautiful mountain backdrop and safe for young and older alike.  4 bedrooms all with built in wardrobes  Master bedroom with ensuite  2 distinct living areas  Large outdoor covered entertaining area Many extras and additions including, 3 reverse cycle air conditioners, ceiling fans, security screens and a double garage with automatic doors. The vehicle accessible rear yard is spacious and secure. With new paintwork and carpets throughout, it looks, feels, and smells like new! This is a quality residence to call home. To arrange your inspection, contact the selling agent Professional Real Estate Nowra. You will not be disappointed.",35,22,22,22,43,82,18,72,28,60+,-1,"6,665"
