Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/65-wallis-avenue-strathfield-nsw-2135-2014592441,4650000,Sold by private treaty 20 Aug 2018,65 Wallis Avenue Strathfield NSW 2135,Strathfield ,Free Standing Houses ,4,3,2,613,"SOLD OFF MARKET - Bespoke luxury masterpiece by JPH Urban From the finest finishes to the dramatic sculptural form, this stunning masterpiece is a one-of-kind jewel conceived by JPH Urban. This bespoke luxury home infuses commercial grade concrete &amp; galleries of glass to reveal a multitude of lavish living zones that adapt the modernist family needs.  Every room engages the outdoors opening to central courtyards or professionally landscaped gardens. Set on a large 613sqm parcel, this home promises a resort lifestyle within a convenient setting.  For more information or details on upcoming on/off market opportunities, please contact Norman So or Michael Ma from Belle Property Strathfield.  Builder: www.jphurban.com.au",23,26,28,23,71,95,5,60,40,20 to 39,-1,"25,803"
https://www.domain.com.au/1-myee-ave-strathfield-nsw-2135-2014570292,2800000,Sold by private treaty 14 Aug 2018,1 Myee Ave Strathfield NSW 2135,Strathfield ,Free Standing Houses ,4,2,2,765,"GONE | TARUN SETHI &amp; REECE THEEDAM $2.8m Bali inspired oasis on large 765sqm block Excelling in space, versatility and privacy, this wonderfully appointed home reveals multiple indoor and outdoor retreats. It spans across a substantial block of 765sqm that is peacefully placed within moments from shops, schools and transport.",27,27,26,21,69,85,15,59,41,20 to 39,-1,"25,803"
https://www.domain.com.au/88-broughton-rd-strathfield-nsw-2135-2014570256,2920000,Sold by private treaty 14 Aug 2018,88 Broughton Rd Strathfield NSW 2135,Strathfield ,Free Standing Houses ,7,4,4,789,"GONE | TARUN SETHI &amp; REECE THEEDAM  $2.92m Occupying a prized 789sqm corner block is this recently refurbished and charming English Tudor home. Embodying a winning blend of character and functionally this home presents the perfect opportunity for the growing family. Ideally located within close proximity to all amenities and Strathfields finest schools. - Self-contained three bedroom upper level with private entry - Lower level has three double bedrooms plus a home office - Travertine entertainers\' terrace and salt water pool - Stylish CaesarStone Jarrah kitchens, one with gourmet Ilve fittings - Designer spa bathrooms plus outdoor shower/powder room - Child-friendly home in a sought-after convenient location - Superb potential, move straight in or add further value - Elegant timber detailing, attic storage space, air conditioning - Double lock-up garage plus off street parking, two laundries - Walking distance to both Strathfield and Homebush amenities",22,25,22,30,74,89,11,54,46,20 to 39,-1,"25,803"
https://www.domain.com.au/7-pemberton-street-strathfield-nsw-2135-2014188074,2550000,Sold by private treaty 12 Aug 2018,7 Pemberton Street Strathfield NSW 2135,Strathfield ,Free Standing Houses ,5,2,2,992,"Ideal Family Home That Offers Everything We are proud to offer you this 5 bedroom brick home on a large 992sqm block. Located in a prime and sought after area only a short walk to public transport, St Patricks College, Australian Catholic University and public school. This ideal family home ticks all the boxes. Filled with natural light, large living areas and a practical floor plan plus automatic shutters on windows for extra security. Your ideal family home search may finally be over. Potential granny flat site (Subject to Council approval). Perfect for large family and great investment opportunity for dual income.  Downstairs * Spacious formal lounge with a fire place  * Large modern gas kitchen with stone bench tops and ample cupboard space * Formal and casual dining areas * Single garage with internal access. Internal laundry and separate toilet * Ample off street car spaces * Huge undercover entertaining area and sunroom  * Massive landscaped backyard perfect for entertaining * Potential 2 bedrooms or study and media room Upstairs * 3 generous bedrooms all with built-in robe, main with walk-in robe, en-suite and balcony * Third spacious sitting room  * Modern bathroom with separate shower and bath plus double sink This truly an ideal family home in a great location, don\'t miss out come inspect. Genuine sale, must be sold. Call now for more information.",17,27,30,26,72,90,10,59,41,20 to 39,-1,"25,803"
https://www.domain.com.au/17-glenarvon-street-strathfield-nsw-2135-2014456004,3435000,Sold by private treaty 7 Aug 2018,17 Glenarvon Street Strathfield NSW 2135,Strathfield ,Free Standing Houses ,6,4,2,619.7,"Motivated Seller Says Sell! Located in a quiet, tree-lined street close to all of Strathfields amenities, discover this modern, contemporary full brick residence sitting on 619.7sqm of land, ready for your family to simply move in and enjoy.  Upon entry, be greeted by the beautiful architectural design allowing an abundance of light to flow through your open plan living areas. The lower level also offers a formal lounge, sixth bedroom or study with ensuite, and a gourmet kitchen with state of the art European appliances and Caesar stone benchtops.  Proceed to the upper level, where you will discover an additional five bedrooms, including the master which showcases an ensuite, and another full bathroom.  Retreat to the sunny North facing backyard where you will find an entertainers dream, with an undercover alfresco area for your weekend BBQs overlooking your sparkling in ground swimming pool. Additional features include ducted air conditioning, large voids from the top floor allowing an array of sunlight through, automatic blinds, CCTV throughout the home and a double lock-up garage. Heres the dream home youve been waiting for! Land Size: 619.7 sqm. (approx.)",23,26,26,24,76,93,7,60,40,20 to 39,-1,"25,803"
https://www.domain.com.au/72-myrna-road-strathfield-nsw-2135-2014464096,2120000,Sold at auction 4 Aug 2018,72 Myrna Road Strathfield NSW 2135,Strathfield ,Free Standing Houses ,3,2,2,730,"Live Now, Build Later - Price Guide: $2m to $2.2m Surrounded by some of Strathfields finest homes, come and discover this very comfortable 3 bedroom home offering 2 bathrooms, open plan living areas and a massive billiard/family room over looking your sparkling in ground pool together with garage and carport. Situated near Strathfield Golf Club and opposite a leafy park all set on an impressive 730 sqm block and with a retiring vendor keen to meet the market, tremendous value is assured.",,,,,[,80,20,56,44,20 to 39,-1,"25,803"
https://www.domain.com.au/46-churchill-avenue-strathfield-nsw-2135-2014422773,2095000,Sold at auction 14 Jul 2018,46 CHURCHILL AVENUE Strathfield NSW 2135,Strathfield ,Free Standing Houses ,3,2,1,436,"SOLD AT AUCTION Only a very short walk to Strathfield Train Station, Bus stops, Strathfield Plaza, shops, schools, cafes &amp; restaurants is this extremely well presented brick home. Featuring:  * 3 double bedrooms, each with built in wardrobe; * Quality gas kitchen with stainless steel appliances &amp; stone bench top; * Freestanding falcon oven &amp; cook top; * High feature ceilings; * Separate lounge, dining &amp; family rooms; * Timber fire place, air conditioning &amp; gas heating; * Tiled high quality main bathroom plus second bathroom &amp; laundry; * Undercover entertainment area; * Off street parking space; * Meticulously landscaped gardens; * Low maintenance living; * A most convenient &amp; sought after location; * A unique property not in the Churchill Avenue heritage conservation area.",18,46,19,17,54,51,49,44,56,20 to 39,-1,"25,803"
https://www.domain.com.au/1-43-mackenzie-street-strathfield-nsw-2135-2014307703,2280000,Sold by private treaty 9 Jul 2018,"1, 43 Mackenzie Street Strathfield NSW 2135",Strathfield ,Free Standing Houses ,4,3,2,399,"Sold - David Pisano 0408 835 606 Brand New Low Maintenance Designer Home Superbly spacious and exceptionally finished with quality fixtures throughout, this deluxe two-storey freestanding town home presents a sophisticated lifestyle option and occupies a sun soaked front garden setting in a boutique development with a wide and welcoming street presence. Combining glass, space and light to offer an effortless in/outdoor lifestyle, it is conveniently located within moments to local elite schools, Strathfield centre and transportation links and is undoubtedly one of the best value properties in the area. * Architecturally designed with refined interiors and high end finishes throughout * Flexible oversized floor plan boasts multiple distinct living areas on each level * Four double bedrooms with built-in robes, two with ensuites and master with walk in * Massive open plan lounge/dining/family room flows to outdoor living and gardens * Sleek stone kitchen with breakfast bar, gas cooking and premium Miele appliances * Three lavish hotel style bathrooms plus additional guest powder room/toilet * Outdoor living with low maintenance yard framed by established landscaped gardens * Zoned ducted air conditioning, alarm system, high ceilings and LED down lights throughout * Double lock up garage enjoys automatic entry and side access direct to yard * Low maintenance lifestyle without compromise on space, 399sqm on title with street frontage Details: David Pisano - 0408 835 606",23,36,28,13,73,88,12,54,46,20 to 39,-1,"25,803"
https://www.domain.com.au/121-albert-road-strathfield-nsw-2135-2014437027,3880000,Sold at auction 7 Jul 2018,121 Albert Road Strathfield NSW 2135,Strathfield ,Free Standing Houses ,6,5,4,1075,"Full brick excellence on substantial 1075sqm north facing block A wonderful prestigious position sets the scene for this elegant north facing home, custom built for the growing family. Its exceptionally spacious floor plan flows across two floors with multiple living areas showcasing seamless indoor-outdoor integration of living and entertaining areas. The pristine park-like landscaped gardens also include a covered outdoor BBQ area. Its prime location is footsteps to local schooling, shops, parks &amp; transportation, including Strathfield railway station. Features: Luxurious private retreat, exceptionally well maintained  Flexible and functional floorplan with extensive storage  Full brick build, concrete slabs, suitable for two families  Large scaled living zones on both levels, two kitchens  Dedicated snooker room, theatre, games &amp; family room Elevated entertainer\'s terrace can cater for all occasions  Separate grand formal living/dining, home office, workshop Large family kitchen, stone countertops, european appliances Substantial master room, private ensuite &amp; built in robes  Five stylish bathrooms, air-conditioning, basement parking Land size: 1075sqm approx  Internal size: 400sqm approx",15,22,21,42,63,78,22,52,48,20 to 39,-1,"25,803"
https://www.domain.com.au/40a-arthur-street-strathfield-nsw-2135-2014618393,1200000,Sold at auction 7 Jul 2018,40a Arthur Street Strathfield NSW 2135,Strathfield ,Free Standing Houses ,2,2,1,386,"Freestanding charming home in central location Set amidst lush manicured gardens, this classic freestanding family home is bathed in natural sunlight and brimming with authentic character. Ready to move right in and enjoy and offering plenty of scope to renovate or expand, it is set in a prime location only footsteps to buses, stations and prestigious schools. - High ornate ceilings, timber floor boards, reverse cycle a/c Kitchen with Caesar stone benches &amp; plenty of storage Separate living and dining flowing to tranquil courtyard Huge North facing front garden with manicured lawns Two generous double bedrooms with built-in wardrobes Modern bathroom with tub &amp; external second bathroom Lock up garage, separate laundry and alarm system 5 min bus ride to Strathfield Station outside front door Close to Homebush Station and shopping village Surrounded by prestigious schools, parks and buses",23,36,28,13,73,88,12,54,46,20 to 39,-1,"25,803"
