Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/7-allenby-crescent-strathfield-nsw-2135-2012670696,1750000,Sold at auction 23 Apr 2016,7 Allenby Crescent Strathfield NSW 2135,Strathfield ,Free Standing Houses ,3,2,2,6956,"Quiet Cul-de-sac Location Nestled away in a quiet, tree lined, cul-de-sac position discover this completely renovated family home on 695.6sqm of land.  Offering three generous sized bedrooms plus study, ensuite off main bedroom, open plan lounge and dining areas, brand new kitchen and bathrooms, double lock up garage and a huge storage area. Retreat out to the back yard and entertain under the covered alfresco area or take a dip into the sparkling in ground swimming pool.  Conveniently located close to shops, schools, parks and transport. This is a must to inspect!",22,28,28,23,76,86,14,54,46,20 to 39,-1,"25,803"
https://www.domain.com.au/10-homebush-road-strathfield-nsw-2135-2012756701,4000000,Sold by private treaty 23 Apr 2016,10 Homebush  Road Strathfield NSW 2135,Strathfield ,Free Standing Houses ,6,2,3,697,"Full Brick with Exceptional Potential Perfectly located within an easy stroll to both Strathfield and Homebush train station is this full brick, two level home with array of formal and casual living areas, high ceilings and a generous land content of 697m2 , set on an an expansive 697m2 of elevated, prime land. * Full brick two level family home with development potential * R3 medium density zoning (Strathfield Council STCA) * Deep 697sqm block in peaceful setting * Less than 5minutes walk to Homebush station/shops * Less than 10minutes walk to Strathfield Station/shop",18,52,18,12,37,29,71,40,60,20 to 39,-1,"25,803"
https://www.domain.com.au/14-merley-road-strathfield-nsw-2135-2012654047,1980000,Sold at auction 18 Apr 2016,14 Merley Road Strathfield NSW 2135,Strathfield ,Free Standing Houses ,3,2,2,744,"Timeless Full Brick Home with Potential First time offered in over 30 years and rich in character and timeless appeal is this family haven offering privacy, serenity and seclusion within a solid built, timeless residence. There is an abundance of living &amp; entertaining options with 3 bedrooms and a selection of formal and casual living areas that unfold to the beautiful covered terrace overlooking the serene landscaped gardens. * Immediately liveable, impeccably maintained with future potential * Sought after, tree lined street, private and peaceful residence * Generous proportions offering seamless in/outdoor living  * 3 generous bedrooms, 2 bathrooms, multiple living areas * Quality timber flooring throughout, soaring high, ornate ceilings * Excellent scope to further capitalise/extend and add value  * Multiple outdoor entertaining areas, covered terrace and paved bbq area * Landscaped garden surrounds, generous 744.2sqm block (15.7m x 47.4m)  * Solid build, attic storage, newly replaced waste system by PVC  * Established NBN fibre and foxtel connection  Lifestyle Location: Prestigious pocket, merely a short stroll to local elite schooling, Strathfield Plaza, shops, numerous parks, train and transport options.",22,28,28,23,76,86,14,54,46,20 to 39,-1,"25,803"
https://www.domain.com.au/21-pemberton-street-strathfield-nsw-2135-2012642689,2125000,Sold at auction 9 Apr 2016,21 Pemberton Street Strathfield NSW 2135,Strathfield ,Free Standing Houses ,3,1,2,1089,"Auction this Saturday at 12:30pm - Deceased Estate 1089sqm Positioned in a peaceful, tree lined street this full brick residence is set on a sprawling block of 1089sqm with exceptional scope to renovate, extend or rebuild your dream home stca. Families will appreciate the easy care single level layout with quality full brick construction and enjoy life from this superb location being within walking distance to local amenities, elite schools and transport. Deceased estate property will be sold. * Full brick residence with high ceilings, 3 traditionally spacious bedrooms * Array of formal and casual living areas, large eat-in kitchen * Sprawling park like grounds across 1089sqm * Exceptional scope to extend, renovate or rebuild stca * Lock up garage/potential granny flat with existing toilet/electricity Lifestyle Location within walking distance to Flemington train/shops, St Patricks College, Hudson park golf course, Strathfield Plaza, eateries as well as numerous parks/reserves and transport options.",17,27,30,26,72,90,10,59,41,20 to 39,-1,"25,803"
https://www.domain.com.au/15-homebush-road-strathfield-nsw-2135-2012604895,3850000,Sold by private treaty 4 Apr 2016,15 Homebush Road Strathfield NSW 2135,Strathfield ,Free Standing Houses ,4,1,1,809,"813m2 of Elevated, Prime Land Offering exceptional future potential with a sought after R3 Zoning and within an easy stroll to both Strathfield and Homebush train station is this full brick home with four generous bedrooms, multiple living areas and high ceilings, set on an an expansive 813m2 of elevated, prime land. * Neat and tidy full brick, four bedroom home * Large parcel over 809.4sqm (18.326m*46.939m) approx * R3 medium density zoning (Strathfield Council STCA) * Less than 5minutes walk to Homebush station/shops * Less than 10minutes walk to Strathfield Station/shops",21,42,24,14,52,44,56,54,46,20 to 39,-1,"25,803"
https://www.domain.com.au/54-shortland-avenue-strathfield-nsw-2135-2012625381,1920000,Sold at auction 2 Apr 2016,54 Shortland Avenue Strathfield NSW 2135,Strathfield ,Free Standing Houses ,3,1,2,8157,"Live Now Build Later! Here\'s the level building block you\'ve been waiting for! Located in a quiet tree lined street is this 815.7 sqm block with a 16.4m frontage perfect to live in for a while, or rent out while you make plans to build your dream home. The home itself offers 2-3 bedrooms of accommodation, a modern kitchen and bathroom, sunroom, timber flooring throughout and a side lock up garage. However the true value lies in the land. Within a close proximity to St Patricks College, parks and transport, you simply can\'t go wrong in this great location!",29,26,29,16,72,87,13,57,43,20 to 39,-1,"25,803"
https://www.domain.com.au/101-newton-road-strathfield-nsw-2135-2012715866,3000000,Sold at auction 26 Mar 2016,101 Newton Road Strathfield NSW 2135,Strathfield ,Free Standing Houses ,3,1,2,1113,"Deceased Estate - Must Be Sold! Surrounded by some of Strathfield\'s finest homes and set on an impressive 1,113sqm (approx.) parcel of land with a sweeping 16.2m frontage, you will discover this well-presented 3 bedroom home.  Conveniently located close to local schools, parks and transport, this home is ideal to live comfortably in now, whilst planning the possibilities for your family\'s future dream home.  Together with the perfect north-facing, elevated rear yard, and with very realistic expectations from the executor, this is the perfect opportunity to secure your piece of Strathfield at great value.",29,26,29,16,72,87,13,57,43,20 to 39,-1,"25,803"
https://www.domain.com.au/9-south-street-strathfield-nsw-2135-2012612017,5710000,Sold at auction 19 Mar 2016,9 South Street Strathfield NSW 2135,Strathfield ,Free Standing Houses ,7,6,4,1208,"Luxurious Executive Living Situated amongst some of Strathfield\'s finest homes, you will discover this grand family residence on a spacious 1208sqm of land.  Upon entry, you will be amazed by the enormous proportions this home has to offer. The teak wooden doors open into a spectacular foyer with marble floors throughout, and onto both formal and casual living areas, a guest bedroom, an enormous master suite with walk in robe and ensuite, and gourmet kitchen with state of the art Miele appliances and stone bench tops. Take the sweeping wrought iron staircase to the upper level, where you will find another living area with its own well-equipped bar, five double-sized bedrooms, three bathrooms and balconies off the front bedrooms. Retreat to your resort-style grounds and take a swim in your sparkling in-ground swimming pool, then relax in your private sauna or entertain by the paved undercover areas. This masterpiece offers enough parking for four vehicles, a Bose Surround Sound system, Ducted Vacuum, and a heating and cooling system.  Conveniently located close to local prestigious schools, parks, shopping precincts and major transport, this home is perfectly suited for the growing family seeking that touch of added luxury. Land Size: 1208sqm (approx.)",28,21,29,22,72,88,12,61,39,20 to 39,-1,"25,803"
https://www.domain.com.au/14-agnes-street-strathfield-nsw-2135-2012605739,4600000,Sold at auction 19 Mar 2016,14 Agnes Street Strathfield NSW 2135,Strathfield ,Free Standing Houses ,5,5,2,9231,"Entertainers\' Dream in Prestigious Location Nestled away in one of Strathfield\'s most prestigious locations in the heart of the Golden Mile is this magnificent architectural showpiece.  Perched up on the high side of the street and sitting on 923.1sqm of land with a rare circular driveway, you will be taken back by the modern finishes and elegance this house presents. The split-level living areas on the ground floor offers the versatility for an entertainers\' dream. You will discover a great snooker room separated by glass balustrading, open-plan lounge and dining areas, and a kitchen which will inspire your inner chef with Miele appliances and Caesar stone bench tops. On the upper level, all five bedrooms open out onto tranquil terraces. Two bedrooms also include ensuites and the luxurious main bathroom offers a spa bath. You will love entertaining in your outdoor sanctuary with an undercover patio and alfresco BBQ area, or relax by your sparkling in-ground swimming pool complete with a spa while you watch the kids have a game of basketball or tennis on the fully lit sports court. This home also includes a Bose Surround Sound system, Security Intercom which can be accessed from both levels, Ducted Air Conditioning, Bosch Alarm System and a double lock up garage with enough parking for an additional six vehicles off the street. Situated conveniently close to Strathfield\'s major schools, parks and golf course, popular shopping districts and transport, this house offers the complete package.",20,29,25,26,85,96,4,57,43,20 to 39,-1,"25,803"
https://www.domain.com.au/2-mirrabooka-ave-strathfield-nsw-2135-2012609181,2175000,Sold at auction 19 Mar 2016,2 MIRRABOOKA AVE Strathfield NSW 2135,Strathfield ,Free Standing Houses ,4,2,2,695,"EXTRA WIDE FRONTAGE / QUIET CULDESAC LOCATION This wide fronted, contemporary 4 bedroom home, is well maintained and offers a spacious bright &amp; sunny atmosphere throughout. Features include:  Large open plan lounge &amp; dining areas  2 beautifully kept bathrooms  Practical kitchen with plenty of bench space  2 car lock-up garage  Covered entertaining area overlooking a private yard &amp; gardens at rear  Land approx. 695m2 ( 17.415m/24.45m X 30.72m) Situated in a quiet cul-de-sac street, surrounded by quality homes and near to both Homebush &amp; Strathfield shopping centres, transport and all the best local schools. Sold at auction $ 2,175,000.00",22,25,22,30,74,89,11,54,46,20 to 39,-1,"25,803"
