Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/134-devonshire-street-surry-hills-nsw-2010-2016447633,1800000,Sold at auction 25 Sep 2020,134 Devonshire Street Surry Hills NSW 2010,Surry Hills ,Terraced Houses ,4,1,1,139,"Substantial terrace + DA-approved plans With DA approval for impressive renovations including a studio above the garage, this substantial terrace sits on the best side of this renowned strip with a north aspect to the rear. With the Light Rail on your door, future village growth is inevitable here. Highlights * 3-level home + DA approval in place * DA incls. valuable studio over garage * Currently a smartly renovated home * North-facing rear, great storage opts * Updated floors &amp; clean modern finishes * Comfortable updated kitchen/baths * Private courtyard w/ rear-lane access * Inner-city position &amp; on 139sqm land * Scope to enjoy now &amp; redesign later * Sought-after hub of new dining &amp; more",17,46,35,2,22,38,62,45,55,20 to 39,-1,"16,408"
https://www.domain.com.au/25-phelps-street-surry-hills-nsw-2010-2016459711,1310000,Sold at auction 4 Sep 2020,25 Phelps Street Surry Hills NSW 2010,Surry Hills ,Free Standing Houses ,2,1,0,0,"Entry-level terrace + approved DA Arguably inner Sydney\'s best spot for entry-level house buying, here\'s a smart foothold in the market. Neatly updated and nothing to spend, enjoy a village location, multiple outdoor options, and your own patch city land. Free Building &amp; Pest Report at bw.com.au. Highlights * DA approved to add value later * (for upstairs bath/extend bedroom) * A classic w/ clean modern updates * Polished floorboards, high ceilings * Sky-lit kitchen, s/steel appliances * A private &amp; walled patio escape * 2nd large upper-level sun deck * Master balcony, a/c, ceiling fan * Bedrooms w/ built-in wardrobes * Walk-everywhere village position",17,35,34,14,40,37,63,48,52,20 to 39,-1,"16,408"
https://www.domain.com.au/14-ridge-street-surry-hills-nsw-2010-2016463712,2950000,Sold by private treaty 28 Aug 2020,14 Ridge Street Surry Hills NSW 2010,Surry Hills ,Terraced Houses ,3,2,1,101,"Renovated terrace, north-facing laneway life A end-of-row position + north-facing living space spilling into a tucked-away laneway, this is one inner-city terrace that stands out. Quality renovations and thoughtful attention-to-detail in an unbeatable location. Free Building and Pest Report at bw.com.au. Highlights * Position, aspect, functionality, sunlight * N-facing wrap-around industrial doors * Indoor/outdoor flow, retractable awning * Private courtyard, rear access parking * Kitchen/main bath w/ under-floor heat * Concrete benchtop, f/standing bathtub * F/boards high ceilings, Victorian detail * King master, oversized top-floor retreat * Sonos sound throughout, gas, air-con * Walk-everywhere life on the CBD fringe",16,55,22,7,38,44,56,43,57,20 to 39,-1,"16,408"
https://www.domain.com.au/467-riley-street-surry-hills-nsw-2010-2016391103,2576000,Sold at auction 18 Aug 2020,467 Riley Street Surry Hills NSW 2010,Surry Hills ,Free Standing Houses ,3,2,1,0,"Light-Filled Modern Family Terrace This is the one you\'ve been dreaming of - a renovated three-storey terrace in the heart of Surry Hills. This generous home is perfect for a family that enjoys being close to everything, yet is also an oasis of calm with its open plan chef\'s kitchen, and bi-fold doors opening on to an entertainer\'s deck and courtyard. An expansive master bedroom and second bed with balcony just adds to the experience of living in this happy home. A short walk to some of Sydney\'s best cafes and pubs, and with excellent schools and public transport just steps away, this is iconic Sydney living at its best.  - Three beds, two bath, parking with rear lane access Wide 5m frontage with balcony Fully renovated, chef\'s kitchen with breakfast bar Separate dining, generous storage, timber floorboards Entertaining deck with courtyard garden Footsteps to Crown Street\'s vibrant cafe lifestyle Close to public transport, shops and cafes  Emma Wheater - 0403 136 737 Alan Fettes - 0437 471 291 Ashley Bierman - 0410 161 881 Inspect As Advertised - By Appointment Ray White Double Bay - The Team of Professionals You Deserve Our recommended loan broker www.loanmarket.com.au/daniel-pym",12,44,34,10,35,38,62,48,52,20 to 39,-1,"16,408"
https://www.domain.com.au/260-devonshire-street-surry-hills-nsw-2010-2016366347,1490000,Sold at auction 1 Aug 2020,260 Devonshire Street Surry Hills NSW 2010,Surry Hills ,Free Standing Houses ,3,2,0,57,"Inner-city terrace in areas new hotspot Low-upkeep living in an ultra-convenient city location, the new light rail is reviving this strip into a buzzing cosmo hub. Heres a unique city house at the heart of it all, with flexible B4 mixed use zoning, and scope for your touch too. Free Building &amp; Pest Report at bw.com.au. Private inspections available or see scheduled open times. Highlights * Bald-faced terrace in a classic row * Shutters, Victorian charm preserved * Exposed brickwork &amp; timber beams * NE aspect to balconies &amp; courtyard * In/outdoor spaces over three levels * Polished floorboards &amp; gas fireplace * Bath w/ spa tub, beds w/ built-ins * New light rail links on your doorstep * Air conditioning on all 3 levels * Walk-everywhere Inner Sydney life",10,50,25,15,45,52,48,43,57,20 to 39,-1,"16,408"
https://www.domain.com.au/16-nichols-street-surry-hills-nsw-2010-2016361402,2300000,Sold at auction 28 Jul 2020,16 Nichols Street Surry Hills NSW 2010,Surry Hills ,Free Standing Houses ,3,1,1,0,"High-end Victorian Terrace in Surry Hills\' heart On a highly sought-after street, this architect-designed terrace is such a timeless showpiece. In the heart of vibrant Surry Hills it\'s moments to the village hub, the best of the suburb is at your door. Highlights * Victorian terrace + high-end renovations * Private c/yrd w/ easy to maintain grdns * Open plan living w/ indoor/outdoor flow * Formal dining room, bathroom w/ tub * Modern gas kitchen w/ d/washer + pantry * Queen bedrooms w/ BIR &amp; ceiling fans * Elevated sundeck, guest w/c, r/c a/c * Parking in security building, storage shed * Moments to local eateries &amp; transport * Council: $2,243 p.a, levies: $116 p/q",11,50,28,10,28,37,63,47,53,20 to 39,-1,"16,408"
https://www.domain.com.au/67-reservoir-street-surry-hills-nsw-2010-2016327164,1370000,Sold at auction 27 Jul 2020,67 Reservoir Street Surry Hills NSW 2010,Surry Hills ,Free Standing Houses ,3,1,0,80,"Flexible corner building on 80sqm On a north-facing corner in the heart of the area, heres a chance to secure a landmark urban site right on the city fringe. With some of Sydneys best cafes &amp; dining as your neighbours, youre in good company here. Free Building &amp; Pest Report: bw.com.au. Private inspections available on request, in addition to the scheduled open times. Highlights * Landmark corner building on 80sqm * Huge flexibility &amp; potential over 3 levels * G-floor + basement laundry lease, Lvl1 resi * Laundry lease expires January 2023 * Level 1 residential lease expired * Entire rental income p/a $58,156 inc GST * Wrap-around courtyard w/ side access * Upper level w/ northeast-facing balcony * Bathrooms &amp; WCs on both main levels * Thriving pocket of creativity &amp; business",9,54,29,7,31,36,64,45,55,20 to 39,-1,"16,408"
https://www.domain.com.au/30-marshall-street-surry-hills-nsw-2010-2016391152,1793000,Sold by private treaty 21 Jul 2020,30 Marshall Street Surry Hills NSW 2010,Surry Hills ,Free Standing Houses ,3,2,0,107,"Wide terrace / admired laneway position Ready to renovate or enjoy, this wide terrace is tucked away in one of Surry Hills best laneway locations. Enjoy a green position &amp; sense of quiet with parks, pubs, cafes &amp; dining at the door. Free Building &amp; Pest Report at bw.com.au. Private inspections available or see scheduled open times. Highlights * Immaculately kept, to enjoy or renovate * Opens to a private rear courtyard escape * Generous living w/ 4.4m internal width * Baths on both levels, bedrooms w/ BIRs * Tidy kitchen w/ dishwasher, gas cooking * Sky-lights &amp; naturally bright interiors * Master w/ ceiling fan &amp; wide front balcony * So much potential for your own touches * Quiet laneway scene just off Bourke Street * Seconds from top Sydneys dining &amp; CBD",18,36,36,11,44,53,47,52,48,20 to 39,-1,"16,408"
https://www.domain.com.au/88a-fitzroy-street-surry-hills-nsw-2010-2016270736,1655000,Sold by private treaty 21 Jul 2020,88a Fitzroy Street Surry Hills NSW 2010,Surry Hills ,Terraced Houses ,3,1,0,119,"Victorian terrace / north-facing alfresco space With a north-facing courtyard in a prime inner-city location, this terrace is renovated throughout with quality and Victorian character intact. A short walk to Crown/Bourke streets and Central Station, the best of Sydney is at your door. Free Building &amp; Pest Report: bw.com.au. Private inspections available on request, in addition to the scheduled open times. Highlights * Quality updated house in top position * Creatively revamped for light &amp; space * North aspect &amp; custom-built courtyard * Built-in benches, timber deck, gardens * Stone kitchen, s/steel Smeg appliances * A/c, custom study, walls of built-in robes * Guest WC &amp; powder room, full main tub * Master opening to a wide timber balcony * Walk-everywhere inner-Sydney lifestyle * Ask us about private appointments",11,50,28,10,28,37,63,47,53,20 to 39,-1,"16,408"
https://www.domain.com.au/33-adelaide-street-surry-hills-nsw-2010-2016337232,1087000,Sold at auction 18 Jul 2020,33 Adelaide Street Surry Hills NSW 2010,Surry Hills ,Free Standing Houses ,2,1,0,69,"Laneway terrace / the classic Sydney house An end-of-row terrace in a laneway position, this is the quintessential Inner Sydney house with all of its character preserved. Fresh &amp; updated throughout, spend nothing or start adding your dream touches. Free Building &amp; Pest Report at bw.com.au. Private inspections available or see scheduled open times. Highlights * A rare laneway setting &amp; classic city house * On a pedestrian strip w/ park at your door * Bald-faced design w/ open living &amp; dining * Clever integrated storage, tidy gas kitchen * Opens to a private walled courtyard scene * Ceiling fan, fresh decor &amp; paint throughout * Perfect as is + potential for your own touch * A walk-everywhere Inner Sydney lifestyle * Renowned pubs, cafes &amp; dining hubs nearby * Ask us about our private appointments",12,44,34,10,35,38,62,48,52,20 to 39,-1,"16,408"
