Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/61-fairmount-circuit-glenwood-nsw-2768-2016436090,1210000,Sold at auction 6 Sep 2020,61 Fairmount  Circuit Glenwood NSW 2768,Glenwood ,Free Standing Houses ,5,3,2,565,"Price Guide $1,130,000 With five bedrooms and multiple formal and informal living areas, this Clarendon built family home showcases exquisite workmanship and character to the highest degree. Intuitively designed to maximise space and tranquility, this home showcases a vast sequence of living areas both indoor and out perfect to entertain the whole family year-round. Located in Tuscan Waters, Glenwood\'s most sought-after location, this home sits prominently with sweeping district views while being bathed in sunlight throughout the day. Located in Caddies Creek Public School and Glenwood High School catchment and a minute\'s walk to city transportation, this home has somethingon offer to all members of the family. - Four bedrooms upstairs with fifth downstairs accompanying full bathroom downstairs Three fully tiled bathrooms with showers Gourmet kitchen featuring gas cook-top, tile splash-back, with ample storage and bench space Expansive living and dining areas with district views Secure backyard drenched in morning sun with established gardens and large alfresco perfect for entertaining year round Children\'s rumpus upstairs, perfect for the growing family Designer master with walk-in and ensuite Double lockup garage with additionalrear access to accommodate further storage needs Disclaimer: All information contained herein is obtained from property owners or third-party sources which we believe are reliable. We have no reason to doubt its accuracy, however we cannot guarantee it. All interested person/s should rely on their own enquiries.",33,23,30,14,61,84,16,67,33,40 to 59,-1,"16,135"
https://www.domain.com.au/6-helen-place-rooty-hill-nsw-2766-2016386143,751250,Sold by private treaty 6 Sep 2020,6 Helen Place Rooty Hill NSW 2766,Rooty Hill ,Free Standing Houses ,3,2,0,954,"UNDER OFFER BY YVONNE TSEROS This beautifully renovated property is perfectly positioned in a quiet cul-de-sac and is set on an impressive 954m2 block! If you have been searching for the perfect house to call home, or for those looking for granny flat / development potential (S.T.C.A) then this property is sure to tick all the boxes! With quality inclusions throughout some of which include:- * Covered front patio with newly tiled floor coverings  * Spacious light-filled lounge room with gas heating outlet * Newly laid carpet and floor coverings  * Freshly painted throughout + downlights &amp; new blinds to all the windows * Brand new and stylish kitchen with gas cooktop, dining area leading off the kitchen * Three generous sized bedrooms with brand new en-suite to the main bedroom boasting quality fittings and floor to ceiling tiles * Recently renovated family bathroom featuring floor to ceiling tiles + separate bath and shower  * Built-in linen cupboard * Good sized laundry * Large covered entertaining area with views to the huge backyard  * Plenty of room in the backyard for the children to run and play and for those looking for development / granny flat potential the size of the yard will impress * Wide drive-through side access to the backyard  * Family friendly cul-de-sac location  PRIME LOCATION! Conveniently positioned walking distance and close to all amenities some of which include:- * 5 minute walk (400m) to St Aidan\'s Primary School * 8 minute walk (550m) to Rooty Hill Public School  * 8 minute walk (650m) to Rooty Hill RSL * 8 minute walk (600m) to Mount Druitt Hospital * 3 minute drive, 14 minute walk (1.1km) to Rooty Hill High School * 4 minute drive, 18 minute walk (1.3km) to Rooty Hill Railway Station &amp; Shops All of this and so much more!! To avoid missing out on this sensational property be sure to attend the open day! For more information or to obtain a contract for sale of land be sure to call Yvonne Tseros today on 0408 320 602.",25,25,27,23,77,78,22,55,45,20 to 39,-1,"14,705"
https://www.domain.com.au/2-dell-street-blacktown-nsw-2148-2016419933,664400,Sold at auction 5 Sep 2020,2 Dell Street Blacktown NSW 2148,Blacktown ,Free Standing Houses ,3,1,1,556.4,"IMMACULATE FAMILY HOME This home is a true representation of immaculate living. Lovingly cared for by its long-term owners this home exudes charm and character from the moment you walk through the door. It\'s floorplan offers a versatile living arrangement and it\'s high-side block gives you desirable district and mountain views with the possibility of a granny flat addition.  The home offers: 3 sizeable bedrooms, main with air conditioning Generous lounge room Impeccably kept kitchen with gas cooking Renovated bathroom with open design, perfect for the elderly Rear deck which overlooks manicured yard Enclosed sunroom which offers a great additional living or dining space Single carport with lift  We recommend you inspect this property without any delay to avoid disappointment. The home will be auctioned on Saturday 5th September 2020 on site at 1:00pm, unless sold prior.",26,30,26,18,67,60,40,56,44,20 to 39,-1,"47,175"
https://www.domain.com.au/14-segovia-crescent-colebee-nsw-2761-2016463985,900000,Sold by private treaty 5 Sep 2020,14 Segovia Crescent Colebee NSW 2761,Colebee ,Free Standing Houses ,4,2,2,0,"Stonecutters Ridge Golf Front living Ideally situated on Segovia Crescent within walking distance to Stonecutters Ridge Golf Club, Village Centre, Tennis Courts, Driving Range and Community Centre this stunning single level home provides a premiere location for all buyers types.  The inside of the home is tastefully designed and executed, with a great flowing floorplan with multiple living spaces and comfort for every family member.  Designer kitchen and bathrooms with high quality fixtures and finishes will be sure to impress.  Single level homes on the golf course with premium views such as this are rare, call today to book your VIP walkthrough.  Home Features - Golf Course views from lounge room, alfresco and bedroom! Spacious master bedroom with walk in robe and ensuite  Theatre room or second formal living area Frameless shower screens, freestanding baths and upgraded tile heights in bathrooms  Stone benchtops, 900mm gas appliances, soft close cabinetry in kitchen Local Area Amenity &amp; Features  - 4min to William Dean Public School 10min to Plumpton High School 10min to Richard Johnson Anglican School 4min to Greenway shopping Village (incl Woolworths) 24min to Rouse Hill Town Centre 14min to Schofields Train Station 17min to Norwest Business Park 7min to Sydney Business Park 1min to Stonecutters Ridge Golf Club 13min to M7 Entry (Richmond Rd) 41min to Sydney CBD Sales Centre &amp; Local Area Information Website: Sales Office: 83 Stonecutters Drive, Colebee (Open Mon Sat,10am to 4pm) Website: www.stonecuttersridge.com.au For more information or to arrange a VIP inspection please contact Nathan Fyffe on 0487 253 300 or Simon Hagarty on 0405 175 416.",31,30,32,7,[,85,15,70,30,20 to 39,-1,"1,928"
https://www.domain.com.au/5-radford-place-oakhurst-nsw-2761-2016429092,633500,Sold at auction 5 Sep 2020,5 Radford Place Oakhurst NSW 2761,Oakhurst ,Free Standing Houses ,3,1,1,428,"HAMMER\'S GOING DOWN ! Positioned in a quiet cul de sac setting this well maintained family home boasts a warm and charming street presence, this property is perfectly suited to a growing family, down sizer or investor. Featuring sun filled interiors complimented by updated timber flooring and fresh paint throughout, the functional layout consists of a separate living and dining area, surrounding a bright tasteful kitchen, three well-appointed bedrooms serviced by a modern family bathroom and an expansive covered pergola allowing a low maintenance lifestyle. Located within close proximity of Mittigar Reserve, an array of quality local schools, minutes to Costco, IKEA, Bunnings Warehouse and buses to Blacktown station, the whole family is sure to love all this property has to offer! Property features include:  Cul de sac location  Separate living and dining area  Central tasteful kitchen with gas cooking, breakfast bar and ample storage  Three bedrooms all with built in robes  Modern main bathroom with two way access to the main bedroom  Internal laundry with external access  Split system air conditioning , alarm and gas heating  Expansive undercover pergola overlooking the manicured lawns on 428 sqm  Garden shed  Spacious drive through garage to carport  Minutes from M7 Motorway",30,31,29,9,72,81,19,58,42,20 to 39,-1,"6,959"
https://www.domain.com.au/7-millstream-road-werrington-downs-nsw-2747-2016422771,710000,Sold by private treaty 5 Sep 2020,7 Millstream Road Werrington Downs NSW 2747,Werrington Downs ,Free Standing Houses ,4,2,2,625,"SOLD BY ROBERT NORGATE 0422 102 496 - Perfectly positioned in a whisper quiet street on 625m2, this is an incredible opportunity to secure an unbeatable dual occupancy investment, with 2 brilliant long term tenants in place  2 bedroom home with separate living area and designated undercover parking space with a long term tenant paying $375p.w New granny flat with 2 bedrooms, kitchen, bathroom, lounge room, designated undercover parking and a fantastic tenant paying $275p.w Only minutes from the Penrith CBD, Nepean Hospital, University of Western Sydney and both Penrith and Kingswood Train Stations A brilliant, stress free opportunity for astute investors looking to add quality real estate to their portfolio  DON\'T MISS OUT!!",24,29,34,13,77,91,9,66,34,20 to 39,-1,"3,240"
https://www.domain.com.au/7-herrick-street-blacktown-nsw-2148-2016407118,765000,Sold by private treaty 4 Sep 2020,7 Herrick Street Blacktown NSW 2148,Blacktown ,Free Standing Houses ,4,1,2,0,"KICK BACK RELAX ENJOY -------------------------------------------------------- For full address details, inspection times, additional photos and floor plan, click ""Email Agent"" and quote: ID #8210 --------------------------------------------------------  This property has the lot. Space for the growing family. Lifestyle features for those who prefer to entertain.  Educational and transport options. Then there are those that just want to come home to their castle and enjoy the serenity this property has to offer.  Located in Blacktown Souths sweet spot, all the work has been done for you. No expense has been spared on this 4 bedroom, 2 living area brick cottage. Features include mainicured gardens with finely trimmed hedges, sparking in ground pool, teenage retreat/sleep out, fully tiled bathroom, carport, the most amazing mosaic driveway, air conditioning and an an under cover front verandah that can easily double up as an entertainment area.  People say, you will know it when you see it. 1 look at this home and you will be convinced. Don\'t settle for less.  Don\'t rob yourself of a lifestyle you deserve. You\'ve worked hard. Now enjoy the fruits of your labor.  Call Michael Maran on 0438 982 201.",30,26,25,19,63,75,25,60,40,20 to 39,-1,"47,175"
https://www.domain.com.au/25-midnight-avenue-caddens-nsw-2747-2016391570,1210000,Sold by private treaty 4 Sep 2020,25 Midnight Avenue Caddens NSW 2747,Caddens ,Free Standing Houses ,5,3,2,470.3,"UNDER OFFER BY DAVID FRENDO Crafted to the finest standards is this luxurious modern home with incredible family spaces &amp; premium finishes! Showcasing two levels of suburb designs and generous dimensions this home also features a stunning swimming pool. Pure luxury above all else this home is a sophisticated haven with a modern twist! Why you\'ll love it: * 5 generous sized bedrooms, all with customed designed joinery  * Master bedroom with an undercover balcony, en-suite and walk in robe. * Stunning kitchen with marble benchtops, island bench, premium &amp; high quality tech appliances including AEG induction cooking. * Spacious butlers kitchen with marble benchtops, gas cooking and stainless steel appliances * Open plan living, meals area &amp; formal dining * Ultra modern downstairs bathroom, tiled floor to ceiling with shower * Upstairs bathroom with marble tiling floor to ceiling, featuring a freestanding bath * Spacious internal laundry with marble benchtops &amp; ample cupboard space  * Taking centre stage is a spiral staircase with stainless steel railings * Top floor - suspended concrete slab * Ceramic tiling throughout * Electric blinds &amp; bifold doors  * Ducted air conditioning throughout * Security Wi-Fi intercom &amp; cameras (smart home system) * Double lock up garage with internal access and additional storage  * Undercover entertaining alfresco with barbeque area &amp; woodfire pizza oven * In-ground swimming pool with gas heating &amp; spa jets  * Low maintenance yards * 10.5kw LG - solar panels  * Easy access to M4 motorway &amp; Great Western Highway * Approximately 46 building squares * Situated on a 470.3m2 corner block With impressive interiors and unique sense of space inside and out, this home has been designed exclusively with architectural edge. This grand slam winner is not something you want to miss out on!",25,39,18,17,9,79,21,73,27,20 to 39,-1,"1,465"
https://www.domain.com.au/33-laycock-street-cranebrook-nsw-2749-2016455200,751000,Sold by private treaty 4 Sep 2020,33 Laycock Street Cranebrook NSW 2749,Cranebrook ,Free Standing Houses ,3,2,2,864,"Huge 864sqm block!! Proudly positioned on a huge 864sqm block, this three bedroom home is situated within walking distance to local schools, shops and public transport making it a fantastic opportunity for the growing family.  - Boasting a beautiful cathedral ceiling, this home is a breath of fresh air from the moment you walk in. Offering three good sized bedrooms, the master bedroom has a walk in robe, ensuite and access to the entertaining area. The other two bedrooms offer built in robes and ceiling fans. The entertaining area is enormous to compliment the large backyard, offering tonnes of space for the kids to play + a large in ground swimming pool perfect for the upcoming warmer weather. Boasting two separate living zones perfect for the growing family. The main bathroom and ensuite have both been recently renovated, as well as the large laundry with a 3rd toilet. Double garage with drive through access to the backyard. The large kitchen overlooks the yard and pool so you can watch the kids play. Lots of storage with a garden shed, walk in linen + an extra double linen cupboard. The home boasts tonnes of extras including ducted air conditioning, gas heating, fire place, alarm system, etc just to name a few!",21,29,30,20,67,82,18,61,39,20 to 39,-1,"15,758"
https://www.domain.com.au/9-burra-close-glenmore-park-nsw-2745-2016436092,750000,Sold by private treaty 4 Sep 2020,9 Burra Close Glenmore Park NSW 2745,Glenmore Park ,Free Standing Houses ,3,2,4,710,"Bright and brilliant on Burra This well kept family gem is situated in a quiet and highly regarded street, a stones throw away from local schools, public transport and amenities. Positioned on a 710m2 (approx) block this property offers private outdoor entertaining attributable to the huge undercover area and established landscaped gardens. Do not miss this opportunity to inspect! + Three sizeable bedrooms with walk in robe &amp; ensuite to main + Separate light filled living areas + Roomy bathroom with extra large tub + Timber kitchen with an abundance of storage and gas cooking + Outdoor entertainers dream with landscaped yards &amp; double side access + Double garage with access to the entertaining area + Enviable cul-de-sac location Recently the NSW State Government announced the ban on open homes and auctions has been lifted. With certain guidelines still in place we must ensure safety measures remain a key part of the viewing process. Please refer to the last photo on this property for information on the safety measures we have in place. Our commitment to your health + safety is always our number one priority. DISCLAIMER: Whilst we deem this information to be reliable the agent cannot guarantee its accuracy and accepts no responsibility for such. Interested persons should rely on their own enquiries.",29,30,29,12,66,78,22,61,39,20 to 39,-1,"23,005"
