Url,Price,Selling date,Address,Suburb,House Type,Bedrooms,Bathrooms,Parking spots,Land size,Description,Under 20,20 - 39,40 - 59,60+,Long term residents,Owner percent,Renter percent,Family percent,Single percent,Average age,First Listed,Population
https://www.domain.com.au/1-preston-street-jamisontown-nsw-2750-2016433241,700000,Sold by private treaty 19 Aug 2020,1 Preston Street Jamisontown NSW 2750,Jamisontown ,Free Standing Houses ,3,1,1,645,"For Sale Now $629,000 - $679,000 or Auction 12th September 2020 Opportunity abounds for this well presented home, that has been owned by the one family for over 50 years - this is the first time it is on the market! Perfect for a first homeowner to move into, a savvy investor to rent for immediate income or a developer to capitalise on the R4 zoning, allowing for units or townhouses (STCA). Positioned on an approx. 645sqm corner block, opposite Jamison Park, this home is close to schools, public transport and walking distance to shops, restaurants and recreation facilities including Penrith Stadium and Panthers Leagues Club. Minutes from central Penrith, Nepean Hospital, Nepean River as well as easy M4 access. This home has 3 generous sized bedrooms, dining and living areas, including two additional sunroom areas over-looking the gardens. With 1 bathroom, separate toilet and carport, it is your perfect first home. Contact Mychelle Vanderburg today to book your private inspection. * Corner block with R4 Zoning * Move straight in or renovate, high on potential * Land size approx. 645sqm extremely convenient location * 3 bedroom home with multiple living areas, split system air conditioning Disclaimer: We have been furnished with the above information, however, Property Central gives no guarantees or undertakings concerning the accuracy, completeness or up-to-date nature of the information provided. All interested parties are responsible for their own independent enquiries in order to determine whether or not this information is in fact accurate.",21,39,27,13,25,31,69,30,70,20 to 39,-1,"5,480"
https://www.domain.com.au/12-neptune-street-jordan-springs-nsw-2747-2016179303,685000,Sold by private treaty 19 Aug 2020,12 Neptune Street Jordan Springs NSW 2747,Jordan Springs ,Free Standing Houses ,3,2,1,330,"Impressive......next level home Flaunting the quality layout and finishes of a McDonald Jones build this home will impress. This gorgeous 3 bedroom home includes all the extra\'s, the main bedroom offers an en-suite and walk in robe whilst the other two bedrooms have built in robes and all living areas feature tiled floors and high ceilings. The home is complemented with ducted air conditioning, Caesar-stone benchtops with an additional island bench, large pantry, remote control single garage, alarm and wonderful undercover alfresco and decked area for entertaining. We are proud to present this beautiful home to the Market. Call your local Jim Aitken + Partners office for a private viewing.  + 2.7m ceilings + Main with en-suite and walk in robe  + Ducted air conditioning + Dishwasher  + Alarm + Alfresco entertaining + Centrally located in Jordan Springs This property is situated north facing on an approx 330 sq metre block. Discover for yourself why Jordan Springs one of our most popular residential districts. Only 56kms to the Sydney CBD, minutes away from world class attractions and offering a selection of schools, shopping opportunities and walking tracks, this lifestyle suburb will certainly please any family. Book your inspection with your local Jim Aitken + Partners office today. DISCLAIMER: Whilst we deem this information to be reliable the agent cannot guarantee its accuracy and accepts no responsibility for such. Interested persons should rely on their own enquiries.",,,,,[,60,40,60,40,-1,-1,-1
https://www.domain.com.au/166-greenwood-parkway-jordan-springs-nsw-2747-2016384943,715000,Sold by private treaty 19 Aug 2020,166 Greenwood Parkway Jordan Springs NSW 2747,Jordan Springs ,Free Standing Houses ,4,2,2,375,]',,,,,[,50,50,50,50,-1,-1,-1
https://www.domain.com.au/25-illoura-way-jordan-springs-nsw-2747-2016333941,732500,Sold by private treaty 19 Aug 2020,25 Illoura Way Jordan Springs NSW 2747,Jordan Springs ,Free Standing Houses ,4,2,2,540,"800 m to New Jordan Springs Public school This elegant residence is meticulously designed with modern fittings and fixtures. The contemporary home invites abundance of light and comes with a spacious floor plan. Ideally located in very sought after and family oriented suburb of Jordan Springs, surrounded by quality homes, within walking distance to a new public school, local shops, beautiful lake and only moments to public transport, Nepean Hospital and Penrith CBD, this beautiful home offers everything for a modern family. Property features:  Large open living plan  King size master suite enjoys walk in robe plus lavish en-suite  Three other bedrooms all features built in robes  Modern light filled kitchen with stainless steel appliances   Separate modern bathroom  Down lights in lounge, dining, kitchen and living area  Spacious laundry  Double remote garage  massive backyard for outdoor entertainment   Two split air condition  Linen storage and many more  Current tenants are paying $510 per week happy to stay for a savvy investor  This quality home should be on your list to inspect. Don\'t delay as it won\'t last long. Call Deepak Gaur now on 0433 639 193 for more information and inspection times. Disclaimer: Best Value Real Estate, its directors, employees and related entities believe that the information contained herein is gathered from sources we deem to be reliable. However, no representation or warranties of any nature whatsoever are given, intended or implied. Any interested parties should rely on their own inquiries",,,,,[,75,25,75,25,-1,-1,-1
https://www.domain.com.au/41-camorta-cl-kings-park-nsw-2148-2016444635,726000,Sold by private treaty 19 Aug 2020,41 Camorta cl Kings Park NSW 2148,Kings Park ,Free Standing Houses ,3,1,1,563,]',33,24,30,13,77,85,15,63,37,20 to 39,-1,"3,456"
https://www.domain.com.au/2-macadamia-court-kingswood-nsw-2747-2016374656,1030000,Sold by private treaty 19 Aug 2020,2 Macadamia Court Kingswood NSW 2747,Kingswood ,Free Standing Houses ,4,3,2,530,"THE ULTIMATE SMART HOME What an absolutely incredible find this one is! This immaculate, Modern home features Smart Switch technology throughout, for you to easily operate your air-conditioning and light switches, all with just a simple press of a button on your smartphone. With the additional features of a keyless entry system, security cameras, and the option to connect Alexa to control your lights and dual zoned air-conditioning, we just know that this stunning property is sure to impress anyone looking to secure a quality family home. Located in a quiet and sought after pocket of Kingswood in the Caddens Rise Estate, surrounded by other high quality properties. You will find that you will have easy access to an abundance of quality local schools and parks, plenty of shopping centres including the new ""Caddens Corner"" currently under construction, direct access to the M4 Motorway, and of course the vastly expanding Penrith CBD is just minutes away. This truly breathtaking home offers stunning pendant lighting, modern tilework, gorgeous views, and many more outstanding features, you simply must come and inspect this one for yourself! Features Include: Four large bedrooms, all with ducted air-conditioning, two with built-in wardrobes, and two with walk-in wardrobes, and the master suite showcases a large front facing balcony, and a private en-suite Three full sized bathrooms including the en-suite. The main bathroom offering a freestanding bathtub, a large corner shower, and a floating vanity. An additional bathroom is located downstairs, complete with a shower and spacious vanity, ideal for guest use. Bright and spacious kitchen, offering a stunning stone benchtop, a sunken sink, 900mm gas cooktop and stainless oven and a butler\'s pantry with ample storage space, a stainless dishwasher and its own stainless sink for easy clean-ups. Plenty of versatile living space, with a family sitting room to greet you upon entry, an open plan living and dining room at the rear with direct access to the outdoor alfresco and extended deck, along with an additional upstairs family room and private study nook Double garage with direct internal access to the main living room, an auto roller door, and plenty of additional driveway space to easily accommodate another four cars for plenty of off street parking options Internal laundry room with built-in cabinetry, stone benchtops, and easy access to the outdoor, fold-down clothesline. Smart wired lighting and air-conditioning throughout the home, allowing the ability to operate the systems traditionally or wirelessly via an app on your phone. You can also set up schedules for lighting and air-conditioning or activate the air-conditioning wirelessly when leaving work on a hot or cold day to ensure absolute comfort when you arrive home to relax. Potential rental return of $720 - $740 per week, in a highly sought after area. Outgoings: Water Rate $24.4 (Service Charge) approx. per quarter Council Rate $286.60 approx. per quarter Land Size: 543 sqm approx. **TO VIEW THIS PROPERTY, PLEASE CLICK THE \'EMAIL AGENT\' OR \'BOOK INSPECTION\' BUTTON AND SUBMIT YOUR ENQUIRY WE WILL RESPOND WITH AVAILABLE INSPECTION TIMES. PLEASE ENSURE YOU REGISTER TO INSPECT THIS PROPERTY** ""We have obtained all information in this document from sources we believe to be reliable; however, we cannot guarantee its accuracy. Prospective purchasers are advised to carry out their own investigations.""",28,26,29,17,58,70,30,59,41,20 to 39,-1,"9,297"
https://www.domain.com.au/16-deguara-street-schofields-nsw-2762-2016360340,1190000,Sold by private treaty 19 Aug 2020,16 Deguara Street Schofields NSW 2762,Sydney Region ,Schofields ,5,4,2,0,"Suburb Record Sale On 365m Land  - Sold By Starr Partners Bella Vista!! Starr Partners Bella Vista Presents This architectural triumph which is ultra-modern in concept and warmly inviting. This beauty with innovative design and superb contemporary style is a perfect balance of space, style and comfort. Experience a luxurious lifestyle in this resort-style residence. Discover natural light-filled open-plan living and formal dining. Which is opening to alfresco offering plenty of space for entertainment. This master piece is conveniently located in the much sought after location of Schofields surrounded by quality homes. This home is breath taking in every aspect! This gorgeous home features : ~ Five immaculate grand bedrooms  ~ Master and second bedroom with en-suite &amp; walk-in robe. ~ One bedroom and bathroom downstairs ~ Four luxury styled bathrooms and powder room ~ Good size media room  ~ Large open plan living &amp; formal dining area opening with Bifold doors to the alfresco ~ Beautiful alfresco with functioning outdoor kitchen ~ Immaculate gourmet kitchen with large Island smart-stone benchtops ~ Gorgeous butlers kitchen  ~ Covered outdoor alfresco to relax and enjoy ~ Spacious rumpus upstairs ~ Great size balcony offering a nice view ~ Dedicated study nook ~ High ceiling all over ~ Shadow Line throughout the house ~ Ample of storage ~ Ducted air conditioning ~ Auto double lock-up garage with built-in storage  ~ Land Size 365 Sqm  Location Highlights: ~ Schofields Public School &amp; Riverstone High School catchment ~ Minutes\' drive to Tallawong Metro, Schofields Train Station &amp; Woolworths ~ Short distance to Schofields local shops We highly recommend you visit this beautiful home. For more information please contact our friendly staff at Starr Partners Bella Vista.",29,32,27,12,82,87,13,72,28,20 to 39,-1,"4,977"
https://www.domain.com.au/5-cara-court-south-penrith-nsw-2750-2016330409,790000,Sold by private treaty 19 Aug 2020,5 Cara Court South Penrith NSW 2750,South Penrith ,Free Standing Houses ,4,2,2,1086,"UNDER CONTRACT This four bedroom rendered home is positioned beautifully on this expansive 1,086m2 block  Two main sized bathrooms one with corner spa and internal laundry with plenty of storage space Air conditioning, real wood slow combustion fireplace and plantation shutters Modern kitchen complete with stainless steel appliances and an abundance of deep bench space  Large enclosed alfresco entertaining area, plus three other internal living or dining spaces offer versatility This large block offers space for a shed, pets, or even a swimming pool or granny flat (STCA) Double lock up automatic garage with workbench, steel roof and single car drive through access  Fully fenced backyard within a peaceful very family friendly cul-de-sac setting Convenient location within only minutes to the Penrith CBD, Westfield and surrounding facilities WHAT WE LOVE MOST The location of this family home is peaceful, but yet so convenient and close to everything that Penrith and its surrounds has to offer.  It would have to be one of the most sought after blocks in South Penrith! You can really be happy in this home for many years to come, as it is versatile and can change over time with your family\'s needs if required.  Disclaimer: We have been furnished with the above information, however, Merrick Property Group gives no guarantees or undertakings concerning the accuracy, completeness or up-to-date nature of the information provided.  All interested parties are responsible for their own independent enquiries in order to determine whether or not this information is in fact accurate.",26,32,26,16,71,78,22,68,32,20 to 39,-1,"11,785"
https://www.domain.com.au/67-moolana-parade-south-penrith-nsw-2750-2016400145,730000,Sold by private treaty 19 Aug 2020,67 Moolana Parade South Penrith NSW 2750,South Penrith ,Free Standing Houses ,4,2,3,673,"Updated family home set in a high-growth pocket of South Penrith Capitalising on a sunwashed 673sqm parcel, this stylishly updated family home provides a versatile dual level design with spacious interiors and a tropical inspired backyard. It\'s peacefully set within one of the most sought-after pockets of South Penrith and is just moments from the M4 motorway, Penrith Train Station and Southlands Shopping Centre. Spacious lounge/dining plus a home office and Sunroom. Outdoor flow to an in-ground swimming pool, garden surrounds Updated open kitchen is equipped with modern electric appliances Four good-sized bedrooms with mirrored built-ins and ceiling fans Two bathrooms, main with a bath tub plus a separate guest w/c Air conditioning, slow combustion fireplace, polished timber floors Readymade family home with scope to enhance/add personal touches Drive through garage with storage/workshop, double car carport Close to an array of local cafes/restaurants, gymnasiums, schools Set in a high-growth location close to the new international airport Disclaimer: While we have been provided with the above inclusions and information, Elders Real Estate Penrith/Wallacia gives no guarantees regarding the accuracy or up-to-date nature of the details at hand. All interested parties are encouraged to make their own independent enquiries in order to confirm whether the information is accurate.",24,28,24,25,70,83,17,64,36,20 to 39,-1,"11,785"
https://www.domain.com.au/2-fontana-close-st-clair-nsw-2759-2016325228,605000,Sold by private treaty 19 Aug 2020,2 Fontana Close St Clair NSW 2759,St Clair ,Free Standing Houses ,3,1,2,452,]',24,26,33,17,71,88,12,60,40,-1,-1,-1
